question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch1_001,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Topic,topic_separator,,,,,1
q_9_eng_ch1_lq_001,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Arabia is the land of unparalleled charm and beauty, with its trackless deserts of sand dunes in the dazzling rays of the tropical sun. Its starry sky has excited the imagination of poets and travellers. It was in this land that the Rasoolullah ﷺ was born in Makkah Mukarramah.",Medium,4,PRO,1
q_9_eng_ch1_lq_002,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The Arabs possessed a remarkable memory and were an eloquent people. Their eloquence and memory found expression in their poetry. Every year a fair was held for poetical competitions at Ukaz. All of that was composed exclusively by poets before the promulgation of Islam.",Medium,4,PRO,1
q_9_eng_ch1_lq_003,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
In the fifth and sixth centuries, mankind stood on the verge of chaos. It seemed that the civilization, which had taken four thousand years to grow, had started crumbling. At this point in time, Allah Almighty raised a Rasool among the people to lift humanity from ignorance into the light of faith.",Hard,4,PRO,1
q_9_eng_ch1_lq_004,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
When Hazrat Muhammad ﷺ was thirty-eight years of age, he ﷺ spent most of his time in solitude and meditation. In the cave of Hira, he ﷺ used to retire with food and water and spend days and weeks in remembrance of Allah Almighty.",Medium,4,PRO,1
q_9_eng_ch1_lq_005,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The period of waiting had come to a close. His ﷺ heart was overflowing with profound compassion for humanity. He ﷺ had a pressing urge to eradicate wrong beliefs, social evils, cruelty and injustice. The moment had arrived when he ﷺ was to be bestowed with Nabuwat.",Medium,4,PRO,1
q_9_eng_ch1_lq_006,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
One day, when he ﷺ was in the cave of Hira, Hazrat Jibril علیہ السلام came and conveyed to him ﷺ the message of Allah Almighty. The revelation of the divine message, which continued for the next twenty-three years, had begun.",Medium,4,PRO,1
q_9_eng_ch1_lq_007,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The Rasoolullah ﷺ had arisen to proclaim the Oneness of Allah Almighty and the unity of mankind. His ﷺ mission was to destroy the nexus of superstition, ignorance and disbelief, set up a noble conception of life, and lead mankind to the light of faith and divine bliss.",Hard,4,PRO,1
q_9_eng_ch1_lq_008,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Since this belief was threatening their dominance in society, the pagan Arabs started to mount pressure on the Rasoolullah ﷺ and his followers. They wanted them to renounce their cause and take to idol-worshipping. On one occasion, they sent a delegation to Hazrat Abu Talib.",Hard,4,PRO,1
q_9_eng_ch1_lq_009,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The Rasoolullah ﷺ responded with firm determination and refused to abandon the proclamation of the Oneness of Allah Almighty. His uncle was so impressed that he promised never to forsake him. The Rasoolullah ﷺ continued on the way Allah Almighty had chosen for him.",Hard,4,PRO,1
q_9_eng_ch1_lq_010,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Imbued with divine guidance and firm resolve, the Rasoolullah ﷺ encountered all the challenges with grace and dignity. In no time, he ﷺ elevated man to the highest possible level in both spiritual and worldly domains. His influence created an everlasting impression on human history.",Hard,4,PRO,1
