question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch7_001,1,7.1 Acids and Bases,Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_001,1,7.1 Acids and Bases,Long,cause_effect,"Answer the following related questions about Acids and Bases: (a) State the taste that is commonly associated with acids Also, State the taste that is commonly associated with bases. | (b) State the effect do acids have on blue litmus paper. | (c) State the effect do bases have on red litmus paper.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزابوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے۔ نیز، اساسوں کے ساتھ عموماً کون سا ذائقہ وابستہ ہے۔؟ | (ب) تیزاب نیلے لٹمس پیپر پر کیا اثر ڈالتے ہیں؟ | (ج) اساس سرخ لٹمس پیپر پر کیا اثر ڈالتے ہیں؟,Hard,5,PRO,1
q_9_chem_ch7_lq_002,1,7.1 Acids and Bases,Long,process_procedure,"Answer the following related questions about Acids and Bases: (a) Name the ions that are produced by acids in water Also, Name the ions that are produced by bases in water. | (b) Name the acid that is present in citrus fruits Also, Name the acid that is used in soap preparation. | (c) Identify the food that contains oxalic acid Also, Name the acid that listed in the exercise is not used as food or mixed with food.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزاب پانی میں کون سے آئن پیدا کرتے ہیں۔ نیز، اساس پانی میں کون سے آئن پیدا کرتے ہیں۔؟ | (ب) ترش پھلوں میں کون سا تیزاب پایا جاتا ہے۔ نیز، صابن کی تیاری میں کون سا تیزاب استعمال ہوتا ہے۔؟ | (ج) نام یا شناخت لکھیں: کون سی غذا آکسالک ایسڈ رکھتی ہے۔ نیز، دیا گیا کون سا تیزاب غذا میں استعمال یا شامل نہیں کیا جاتا۔؟,Medium,5,ULTRA,1
sep_9_chem_ch7_002,1,7.2 Reactions of Acids and Bases,Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_003,1,7.2 Reactions of Acids and Bases,Long,state_and_explain,"Answer the following related questions about Reactions of Acids and Bases: (a) What gas is generally evolved when an acid reacts with a metal? Also, Define or describe the usual products when an acid reacts with a metal and state one related characteristic. | (b) What gas is evolved when an acid reacts with a metal carbonate? Also, Define or describe the products of an acid–carbonate reaction and state one related characteristic. | (c) What gas is evolved when an alkali reacts with an ammonium salt? Also state one related characteristic.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزاب کے دھات سے تعامل پر عموماً کون سی گیس خارج ہوتی ہے۔ نیز، تیزاب کے دھات سے تعامل کے عمومی حاصل مادّے کیا ہوتے ہیں۔؟ | (ب) تیزاب کے دھاتی کاربونیٹ سے تعامل پر کون سی گیس خارج ہوتی ہے۔ نیز، تیزاب اور کاربونیٹ کے تعامل کے حاصل مادّے کی تعریف یا وضاحت کریں۔؟ | (ج) الکلی کے امونیم نمک سے تعامل پر کون سی گیس خارج ہوتی ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch7_lq_004,1,7.2 Reactions of Acids and Bases,Long,explain,Answer the following related questions about Reactions of Acids and Bases: (a) A gas turns moist red litmus paper blue. Which reaction most likely produced it? | (b) Explain what happens when a base reacts with a non-metallic oxide. | (c) What does reaction of a non-metallic oxide with a base indicate about the oxide?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایک گیس نم سرخ لٹمس پیپر کو نیلا کر دیتی ہے۔ غالباً یہ کس تعامل سے بنی؟ | (ب) اساس کے غیر دھاتی آکسائیڈ سے تعامل پر کیا ہوتا ہے؟ | (ج) غیر دھاتی آکسائیڈ کا اساس سے تعامل اس آکسائیڈ کی کس نوعیت کو ظاہر کرتا ہے؟,Medium,5,ULTRA,1
q_9_chem_ch7_lq_005,1,7.2 Reactions of Acids and Bases,Numerical,determine,"Using the formulae Ca(OH)₂ and H₃PO₄, determine: (a) the number of hydroxide ions released by one formula unit of Ca(OH)₂ in water, and (b) the number of KOH molecules required to completely neutralize one molecule of H₃PO₄.","درج ذیل formulae استعمال کرتے ہوئے معلوم کریں: Ca(OH)₂, H₃PO₄ | (الف) one formula unit of Ca(OH)₂ سے خارج ہونے والے hydroxide ions کی تعداد | (ب) one molecule of H₃PO₄ کو مکمل neutralize کرنے کے لیے درکار KOH molecules کی تعداد",Medium,4,ULTRA,1
sep_9_chem_ch7_003,1,7.3 Arrhenius Concept,Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_006,1,7.3 Arrhenius Concept,Long,discuss,"Answer the following related questions about Arrhenius Concept: (a) According to Arrhenius, what is an acid. | (b) According to Arrhenius, what is a base.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آرہینیس کے مطابق تیزاب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) آرہینیس کے مطابق اساس کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,PRO,1
q_9_chem_ch7_lq_007,1,7.3 Arrhenius Concept,Long,advantages_limitations,Answer the following related questions about Arrhenius Concept: (a) Define a limitation of the Arrhenius concept and state one related characteristic or function. | (b) Explain why H₂SO₄ is classified as an Arrhenius acid in water State a supporting reason or feature.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آرہینیس تصور کی ایک حد کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) درج ذیل میں سے کون سا پانی میں آرہینیس تیزاب ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟,Easy,5,ULTRA,1
sep_9_chem_ch7_004,1,7.4 Brønsted–Lowry Concept,Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_008,1,7.4 Brønsted–Lowry Concept,Long,state_and_explain,"Answer the following related questions about Brønsted–Lowry Concept: (a) According to Brønsted–Lowry, what is an acid Also, According to Brønsted–Lowry, what is a base. | (b) Define a conjugate base and state one related characteristic or function. | (c) Define a conjugate acid and state one related characteristic or function.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) برونسٹڈ–لوری کے مطابق تیزاب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔ نیز، برونسٹڈ–لوری کے مطابق اساس کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) ہم رشتہ اساس کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) ہم رشتہ تیزاب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch7_lq_009,1,7.4 Brønsted–Lowry Concept,Long,cause_effect,"Answer the following related questions about Brønsted–Lowry Concept: (a) In CH₃COOH + H₂O ⇌ CH₃COO⁻ + H₃O⁺, which species is the conjugate base of CH₃COOH? Also, In the same reaction, which species acts as the Brønsted–Lowry base?. | (b) Why can water act as both an acid and a base? | (c) Why is HSO₄⁻ able to act as a Brønsted–Lowry acid?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) CH₃COOH + H₂O ⇌ CH₃COO⁻ + H₃O⁺ میں CH₃COOH کی ہم رشتہ اساس کون سی ہے۔ نیز، اسی تعامل میں کون سی نوع برونسٹڈ–لوری اساس کے طور پر کام کرتی ہے۔؟ | (ب) پانی تیزاب اور اساس دونوں کے طور پر کیوں کام کر سکتا ہے؟ | (ج) HSO₄⁻ برونسٹڈ–لوری تیزاب کے طور پر کیوں کام کر سکتا ہے؟,Hard,5,ULTRA,1
sep_9_chem_ch7_005,1,"7.5 Strength, Concentration and Neutralization",Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_010,1,"7.5 Strength, Concentration and Neutralization",Long,compare,"Answer the following related questions about Strength, Concentration and Neutralization: (a) Define a neutralization reaction and state one related characteristic or function. | (b) Define the difference between a strong acid and a concentrated acid and state one related characteristic or function. | (c) What does a strong acid do in water? Also, What does a weak acid do in water?.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بے اثری کا تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) مضبوط تیزاب اور مرتکز تیزاب میں کیا فرق ہے؟ | (ج) مضبوط تیزاب پانی میں کیا کرتا ہے۔ نیز، کمزور تیزاب پانی میں کیا کرتا ہے۔؟,Medium,5,PRO,1
sep_9_chem_ch7_006,1,7.5 Acid Rain and Its Effects,Topic,topic_separator,,,,,,1
q_9_chem_ch7_lq_011,1,7.5 Acid Rain and Its Effects,Long,cause_effect,"Answer the following related questions about Acid Rain and Its Effects: (a) Rainwater with which pH range is called acid rain? Also, Which gases mainly form acid rain after mixing with atmospheric moisture?. | (b) How does acid rain harm soil? | (c) How does acid rain affect aquatic life?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کس pH حد والے بارش کے پانی کو تیزابی بارش کہا گیا ہے۔ نیز، نام یا شناخت لکھیں: کون سی گیسیں فضائی نمی سے مل کر بنیادی طور پر تیزابی بارش بناتی ہیں۔؟ | (ب) تیزابی بارش مٹی کو کیسے نقصان پہنچاتی ہے؟ | (ج) تیزابی بارش آبی حیات کو کیسے متاثر کرتی ہے؟,Medium,5,PRO,1
q_9_chem_ch7_lq_012,1,7.5 Acid Rain and Its Effects,Long,discuss,Answer the following related questions about Acid Rain and Its Effects: (a) Identify the human-made structures that are especially damaged by acid rain. | (b) Name the gas that raises bread and makes it soft during baking State a supporting reason or feature.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزابی بارش سے کون سی انسانی ساختیں خاص طور پر متاثر ہوتی ہیں؟ | (ب) بیکنگ کے دوران کون سی گیس روٹی کو پھلاتی اور نرم بناتی ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟,Easy,5,ULTRA,1
