question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,7.1 Kinetic Molecular Theory of Matter,,,,,,,,1
q_9_phy_ch7_lq_001,,7.1 Kinetic Molecular Theory of Matter,Long,describe,"Describe the main points of kinetic molecular theory of matter which differentiate solids, liquids and gases.",مادے کے حرکی سالماتی نظریے کے وہ اہم نکات بیان کریں جو ٹھوس، مائع اور گیسوں میں فرق واضح کرتے ہیں۔,Medium,5,high,
q_9_phy_ch7_lq_002,,7.1 Kinetic Molecular Theory of Matter,Long,explain,"Explain how intermolecular force, molecular spacing and molecular motion determine the fixed shape or volume of solids, liquids and gases.",وضاحت کریں کہ بین السالماتی قوت، سالماتی فاصلہ اور سالماتی حرکت ٹھوس، مائع اور گیسوں کی مقررہ شکل یا حجم کو کیسے متعین کرتے ہیں۔,Medium,5,high,
q_9_phy_ch7_lq_003,,7.1 Kinetic Molecular Theory of Matter,Long,state_and_explain,State and explain the relationship between the motion of molecules and the temperature of a substance.,سالمات کی حرکت اور کسی مادے کے درجہ حرارت کے درمیان تعلق بیان کریں اور وضاحت کریں۔,Medium,5,high,
,1,Plasma,,,,,,,,1
q_9_phy_ch7_lq_004,,Plasma,Long,describe,"Describe plasma as the fourth state of matter with examples from stars, plasma TV, gas discharge tubes and lightning streamers.",ستاروں، پلازما TV، gas discharge tubes اور lightning streamers کی مثالوں کے ساتھ پلازما کو مادے کی چوتھی حالت کے طور پر بیان کریں۔,Medium,5,high,
q_9_phy_ch7_lq_005,,Plasma,Long,explain,Explain why plasma is called a conducting state of matter and how it differs from ordinary gas.,وضاحت کریں کہ پلازما کو مادے کی موصل حالت کیوں کہا جاتا ہے اور یہ عام گیس سے کیسے مختلف ہے۔,Medium,5,high,
,1,7.2 Temperature and Heat,,,,,,,,1
q_9_phy_ch7_lq_006,,7.2 Temperature and Heat,Long,explain,"Explain the meanings of temperature and heat, and describe how temperature difference determines the direction of flow of thermal energy.",درجہ حرارت اور حرارت کے معانی واضح کریں، اور بیان کریں کہ درجہ حرارت کا فرق حرارتی توانائی کے بہاؤ کی سمت کیسے متعین کرتا ہے۔,Medium,5,high,
q_9_phy_ch7_lq_007,,7.2 Temperature and Heat,Long,discuss,Discuss why heat is called energy in transit and why a body should not be described as containing heat.,بحث کریں کہ حرارت کو منتقل ہونے والی توانائی کیوں کہا جاتا ہے اور کسی جسم کے بارے میں یہ کہنا کیوں درست نہیں کہ وہ حرارت رکھتا ہے۔,Hard,5,high,
,1,Temperature and Internal Energy,,,,,,,,1
q_9_phy_ch7_lq_008,,Temperature and Internal Energy,Long,explain,"Explain internal energy as the sum of kinetic and potential energies of molecules, and describe how heating affects it.",اندرونی توانائی کو سالمات کی حرکی اور مخفی توانائیوں کے مجموعے کے طور پر واضح کریں، اور بیان کریں کہ گرم کرنے سے اس پر کیا اثر پڑتا ہے۔,Medium,5,high,
q_9_phy_ch7_lq_009,,Temperature and Internal Energy,Long,compare,Distinguish between heat and internal energy with reference to molecular motion and temperature difference.,سالماتی حرکت اور درجہ حرارت کے فرق کے حوالے سے حرارت اور اندرونی توانائی میں فرق واضح کریں۔,Medium,5,high,
,1,7.3 Thermometers and Thermometric Properties,,,,,,,,1
q_9_phy_ch7_lq_010,,7.3 Thermometers and Thermometric Properties,Long,explain,Explain why a thermometer is required for exact measurement of temperature and why sense of touch is not sufficient.,وضاحت کریں کہ درجہ حرارت کی درست پیمائش کے لیے تھرمامیٹر کیوں ضروری ہے اور لمس کا احساس کافی کیوں نہیں۔,Easy,5,medium,
q_9_phy_ch7_lq_011,,7.3 Thermometers and Thermometric Properties,Long,describe,Describe the basic thermometric properties required for a material suitable to construct a thermometer.,تھرمامیٹر بنانے کے لیے موزوں مادے کی بنیادی تھرمومیٹرک خصوصیات بیان کریں۔,Medium,5,high,
q_9_phy_ch7_lq_012,,7.3 Thermometers and Thermometric Properties,Long,elaborate,"Elaborate why a thermometric substance should have quick response, uniform thermal expansion, visibility and a wide usable temperature range.",تفصیل سے بیان کریں کہ تھرمومیٹرک مادے میں فوری ردِعمل، یکساں حرارتی پھیلاؤ، نمایاں ہونا اور وسیع قابل استعمال درجہ حرارت کی حد کیوں ضروری ہے۔,Hard,5,medium,
,1,Liquid-in-Glass Thermometer,,,,,,,,1
q_9_phy_ch7_lq_013,,Liquid-in-Glass Thermometer,Long,describe,Describe the construction and working of a mercury-in-glass thermometer.,mercury-in-glass thermometer کی بناوٹ اور کام کرنے کا طریقہ بیان کریں۔,Medium,5,high,
q_9_phy_ch7_lq_014,,Liquid-in-Glass Thermometer,Long,explain,Explain why mercury is commonly preferred as a thermometric liquid and why alcohol must be coloured when used.,وضاحت کریں کہ پارہ عموماً thermometric liquid کے طور پر کیوں ترجیح دیا جاتا ہے اور الکحل کو استعمال کرتے وقت رنگین کیوں کرنا پڑتا ہے۔,Medium,5,high,
q_9_phy_ch7_lq_015,,Liquid-in-Glass Thermometer,Long,discuss,Discuss why water is not suitable for use in liquid-in-glass thermometers.,بحث کریں کہ پانی liquid-in-glass thermometers میں استعمال کے لیے موزوں کیوں نہیں ہے۔,Hard,5,high,
,1,Temperature Scales and Conversion,,,,,,,,1
q_9_phy_ch7_lq_016,,Temperature Scales and Conversion,Long,compare,"Compare Celsius, Fahrenheit and Kelvin temperature scales using their lower fixed point, upper fixed point and scale divisions.",نچلے مقررہ نقطے، اوپری مقررہ نقطے اور scale divisions کی مدد سے Celsius، Fahrenheit اور Kelvin temperature scales کا موازنہ کریں۔,Medium,5,high,
q_9_phy_ch7_lq_017,,Temperature Scales and Conversion,Long,explain,Explain the concept of absolute zero and why there are no negative numbers on the Kelvin scale.,absolute zero کا تصور واضح کریں اور بتائیں کہ Kelvin scale پر منفی اعداد کیوں نہیں ہوتے۔,Medium,5,high,
q_9_phy_ch7_lq_018,,Temperature Scales and Conversion,Long,state_and_explain,"State and explain the formulae used for conversion between Celsius, Fahrenheit and Kelvin scales.",Celsius، Fahrenheit اور Kelvin scales کے درمیان تبدیلی کے فارمولے بیان کریں اور وضاحت کریں۔,Medium,5,high,
,1,Temperature Scales and Conversion — Solved Examples,,,,,,,,1
q_9_phy_ch7_lq_019,,Temperature Scales and Conversion — Solved Examples,Numerical,calculate,How much 30°C temperature would be on Fahrenheit and Kelvin scales?,درج ذیل درجہ حرارت کو Fahrenheit scale اور Kelvin scale پر معلوم کریں: 30°C,Easy,4,high,
,1,Thermocouple Thermometer,,,,,,,,1
q_9_phy_ch7_lq_020,,Thermocouple Thermometer,Long,describe,Describe the construction and working of a thermocouple thermometer using two wires of different materials.,مختلف مادوں کی دو تاروں کی مدد سے thermocouple thermometer کی بناوٹ اور کام کرنے کا طریقہ بیان کریں۔,Medium,5,high,
q_9_phy_ch7_lq_021,,Thermocouple Thermometer,Long,explain,Explain why a thermocouple thermometer is particularly useful for very high and rapidly changing temperatures.,وضاحت کریں کہ thermocouple thermometer بہت زیادہ اور تیزی سے بدلتے ہوئے درجہ حرارت کے لیے خاص طور پر مفید کیوں ہے۔,Medium,5,high,
,1,"7.4 Sensitivity, Range and Linearity of Thermometers",,,,,,,,1
q_9_phy_ch7_lq_022,,"7.4 Sensitivity, Range and Linearity of Thermometers",Long,explain,"Explain sensitivity, range and linearity of thermometers with examples.",تھرمامیٹرز کی sensitivity، range اور linearity کو مثالوں کے ساتھ واضح کریں۔,Medium,5,high,
q_9_phy_ch7_lq_023,,"7.4 Sensitivity, Range and Linearity of Thermometers",Long,compare,Compare a thermometer with 1°C scale divisions and a thermometer with 0.1°C scale divisions in terms of sensitivity and precision.,sensitivity اور precision کے لحاظ سے 1°C scale divisions والے تھرمامیٹر اور 0.1°C scale divisions والے تھرمامیٹر کا موازنہ کریں۔,Medium,5,medium,
q_9_phy_ch7_lq_024,,"7.4 Sensitivity, Range and Linearity of Thermometers",Long,discuss,Discuss how the choice of mercury or alcohol affects the range of a liquid-in-glass thermometer.,بحث کریں کہ پارہ یا الکحل کا انتخاب liquid-in-glass thermometer کی range کو کیسے متاثر کرتا ہے۔,Hard,5,high,
,1,7.5 Structure of a Liquid-in-Glass Thermometer,,,,,,,,1
q_9_phy_ch7_lq_025,,7.5 Structure of a Liquid-in-Glass Thermometer,Long,explain,"Explain how the structure of a liquid-in-glass thermometer improves its sensitivity, range and linearity.",وضاحت کریں کہ liquid-in-glass thermometer کی ساخت اس کی sensitivity، range اور linearity کو کیسے بہتر بناتی ہے۔,Hard,5,high,
q_9_phy_ch7_lq_026,,7.5 Structure of a Liquid-in-Glass Thermometer,Long,elaborate,"Elaborate the functions of the bulb with thin glass wall, fine-bore uniform evacuated tube, scale and thermometric liquid in a laboratory thermometer.",laboratory thermometer میں thin glass wall والے bulb، fine-bore uniform evacuated tube، scale اور thermometric liquid کے افعال تفصیل سے بیان کریں۔,Hard,5,high,
,1,Exercise — Constructed Response Questions,,,,,,,,1
q_9_phy_ch7_lq_027,,Exercise — Constructed Response Questions,Long,discuss,Is kinetic molecular theory of matter applicable to the plasma state of matter? Describe briefly.,کیا مادے کا حرکی سالماتی نظریہ مادے کی پلازما حالت پر لاگو ہوتا ہے؟ مختصر بیان کریں۔,Hard,5,medium,
q_9_phy_ch7_lq_028,,Exercise — Constructed Response Questions,Long,explain,Why is mercury usually preferred to alcohol as a thermometric liquid?,پارہ عموماً الکحل کے مقابلے میں thermometric liquid کے طور پر کیوں ترجیح دیا جاتا ہے؟,Medium,5,high,
q_9_phy_ch7_lq_029,,Exercise — Constructed Response Questions,Long,explain,"Why is water not suitable for use in thermometers? Without calculations, guess what is equivalent temperature of 373 K on Celsius and Fahrenheit scales.",وضاحت کریں اور بغیر حساب کے مساوی درجہ حرارت کا اندازہ لگائیں: 373 K on Celsius and Fahrenheit scales,Hard,5,high,
q_9_phy_ch7_lq_030,,Exercise — Constructed Response Questions,Long,elaborate,Mention two ways in which the design of a liquid-in-glass thermometer may be altered to increase its sensitivity.,liquid-in-glass thermometer کی sensitivity بڑھانے کے لیے اس کے ڈیزائن میں دو تبدیلیاں بیان کریں۔,Hard,5,high,
q_9_phy_ch7_lq_031,,Exercise — Constructed Response Questions,Long,analyze,"One litre of water is heated by a stove and its temperature rises by 2°C. If two litres of water is heated on the same stove for the same time, what will be then rise in temperature?","درج ذیل صورت میں درجہ حرارت کا اضافہ معلوم کریں: 1 litre water → 2°C rise, 2 litres water → same stove for same time",Hard,5,medium,
q_9_phy_ch7_lq_032,,Exercise — Constructed Response Questions,Long,explain,Why are there no negative numbers on the Kelvin scale?,Kelvin scale پر منفی اعداد کیوں نہیں ہوتے؟,Medium,5,high,
q_9_phy_ch7_lq_033,,Exercise — Constructed Response Questions,Long,discuss,Comment on the statement: A thermometer measures its own temperature.,اس بیان پر تبصرہ کریں: A thermometer measures its own temperature.,Hard,5,medium,
q_9_phy_ch7_lq_034,,Exercise — Constructed Response Questions,Long,compare,"There are various objects made of cotton, wood, plastic and metals. In a winter night, compare their temperatures with the air temperature by touching them with your hand.","سردیوں کی رات مختلف اشیا کے درجہ حرارت کا ہوا کے درجہ حرارت سے موازنہ کریں: cotton, wood, plastic, metals (by touching with hand)",Hard,5,medium,
q_9_phy_ch7_lq_035,,Exercise — Constructed Response Questions,Long,analyze,Which is greater: an increase in temperature 1°C or one 1°F?,درجہ حرارت میں کون سا اضافہ زیادہ ہے: 1°C یا 1°F؟,Medium,5,medium,
q_9_phy_ch7_lq_036,,Exercise — Constructed Response Questions,Long,explain,Why would not you expect all the molecules in a gas to have the same speed?,آپ گیس کے تمام سالمات سے ایک جیسی رفتار کی توقع کیوں نہیں کریں گے؟,Hard,5,medium,
q_9_phy_ch7_lq_037,,Exercise — Constructed Response Questions,Long,discuss,Does it make sense to talk about the temperature of a vacuum?,کیا vacuum کے درجہ حرارت کی بات کرنا بامعنی ہے؟ بحث کریں۔,Hard,5,medium,
q_9_phy_ch7_lq_038,,Exercise — Constructed Response Questions,Long,discuss,Comment on the statement: A hot body does not contain heat.,اس بیان پر تبصرہ کریں: A hot body does not contain heat.,Hard,5,high,
q_9_phy_ch7_lq_039,,Exercise — Constructed Response Questions,Long,discuss,Discuss whether the Sun is matter.,بحث کریں کہ آیا سورج مادہ ہے یا نہیں۔,Hard,5,medium,
,1,Exercise — Comprehensive Questions,,,,,,,,1
q_9_phy_ch7_lq_040,,Exercise — Comprehensive Questions,Long,describe,"Describe the main points of particle theory of matter which differentiate solids, liquids and gases.","مادے کے ذرّاتی نظریے کے وہ اہم نکات بیان کریں جو solids, liquids and gases میں فرق واضح کرتے ہیں۔",Medium,5,high,
q_9_phy_ch7_lq_041,,Exercise — Comprehensive Questions,Long,describe,What is temperature? How is it measured? Describe briefly the construction of a mercury-in-glass thermometer.,درجہ حرارت کیا ہے؟ یہ کیسے ناپا جاتا ہے؟ mercury-in-glass thermometer کی بناوٹ مختصر بیان کریں۔,Medium,5,high,
