question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Modern Periodic Table,Topic,,,,,,,,,,,1
q_9_chem_ch8_001,1,8.1 Modern Periodic Table,Remember,How are elements arranged in the modern periodic table?,جدید دوری جدول میں عناصر کس ترتیب سے رکھے گئے ہیں؟,In decreasing order of mass only / صرف کمیت کی گھٹتی ترتیب میں,In increasing order of atomic number / ایٹمی عدد کی بڑھتی ترتیب میں,Alphabetically by name / ناموں کی حروفِ تہجی ترتیب میں,By colour and state / رنگ اور حالت کے مطابق,B | In increasing order of atomic number / ایٹمی عدد کی بڑھتی ترتیب میں,Easy,1,PRO,1
q_9_chem_ch8_002,1,8.1 Modern Periodic Table,Remember,How many groups are present in the modern periodic table?,جدید دوری جدول میں کتنے گروپ ہیں؟,7,8,16,18,D | 18,Easy,1,PRO,1
q_9_chem_ch8_003,1,8.1 Modern Periodic Table,Remember,How many periods are present in the modern periodic table?,جدید دوری جدول میں کتنے ادوار ہیں؟,7,8,18,4,A | 7,Easy,1,PRO,1
q_9_chem_ch8_004,1,8.1 Modern Periodic Table,Remember,What is a period in the periodic table?,دوری جدول میں دور سے کیا مراد ہے؟,A vertical column of elements / عناصر کا عمودی کالم,A group of isotopes only / صرف آئسوٹوپس کا مجموعہ,A horizontal row of elements / عناصر کی افقی قطار,A block of compounds / مرکبات کا بلاک,C | A horizontal row of elements / عناصر کی افقی قطار,Easy,1,ULTRA,1
q_9_chem_ch8_005,1,8.1 Modern Periodic Table,Remember,What is a group in the periodic table?,دوری جدول میں گروپ سے کیا مراد ہے؟,A horizontal row of elements / عناصر کی افقی قطار,A vertical column of elements / عناصر کا عمودی کالم,A set of compounds / مرکبات کا مجموعہ,A line of atomic masses only / صرف ایٹمی کمیتوں کی لکیر,B | A vertical column of elements / عناصر کا عمودی کالم,Easy,1,ULTRA,1
q_9_chem_ch8_006,1,8.1 Modern Periodic Table,Understand,Why was atomic number chosen as the basis of the modern periodic table?,جدید دوری جدول کی بنیاد کے طور پر ایٹمی عدد کیوں چنا گیا؟,It uniquely identifies an element and relates to its electronic structure / یہ عنصر کی منفرد شناخت کرتا اور اس کی الیکٹرانی ساخت سے تعلق رکھتا ہے,It changes with physical state / یہ طبعی حالت کے ساتھ بدلتا ہے,It is always equal to atomic mass / یہ ہمیشہ ایٹمی کمیت کے برابر ہوتا ہے,It depends on temperature / یہ درجہ حرارت پر منحصر ہوتا ہے,A | It uniquely identifies an element and relates to its electronic structure / یہ عنصر کی منفرد شناخت کرتا اور اس کی الیکٹرانی ساخت سے تعلق رکھتا ہے,Medium,1,PRO,1
q_9_chem_ch8_007,1,8.1 Modern Periodic Table,Remember,Which four blocks are present in the periodic table?,دوری جدول میں کون سے چار بلاک موجود ہیں؟,"a, b, c and d blocks / a، b، c اور d بلاک","K, L, M and N blocks / K، L، M اور N بلاک","metal, gas, liquid and solid blocks / دھات، گیس، مائع اور ٹھوس بلاک","s, p, d and f blocks / s، p، d اور f بلاک","D | s, p, d and f blocks / s، p، d اور f بلاک",Easy,1,PRO,1
q_9_chem_ch8_008,1,8.1 Modern Periodic Table,Remember,Which block elements are called normal elements?,کن بلاکوں کے عناصر کو نارمل عناصر کہا جاتا ہے؟,d- and f-block elements / d اور f بلاک کے عناصر,Only f-block elements / صرف f بلاک کے عناصر,s- and p-block elements / s اور p بلاک کے عناصر,Only noble gases / صرف خامل گیسیں,C | s- and p-block elements / s اور p بلاک کے عناصر,Easy,1,ULTRA,1
q_9_chem_ch8_009,1,8.1 Modern Periodic Table,Remember,Which block elements are called transition elements in the chapter?,باب میں کن بلاکوں کے عناصر کو انتقالی عناصر کہا گیا ہے؟,d- and f-block elements / d اور f بلاک کے عناصر,s- and p-block elements / s اور p بلاک کے عناصر,Only group 1 elements / صرف گروپ 1 کے عناصر,Only group 18 elements / صرف گروپ 18 کے عناصر,A | d- and f-block elements / d اور f بلاک کے عناصر,Easy,1,ULTRA,1
q_9_chem_ch8_010,1,8.1 Modern Periodic Table,Understand,What does completion of a period generally represent?,ایک دور کی تکمیل عموماً کیا ظاہر کرتی ہے؟,Formation of an isotope / آئسوٹوپ کی تشکیل,Loss of all valence electrons / تمام ظرفی الیکٹرانوں کا ضیاع,Completion of the nucleus / مرکزے کی تکمیل,Completion of an electron shell / الیکٹرانی خول کی تکمیل,D | Completion of an electron shell / الیکٹرانی خول کی تکمیل,Medium,1,ULTRA,1
