question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch11_001,1,11.0 Introduction to Organic Chemistry,Topic,topic_separator,,,,,,1
q_9_chem_ch11_lq_001,1,11.0 Introduction to Organic Chemistry,Long,cause_effect,"Answer the following related questions about Introduction to Organic Chemistry: (a) State the main class of compounds studied in organic chemistry. Also, Identify the atom that is almost always present with carbon in organic compounds. | (b) Identify the carbon compounds that are classified as inorganic. | (c) Why does carbon usually form covalent rather than ionic bonds?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نامیاتی کیمیا بنیادی طور پر کن مرکبات کی کیمیا ہے۔ نیز، نامیاتی مرکبات میں کاربن کے ساتھ تقریباً ہمیشہ کون سا ایٹم موجود ہوتا ہے۔؟ | (ب) کاربن کے کن مرکبات کو غیر نامیاتی شمار کیا گیا ہے؟ | (ج) کاربن عموماً آیونی بند کے بجائے اشتراکی بند کیوں بناتا ہے؟,Medium,5,PRO,1
q_9_chem_ch11_lq_002,1,11.0 Introduction to Organic Chemistry,Long,state_and_explain,Answer the following related questions about Introduction to Organic Chemistry: (a) Define catenation and state one related characteristic or function. | (b) State the two properties chiefly allow carbon to form many stable compounds State a supporting reason or feature.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کیٹینیشن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سی دو خصوصیات کاربن کو بہت سے مستحکم مرکبات بنانے کے قابل بناتی ہیں۔ شناخت کی بنیاد بھی بیان کریں۔؟,Easy,5,ULTRA,1
q_9_chem_ch11_lq_003,1,11.0 Introduction to Organic Chemistry,Long,cause_effect,Answer the following related questions about Introduction to Organic Chemistry: (a) State what a structural formula shows. | (b) Why are organic molecules often described as large and complex?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بیان کریں کہ ساختی فارمولا کیا ظاہر کرتا ہے۔؟ | (ب) نامیاتی سالمات کو اکثر بڑا اور پیچیدہ کیوں کہا جاتا ہے؟,Medium,5,ELITE,1
sep_9_chem_ch11_002,1,11.1 Hydrocarbons,Topic,topic_separator,,,,,,1
q_9_chem_ch11_lq_004,1,11.1 Hydrocarbons,Long,classification,Answer the following related questions about Hydrocarbons: (a) Define or describe hydrocarbons and state one related characteristic. | (b) Identify the group that contains common hydrocarbon fuels. | (c) State two important roles of hydrocarbons besides their use as fuels.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہائیڈروکاربنز کی تعریف یا وضاحت کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سا گروہ عام ہائیڈروکاربن ایندھن پر مشتمل ہے۔؟ | (ج) ایندھن کے علاوہ ہائیڈروکاربنز کا اہم کردار بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch11_lq_005,1,11.1 Hydrocarbons,Long,classification,"Answer the following related questions about Hydrocarbons: (a) Into which structural types are hydrocarbons classified? | (b) Identify the hydrocarbon family that is discussed in detail Also, Name the simplest alkane and write one defining feature. | (c) Methane is used to manufacture which listed substances?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہائیڈروکاربنز کو کن ساختی اقسام میں تقسیم کیا گیا ہے؟ | (ب) ہائیڈروکاربنز کے کس خاندان پر تفصیل سے بحث کی گئی ہے۔ نیز، سب سے سادہ الکین کون سا ہے۔؟ | (ج) میتھین سے کون سے درج شدہ مادّے تیار کیے جاتے ہیں؟,Medium,5,ULTRA,1
sep_9_chem_ch11_003,1,11.2 Alkanes and IUPAC Nomenclature,Topic,topic_separator,,,,,,1
q_9_chem_ch11_lq_006,1,11.2 Alkanes and IUPAC Nomenclature,Long,cause_effect,"Answer the following related questions about Alkanes and IUPAC Nomenclature: (a) Why are alkanes called saturated hydrocarbons? | (b) Define the general formula of alkanes and state one related characteristic or function Also, What does the suffix in an IUPAC name indicate?. | (c) Why is methane called the parent hydrocarbon?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) الکینز کو سیر شدہ ہائیڈروکاربنز کیوں کہا جاتا ہے؟ | (ب) الکینز کا عمومی فارمولا لکھیں۔ نیز، بیان کریں کہ IUPAC نام میں لاحقہ کیا ظاہر کرتا ہے۔؟ | (ج) میتھین کو بنیادی ہائیڈروکاربن کیوں کہا جاتا ہے؟,Hard,5,PRO,1
q_9_chem_ch11_lq_007,1,11.2 Alkanes and IUPAC Nomenclature,Long,discuss,Answer the following related questions about Alkanes and IUPAC Nomenclature: (a) What does the root in an IUPAC name indicate? | (b) What does the prefix in an IUPAC name indicate? | (c) Write the IUPAC name of the branched isomer commonly called iso-butane and state the naming basis.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بیان کریں کہ IUPAC نام میں روٹ کیا ظاہر کرتا ہے۔؟ | (ب) بیان کریں کہ IUPAC نام میں سابقہ کیا ظاہر کرتا ہے۔؟ | (ج) شاخ دار آئسومر جسے عام طور پر iso-butane کہتے ہیں، اس کا IUPAC نام کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟,Medium,5,ULTRA,1
