question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_q1d_master_0001,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600,Topic,,,,,,,,,,1
sep_10_q1d_master_0002,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Topic,,,,,,,,,,1
q_10_q1d_master_0001,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “beautiful” is an:,adverb,noun,verb,adjective,D | adjective,Easy,1,ELITE,1
q_10_q1d_master_0002,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “honest” is an:,pronoun,adjective,noun,verb,B | adjective,Easy,1,ELITE,1
q_10_q1d_master_0003,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “three” in “three books” is an:,adverb,verb,conjunction,adjective,D | adjective,Easy,1,ULTRA,1
q_10_q1d_master_0004,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “red” in “red flower” is an:,verb,adjective,noun,adverb,B | adjective,Medium,1,ULTRA,1
q_10_q1d_master_0005,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “old” in “old man” is an:,verb,adverb,pronoun,adjective,D | adjective,Medium,1,ULTRA,1
q_10_q1d_master_0006,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “Pakistani” in “Pakistani culture” is an:,adverb,adjective,verb,noun,B | adjective,Medium,1,ULTRA,1
q_10_q1d_master_0007,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “difficult” is an:,noun,verb,preposition,adjective,D | adjective,Medium,1,ULTRA,1
q_10_q1d_master_0008,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “green” in “green fields” is an:,article,adjective,adverb,verb,B | adjective,Medium,1,PRO,1
q_10_q1d_master_0009,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “little” in “little water” is an:,noun,verb,conjunction,adjective,D | adjective,Hard,1,PRO,1
q_10_q1d_master_0010,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVE,Apply,The word “first” in “first prize” is an:,adverb,adjective,pronoun,verb,B | adjective,Hard,1,PRO,1
sep_10_q1d_master_0003,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Topic,,,,,,,,,,1
q_10_q1d_master_0011,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Ali is ____ than Ahmed [1].,taller,tall,tallest,more tall,A | taller,Medium,1,ULTRA,1
q_10_q1d_master_0012,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This is the ____ book [1].,best,better,good,well,A | best,Medium,1,ULTRA,1
q_10_q1d_master_0013,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Iron is ____ than wood [1].,heavier,heavy,heaviest,more heavy,A | heavier,Medium,1,ULTRA,1
q_10_q1d_master_0014,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,He is the ____ boy in class [1].,cleverest,cleverer,clever,more clever,A | cleverest,Medium,1,ULTRA,1
q_10_q1d_master_0015,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,She is as ____ as her sister [1].,kind,kinder,kindest,more kind,A | kind,Medium,1,ULTRA,1
q_10_q1d_master_0016,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This road is ____ than that one [1].,wider,wide,widest,more wide,A | wider,Medium,1,ULTRA,1
q_10_q1d_master_0017,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Ali is ____ than Ahmed [2].,tall,tallest,more tall,taller,D | taller,Medium,1,ULTRA,1
q_10_q1d_master_0018,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This is the ____ book [2].,better,good,well,best,D | best,Medium,1,ULTRA,1
q_10_q1d_master_0019,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Iron is ____ than wood [2].,heavy,heaviest,more heavy,heavier,D | heavier,Medium,1,ULTRA,1
q_10_q1d_master_0020,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,He is the ____ boy in class [2].,cleverer,clever,more clever,cleverest,D | cleverest,Medium,1,ULTRA,1
q_10_q1d_master_0021,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,She is as ____ as her sister [2].,kinder,kindest,more kind,kind,D | kind,Medium,1,ULTRA,1
q_10_q1d_master_0022,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This road is ____ than that one [2].,wide,widest,more wide,wider,D | wider,Medium,1,ULTRA,1
q_10_q1d_master_0023,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Ali is ____ than Ahmed [3].,tallest,more tall,taller,tall,C | taller,Medium,1,ULTRA,1
q_10_q1d_master_0024,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This is the ____ book [3].,good,well,best,better,C | best,Medium,1,ULTRA,1
q_10_q1d_master_0025,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,Iron is ____ than wood [3].,heaviest,more heavy,heavier,heavy,C | heavier,Medium,1,ULTRA,1
q_10_q1d_master_0026,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,He is the ____ boy in class [3].,clever,more clever,cleverest,cleverer,C | cleverest,Medium,1,ULTRA,1
q_10_q1d_master_0027,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,She is as ____ as her sister [3].,kindest,more kind,kind,kinder,C | kind,Medium,1,ULTRA,1
q_10_q1d_master_0028,1,ENGLISH_B | Q1(d) GRAMMAR MCQs | BISE BOARD MASTER 600 | ADJECTIVES / DEGREES,Apply,This road is ____ than that one [3].,widest,more wide,wider,wide,C | wider,Medium,1,ULTRA,1
