question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch4_001,1,4.1 Computational Thinking,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_001,1,4.1 Computational Thinking,Long,state_and_explain,Define computational thinking and explain its significance in modern problem-solving.,computational thinking کی تعریف کریں اور modern problem-solving میں اس کی significance واضح کریں۔,Medium,5,PRO,1
q_9_cs_ch4_lq_002,1,4.1 Computational Thinking,Long,explain,Explain pattern recognition in the context of computational thinking. How does identifying patterns help in problem-solving?,computational thinking کے context میں pattern recognition کی وضاحت کریں۔ patterns identify کرنا problem-solving میں کیسے مدد دیتا ہے؟,Medium,5,PRO,1
q_9_cs_ch4_lq_003,1,4.1 Computational Thinking,Long,classification,"Explain the major elements of computational thinking: decomposition, pattern recognition, abstraction, and algorithm design.",computational thinking کے major elements کی وضاحت کریں: decomposition، pattern recognition، abstraction اور algorithm design۔,Hard,5,ULTRA,1
sep_9_cs_ch4_002,1,4.3 Algorithm Design Methods,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_004,1,4.3 Algorithm Design Methods,Long,diagram_based,Define a flowchart and explain its different symbols and their purposes.,flowchart کی تعریف کریں اور اس کے مختلف symbols اور ان کے purposes کی وضاحت کریں۔,Medium,5,PRO,1
q_9_cs_ch4_lq_005,1,4.3 Algorithm Design Methods,Long,algorithm_explanation,Describe an algorithm and provide a suitable example showing its step-by-step structure.,algorithm کی وضاحت کریں اور اس کی step-by-step structure دکھانے والی suitable example دیں۔,Medium,5,PRO,1
q_9_cs_ch4_lq_006,1,4.3 Algorithm Design Methods,Long,compare,"Compare flowcharts and pseudocode in terms of representation, symbols or language, readability, and use in algorithm design.",flowcharts اور pseudocode کا representation، symbols یا language، readability اور algorithm design میں use کے لحاظ سے موازنہ کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch4_003,1,4.6 Writing Algorithms in LARP,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_007,1,4.6 Writing Algorithms in LARP,Long,discuss,"Explain LARP and discuss its importance in learning, writing, and practising algorithms.",LARP کی وضاحت کریں اور algorithms سیکھنے، لکھنے اور practise کرنے میں اس کی importance پر بحث کریں۔,Medium,5,PRO,1
sep_9_cs_ch4_004,1,4.2 Principles of Computational Thinking,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_008,1,4.2 Principles of Computational Thinking,Long,process_procedure,"Describe the principles of problem understanding, simplification, solution selection, and solution design in computational thinking.",computational thinking میں problem understanding، simplification، solution selection اور solution design کے principles بیان کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch4_005,1,4.4 Evaluation Techniques for an Algorithm,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_009,1,4.4 Evaluation Techniques for an Algorithm,Long,discuss,Discuss the importance of algorithm evaluation and explain how time complexity helps assess an algorithm.,algorithm evaluation کی اہمیت پر بحث کریں اور وضاحت کریں کہ time complexity algorithm کو assess کرنے میں کیسے مدد دیتی ہے۔,Hard,5,ELITE,1
sep_9_cs_ch4_006,1,4.5 Dry Run,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_010,1,4.5 Dry Run,Long,process_procedure,Explain the dry-run process and describe how a trace table is used to test an algorithm or flowchart with sample data.,dry-run process کی وضاحت کریں اور بیان کریں کہ sample data کے ساتھ algorithm یا flowchart test کرنے کے لیے trace table کیسے use ہوتی ہے۔,Medium,5,ULTRA,1
sep_9_cs_ch4_007,1,4.5 Simulation,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_011,1,4.5 Simulation,Long,application_case,Explain simulation and discuss how it can be used to study or test a real-world process safely.,simulation کی وضاحت کریں اور بحث کریں کہ اسے real-world process کو safely study یا test کرنے کے لیے کیسے use کیا جا سکتا ہے۔,Medium,5,ELITE,1
sep_9_cs_ch4_008,1,4.7 Error Identification and Debugging,Topic,topic_separator,,,,,,1
q_9_cs_ch4_lq_012,1,4.7 Error Identification and Debugging,Long,process_procedure,"Explain syntax errors, logical errors, and debugging. Describe how sample test data helps identify and correct errors.",syntax errors، logical errors اور debugging کی وضاحت کریں۔ بیان کریں کہ sample test data errors identify اور correct کرنے میں کیسے مدد دیتا ہے۔,Hard,5,ULTRA,1
