question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Structure of Atom,topic_separator,,,,,,1
q_9_chem_ch2_sq_001,1,2.1 Structure of Atom,list_state,(a) Name the scientist or person who proposed that all matter is made of tiny particles called atoms (b) Name the scientist or person who provided experimental evidence for the existence of atoms around 1800.,(الف) نام یا شناخت لکھیں: کس فلسفی نے کہا کہ تمام مادّہ ننھے ذرّات یعنی ایٹموں سے بنا ہے۔ (ب) تقریباً 1800ء میں ایٹموں کے وجود کے تجرباتی شواہد کس نے فراہم کیے۔,Easy,2,PRO,1
q_9_chem_ch2_sq_002,1,2.1 Structure of Atom,concept_explanation,What did discharge-tube experiments show about atoms?,ڈسچارج ٹیوب کے تجربات نے ایٹموں کے بارے میں کیا ظاہر کیا؟,Medium,2,PRO,1
q_9_chem_ch2_sq_003,1,2.1 Structure of Atom,features_characteristics,(a) Name the subatomic particle that carries a negative charge (b) Name the subatomic particle that carries a positive charge.,(الف) نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ منفی بار رکھتا ہے۔ (ب) نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ مثبت بار رکھتا ہے۔,Easy,2,PRO,1
q_9_chem_ch2_sq_004,1,2.1 Structure of Atom,list_state,(a) Name the subatomic particle that has no charge (b) Name the scientist or person who studied cathode rays in 1897 and identified electrons.,(الف) نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ بے بار ہوتا ہے۔ (ب) 1897ء میں کیتھوڈ شعاعوں کا مطالعہ کر کے الیکٹران کی شناخت کس نے کی۔,Easy,2,PRO,1
q_9_chem_ch2_sq_005,1,2.1 Structure of Atom,application_scenario,A proton is approximately how many times heavier than an electron?,تعداد یا مقدار بیان کریں: پروٹان الیکٹران سے تقریباً کتنی گنا زیادہ بھاری ہے۔,Medium,2,ULTRA,1
q_9_chem_ch2_sq_006,1,2.1 Structure of Atom,explain_reason,Why did cathode rays bend toward the positive plate?,کیتھوڈ شعاعیں مثبت پلیٹ کی طرف کیوں مڑیں؟,Medium,2,PRO,1
q_9_chem_ch2_sq_007,1,2.1 Structure of Atom,list_state,(a) What were the positively charged rays produced in a perforated-cathode tube called? (b) Name the scientist or person who first observed positively charged particles through canal-ray experiments.,(الف) سوراخ دار کیتھوڈ والی ٹیوب میں پیدا ہونے والی مثبت شعاعوں کو کیا کہا گیا۔ (ب) کینال شعاعوں کے تجربات سے مثبت ذرّات کا سب سے پہلے مشاہدہ کس نے کیا۔,Easy,2,ULTRA,1
q_9_chem_ch2_sq_008,1,2.1 Structure of Atom,list_state,(a) Name the scientist or person who concluded from the gold-foil experiment that an atom has a tiny central nucleus (b) What force holds protons and neutrons together in the nucleus?.,(الف) سونے کے ورق کے تجربے سے ایٹم میں ننھا مرکزی مرکزہ ہونے کا نتیجہ کس نے اخذ کیا۔ (ب) مرکزے میں پروٹان اور نیوٹران کو کون سی قوت اکٹھا رکھتی ہے۔,Easy,2,PRO,1
q_9_chem_ch2_sq_009,1,2.1 Structure of Atom,explain_reason,Why is almost all atomic mass concentrated in the nucleus?,ایٹم کی تقریباً تمام کمیت مرکزے میں کیوں مرتکز ہوتی ہے؟,Medium,2,PRO,1
TOPIC_SEP,1,2.1 Bohr Atomic Model and Shells,topic_separator,,,,,,1
q_9_chem_ch2_sq_010,1,2.1 Bohr Atomic Model and Shells,list_state,"(a) According to Bohr, electrons revolve around the nucleus in definite paths called what (b) What remains fixed while an electron revolves in an allowed Bohr orbit?.",(الف) بوہر کے مطابق الیکٹران مرکزے کے گرد معین راستوں میں گردش کرتے ہیں جنہیں کیا کہتے ہیں۔ (ب) بوہر کے مجاز مدار میں الیکٹران کی گردش کے دوران کیا مقرر رہتا ہے۔,Medium,2,PRO,1
q_9_chem_ch2_sq_011,1,2.1 Bohr Atomic Model and Shells,definition_function,(a) Name the lowest-energy state of an atom (b) Name the shell nearest to the nucleus.,(الف) ایٹم کی کم ترین توانائی والی حالت کا نام لکھیں۔ (ب) مرکزے کے سب سے قریب خول کا نام کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,ULTRA,1
q_9_chem_ch2_sq_012,1,2.1 Bohr Atomic Model and Shells,cause_effect,How does electron energy change in shells farther from the nucleus?,مرکزے سے دور خولوں میں الیکٹران کی توانائی کیسے بدلتی ہے؟,Medium,2,PRO,1
q_9_chem_ch2_sq_013,1,2.1 Bohr Atomic Model and Shells,numerical_short,Calculate how many subshells are present in the second shell (n = 2). Show the required working.,تعداد یا مقدار بیان کریں: دوسرے خول (n = 2) میں کتنے ذیلی خول ہوتے ہیں۔,Easy,2,ULTRA,1
