question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch3_mcq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Topic,,,,,,,,,,1
q_10_eng_ch3_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What is code-switching?,changing passwords,using emojis,formal English,mixing languages,D | mixing languages,Easy,1,ELITE,1
q_10_eng_ch3_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Which word was popularized digitally?,grammar,television,hashtag,friend,C | hashtag,Easy,1,ELITE,1
q_10_eng_ch3_003,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Why are grammar rules often relaxed online?,poor vocabulary,speed and ease,lack of rules,teacher advice,B | speed and ease,Easy,1,ELITE,1
q_10_eng_ch3_004,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What role do emojis play?,support words,replace grammar,teach spelling,reduce meaning,A | support words,Easy,1,ELITE,1
q_10_eng_ch3_005,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,One risk of English dominance is:,less internet use,fewer emojis,less reading,local-language decline,D | local-language decline,Easy,1,ELITE,1
q_10_eng_ch3_006,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Modern spoken English is shaped by:,local books only,fixed accents,global media,older people,C | global media,Easy,1,ELITE,1
q_10_eng_ch3_007,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Lingua franca means:,digital slang,common bridge language,French dialect,sign language,B | common bridge language,Easy,1,ELITE,1
sep_10_eng_ch3_mcq_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch3_008,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“abbreviations” means:,shortened forms,fully hidden,moving quickly,without meaning,A | shortened forms,Medium,1,ELITE,1
q_10_eng_ch3_009,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“controversial” means:,very ancient,spoken softly,carefully measured,causing disagreement,D | causing disagreement,Medium,1,ULTRA,1
q_10_eng_ch3_010,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“conversation” means:,completely separate,made smaller,informal talk,moving quickly,C | informal talk,Easy,1,PRO,1
q_10_eng_ch3_011,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“evolve” means:,always formal,develop gradually,spoken softly,without meaning,B | develop gradually,Medium,1,ELITE,1
q_10_eng_ch3_012,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“exposure” means:,contact or experience,completely separate,carefully measured,strongly opposed,A | contact or experience,Medium,1,ULTRA,1
q_10_eng_ch3_013,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“fascinating” means:,without meaning,made smaller,fully hidden,very interesting,D | very interesting,Medium,1,ULTRA,1
q_10_eng_ch3_014,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“flexibility” means:,always formal,very ancient,ability to adapt,carefully measured,C | ability to adapt,Medium,1,ELITE,1
q_10_eng_ch3_015,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“hieroglyphs” means:,moving quickly,picture symbols,made smaller,strongly opposed,B | picture symbols,Medium,1,ULTRA,1
q_10_eng_ch3_016,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q1(c) Correct Meaning | Complete Glossary,Remember,“hybrid” means:,mixed form,always formal,fully hidden,spoken softly,A | mixed form,Medium,1,ELITE,1
