question_hash,active,topic,question_type,question_style,tense,voice,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_b_voice_updated_001,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Topic,topic_separator,Present Indefinite Tense,,,,,,1
q_9_eng_b_voice_0002,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The students complete the assignments on time.,Easy,1,PRO,1
q_9_eng_b_voice_0003,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The mechanic repairs the car in the workshop.,Easy,1,PRO,1
q_9_eng_b_voice_0004,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The workers build the bridge over the river.,Easy,1,PRO,1
q_9_eng_b_voice_0005,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The chef prepares the meal for the guests.,Easy,1,PRO,1
q_9_eng_b_voice_0006,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The nurse assists the patient in the ward.,Easy,1,PRO,1
q_9_eng_b_voice_0007,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The police arrest the thief near the station.,Easy,1,PRO,1
q_9_eng_b_voice_0008,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The committee approves the proposal after discussion.,Easy,1,PRO,1
q_9_eng_b_voice_0009,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The manager signs the documents in the office.,Easy,1,PRO,1
q_9_eng_b_voice_0010,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The farmers grow wheat in the fields.,Easy,1,PRO,1
q_9_eng_b_voice_0011,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The artist paints the portrait in the studio.,Easy,1,PRO,1
q_9_eng_b_voice_0012,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The carpenter makes the table from wood.,Easy,1,PRO,1
q_9_eng_b_voice_0013,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The librarian issues the books to the students.,Easy,1,PRO,1
q_9_eng_b_voice_0014,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The postman delivers the letters in the morning.,Easy,1,PRO,1
q_9_eng_b_voice_0015,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The volunteers clean the park on Sunday.,Easy,1,PRO,1
q_9_eng_b_voice_0016,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The engineers design the machine for the factory.,Easy,1,PRO,1
q_9_eng_b_voice_0017,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The doctor examines the patient carefully.,Easy,1,PRO,1
q_9_eng_b_voice_0018,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The mother bakes the cake for the birthday.,Easy,1,PRO,1
q_9_eng_b_voice_0019,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The principal announces the results at the assembly.,Easy,1,PRO,1
q_9_eng_b_voice_0020,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The company launches the product next month.,Easy,1,PRO,1
q_9_eng_b_voice_0021,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The scientists conduct the experiment in the laboratory.,Easy,1,PRO,1
q_9_eng_b_voice_0022,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The gardener waters the plants every morning.,Easy,1,PRO,1
q_9_eng_b_voice_0023,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The tailor does not stitch the uniforms for the team.,Medium,1,ULTRA,1
q_9_eng_b_voice_0024,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The mason does not construct the wall around the garden.,Medium,1,ULTRA,1
q_9_eng_b_voice_0025,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The reporter does not write the article for the newspaper.,Medium,1,ULTRA,1
q_9_eng_b_voice_0026,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The publisher does not print the books for the schools.,Medium,1,ULTRA,1
q_9_eng_b_voice_0027,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The school does not organize the competition in the hall.,Medium,1,ULTRA,1
q_9_eng_b_voice_0028,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The judge does not hear the case in court.,Medium,1,ULTRA,1
q_9_eng_b_voice_0029,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The coach does not train the players for the match.,Medium,1,ULTRA,1
q_9_eng_b_voice_0030,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,The shopkeeper does not pack the goods for the customer.,Medium,1,ULTRA,1
q_9_eng_b_voice_0031,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Does the electrician fix the wires in the building?,Medium,1,ULTRA,1
q_9_eng_b_voice_0032,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Does the plumber install the pipes in the house?,Medium,1,ULTRA,1
q_9_eng_b_voice_0033,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Does the driver wash the bus before the trip?,Medium,1,ULTRA,1
q_9_eng_b_voice_0034,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Does the team win the trophy in the final?,Medium,1,ULTRA,1
q_9_eng_b_voice_0035,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Does the clerk check the forms at the counter?,Medium,1,ULTRA,1
q_9_eng_b_voice_0036,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Who teaches English in this class?,Hard,1,ELITE,1
q_9_eng_b_voice_0037,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Who checks the attendance every morning?,Hard,1,ELITE,1
