question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch4_sq_001,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,while_reading,Who migrated from Makkah Mukarramah to Madinah Munawwarah in 622 A.D.?,Easy,2,PRO,1
q_9_eng_ch4_sq_002,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,while_reading,"What title was given to Hazrat Asma for her service during the migration preparation, and why?",Easy,2,PRO,1
q_9_eng_ch4_sq_003,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,while_reading,What did Hazrat Asma do when Abu Jahl demanded to know her father's whereabouts?,Easy,2,PRO,1
q_9_eng_ch4_sq_004,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,while_reading,How did Hazrat Asma alleviate her blind grandfather's concern about the family's wealth?,Medium,2,PRO,1
q_9_eng_ch4_sq_005,1,ENGLISH_A | Unit 4 - Hazrat Asma | While-reading Questions,while_reading,List the family relationships of Hazrat Asma mentioned in the text.,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch4_sq_006,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma's actions during the migration demonstrate her resourcefulness and courage? Give text-based examples.,Hard,2,PRO,1
q_9_eng_ch4_sq_007,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How can the qualities of Hazrat Asma be applied to contemporary situations of trust and integrity? Give an example.,Hard,2,ULTRA,1
q_9_eng_ch4_sq_008,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,Summarize the key challenges Hazrat Asma faced during the migration and explain how she overcame them.,Hard,2,PRO,1
q_9_eng_ch4_sq_009,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma handle the trust placed in her by her father and the Rasoolullah ﷺ?,Medium,2,PRO,1
q_9_eng_ch4_sq_010,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma's actions ensure the safety and success of the migration?,Medium,2,PRO,1
q_9_eng_ch4_sq_011,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma's self-discipline help her handle difficult situations effectively?,Hard,2,PRO,1
q_9_eng_ch4_sq_012,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma show respect for herself and others throughout the events in the lesson?,Hard,2,ULTRA,1
q_9_eng_ch4_sq_013,1,ENGLISH_A | Unit 4 - Hazrat Asma | Reading and Critical Thinking,exercise_direct,How did Hazrat Asma demonstrate respect for her grandfather even though he was a disbeliever at that time?,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch4_sq_014,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,Why did the chiefs of Makkah become furious after learning about the migration?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_015,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,What rewards did the chiefs offer for the capture of the Rasoolullah ﷺ and Hazrat Abu Bakr Siddique?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_016,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,What useful services did Hazrat Asma render during the migration preparations?,Medium,2,PRO,1
q_9_eng_ch4_sq_017,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,Why was supplying food during the perilous journey a delicate task?,Medium,2,PRO,1
q_9_eng_ch4_sq_018,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,How did Hazrat Asma reach the cave of Thawr every night?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_019,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,What danger did Hazrat Asma face while traversing the rocky path at night?,Medium,2,ULTRA,1
q_9_eng_ch4_sq_020,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,character_reason,How did Hazrat Asma's reply to Abu Jahl show wisdom?,Medium,2,PRO,1
q_9_eng_ch4_sq_021,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,character_reason,How did Hazrat Asma remain steadfast after Abu Jahl struck her?,Medium,2,PRO,1
q_9_eng_ch4_sq_022,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,Why was Hazrat Abu Quhafa worried after Hazrat Abu Bakr's departure?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_023,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,character_reason,Why did Hazrat Asma use pebbles and a piece of cloth in front of her grandfather?,Medium,2,PRO,1
q_9_eng_ch4_sq_024,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,How did Hazrat Asma's action alleviate her grandfather's concern?,Medium,2,PRO,1
q_9_eng_ch4_sq_025,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,"Who were Hazrat Asma's father, stepsister, husband, and son?",Easy,2,PRO,1
q_9_eng_ch4_sq_026,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,How did Hazrat Abdullah bin Zubair describe Hazrat Asma's generosity?,Medium,2,ULTRA,1
q_9_eng_ch4_sq_027,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,prose_short,What did Hazrat Asma do with her inherited garden?,Easy,2,PRO,1
q_9_eng_ch4_sq_028,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,theme_message,Why will Hazrat Asma always be remembered?,Easy,2,PRO,1
q_9_eng_ch4_sq_029,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,theme_message,What qualities make Hazrat Asma a role model for the Muslim Ummah?,Medium,2,PRO,1
q_9_eng_ch4_sq_030,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,theme_message,State the central theme of the unit “Hazrat Asma.”,Easy,2,PRO,1
q_9_eng_ch4_sq_031,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,evidence_based,Give two examples that show Hazrat Asma's courage.,Medium,2,PRO,1
q_9_eng_ch4_sq_032,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,evidence_based,Give two examples that show Hazrat Asma's resourcefulness.,Medium,2,PRO,1
q_9_eng_ch4_sq_033,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,evidence_based,Give two examples that show Hazrat Asma's trustworthiness.,Medium,2,PRO,1
q_9_eng_ch4_sq_034,1,ENGLISH_A | Unit 4 - Hazrat Asma | Text-derived Board Questions,evidence_based,Give two examples that show Hazrat Asma's generosity.,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,topic_separator,,,,,1
q_9_eng_ch4_sq_035,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,main_idea,What context clues help infer the meaning of the word “rugged” in the lesson?,Medium,2,ULTRA,1
q_9_eng_ch4_sq_036,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,main_idea,What context clues help infer the meaning of the word “endangered” in the lesson?,Medium,2,ULTRA,1
q_9_eng_ch4_sq_037,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,exercise_direct,What is the function of a gerund in a sentence?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_038,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,exercise_direct,What is an infinitive?,Easy,2,ULTRA,1
q_9_eng_ch4_sq_039,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,exercise_direct,"What is a participle, and how is it used?",Medium,2,ULTRA,1
q_9_eng_ch4_sq_040,1,ENGLISH_A | Unit 4 - Hazrat Asma | Vocabulary and Grammar Questions,exercise_direct,Name the three tenses required in the challenging-situation paragraph exercise.,Easy,2,PRO,1
