question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Topic,,,,,,,,,,0
q_9_eng_ch5_001,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[corporation]].,introducing or using new ideas or ways of doing something,a large business company,a fixed and often inaccurate idea about a type of person or thing,business conducted on the internet,B | a large business company,Easy,1,PRO,0
q_9_eng_ch5_002,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[e-commerce]].,financial services such as small loans and savings for people unable to use banks,done as part of a plan to achieve a purpose or advantage,"the activity of starting or running businesses, especially with financial risk",business conducted on the internet,D | business conducted on the internet,Easy,1,PRO,0
q_9_eng_ch5_003,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[entrepreneurship]].,"the activity of starting or running businesses, especially with financial risk",a usual or expected pattern of behaviour,to become and continue to be successful and strong,introducing or using new ideas or ways of doing something,"A | the activity of starting or running businesses, especially with financial risk",Easy,1,PRO,0
q_9_eng_ch5_004,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[innovative]].,connected with society and the way it is organised,a large business company,introducing or using new ideas or ways of doing something,financial services such as small loans and savings for people unable to use banks,C | introducing or using new ideas or ways of doing something,Easy,1,PRO,0
q_9_eng_ch5_005,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[microfinance]].,a fixed and often inaccurate idea about a type of person or thing,business conducted on the internet,financial services such as small loans and savings for people unable to use banks,a usual or expected pattern of behaviour,C | financial services such as small loans and savings for people unable to use banks,Easy,1,PRO,0
q_9_eng_ch5_006,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[norm]].,a usual or expected pattern of behaviour,done as part of a plan to achieve a purpose or advantage,"the activity of starting or running businesses, especially with financial risk",connected with society and the way it is organised,A | a usual or expected pattern of behaviour,Medium,1,PRO,0
q_9_eng_ch5_007,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[societal]].,to become and continue to be successful and strong,introducing or using new ideas or ways of doing something,a fixed and often inaccurate idea about a type of person or thing,connected with society and the way it is organised,D | connected with society and the way it is organised,Medium,1,PRO,0
q_9_eng_ch5_008,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[stereotype]].,a large business company,a fixed and often inaccurate idea about a type of person or thing,financial services such as small loans and savings for people unable to use banks,done as part of a plan to achieve a purpose or advantage,B | a fixed and often inaccurate idea about a type of person or thing,Medium,1,PRO,0
q_9_eng_ch5_009,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[strategic]].,done as part of a plan to achieve a purpose or advantage,business conducted on the internet,a usual or expected pattern of behaviour,to become and continue to be successful and strong,A | done as part of a plan to achieve a purpose or advantage,Medium,1,PRO,0
