question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.2 Boolean Algebra and Logic Gates,topic_separator,,,,,,1
q_9_cs_ch2_sq_001,1,2.2 Boolean Algebra and Logic Gates,definition_function,Define a Boolean function and state the logical values used in it.,Boolean function کی تعریف کریں اور اس میں استعمال ہونے والی logical values بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch2_sq_002,1,2.2 Boolean Algebra and Logic Gates,function_purpose,Explain the significance of a truth table in digital logic and state one use.,digital logic میں truth table کی اہمیت واضح کریں اور اس کا ایک استعمال بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_003,1,2.2 Boolean Algebra and Logic Gates,table_based,Describe the function of a NOT gate and construct its truth table.,NOT gate کا function بیان کریں اور اس کی truth table بنائیں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_004,1,2.2 Boolean Algebra and Logic Gates,table_based,Construct the truth table of a two-variable AND operation.,two-variable AND operation کی truth table بنائیں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_005,1,2.2 Boolean Algebra and Logic Gates,concept_explanation,"Explain the following and state one resulting effect, benefit, or application: Boolean algebra mainly uses which two logical values?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: Boolean algebra بنیادی طور پر کون سی دو logical values استعمال کرتا ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_006,1,2.2 Boolean Algebra and Logic Gates,function_purpose,State the required function or purpose and explain its importance: Which symbol is used for the AND operation in the chapter?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: chapter میں AND operation کے لیے کون سا symbol استعمال ہوا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch2_sq_007,1,2.2 Boolean Algebra and Logic Gates,numerical_short,Solve the following numerical or code-related task and show the main working step: When does an AND operation produce an output of 1?,درج ذیل numerical یا code-related task حل کریں اور بنیادی working step دکھائیں: AND operation output 1 کب produce کرتا ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_008,1,2.2 Boolean Algebra and Logic Gates,function_purpose,State the required function or purpose and explain its importance: How many inputs does the NOT operation use?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: NOT operation کتنے inputs استعمال کرتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch2_sq_009,1,2.2 Boolean Algebra and Logic Gates,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is NOT 1?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: NOT 1 کا output کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch2_sq_010,1,2.2 Boolean Algebra and Logic Gates,function_purpose,State the required function or purpose and explain its importance: What is a Boolean function?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: Boolean function کیا ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_011,1,2.2 Boolean Algebra and Logic Gates,table_based,State the required relationship and support it with the relevant table or diagram details: What does a truth table show?,درج ذیل required relationship بیان کریں اور متعلقہ table یا diagram details لکھیں: truth table کیا دکھاتی ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_012,1,2.2 Boolean Algebra and Logic Gates,list_state,Identify the required item or fact and state one related feature or function: Which gate corresponds to the Boolean AND operation?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا gate Boolean AND operation کے مطابق ہے؟,Easy,2,ULTRA,1
q_9_cs_ch2_sq_013,1,2.2 Boolean Algebra and Logic Gates,list_state,Identify the required item or fact and state one related feature or function: Which gate outputs 1 when at least one input is 1?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا gate کم از کم ایک input 1 ہونے پر output 1 دیتا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch2_sq_014,1,2.2 Boolean Algebra and Logic Gates,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is the dual of A · 0 = 0?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: درج ذیل Boolean identity کا dual کیا ہے: A · 0 = 0,Hard,2,PRO,1
TOPIC_SEP,1,2.1 Basic Concept of Digital Systems,topic_separator,,,,,,1
q_9_cs_ch2_sq_015,1,2.1 Basic Concept of Digital Systems,compare_contrast,State the purposes of ADC and DAC and distinguish between their conversions.,ADC اور DAC کے purposes بیان کریں اور ان کی conversions میں فرق واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_016,1,2.1 Basic Concept of Digital Systems,list_state,Identify the required item or fact and state one related feature or function: Which values are used by digital systems to represent information?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: digital systems information کو represent کرنے کے لیے کون سی values استعمال کرتے ہیں؟,Easy,2,PRO,1
q_9_cs_ch2_sq_017,1,2.1 Basic Concept of Digital Systems,function_purpose,State the required function or purpose and explain its importance: How does an analog signal change with time?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: analog signal وقت کے ساتھ کس طرح change ہوتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch2_sq_018,1,2.1 Basic Concept of Digital Systems,definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which of the following is an example of an analog signal?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: درج ذیل میں سے کون analog signal کی مثال ہے؟,Easy,2,ELITE,1
q_9_cs_ch2_sq_019,1,2.1 Basic Concept of Digital Systems,function_purpose,State the required function or purpose and explain its importance: What is the purpose of an ADC?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: ADC کا مقصد کیا ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_020,1,2.1 Basic Concept of Digital Systems,function_purpose,State the required function or purpose and explain its importance: What is the purpose of a DAC?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: DAC کا مقصد کیا ہے؟,Medium,2,PRO,1
q_9_cs_ch2_sq_021,1,2.1 Basic Concept of Digital Systems,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why are digital signals suitable for long-distance transmission and storage?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: digital signals long-distance transmission اور storage کے لیے موزوں کیوں ہیں؟,Medium,2,ULTRA,1
TOPIC_SEP,1,2.5 System Troubleshooting,topic_separator,,,,,,1
q_9_cs_ch2_sq_022,1,2.5 System Troubleshooting,process_steps,State the first step of systematic troubleshooting and explain its purpose.,systematic troubleshooting کا پہلا step بیان کریں اور اس کا مقصد واضح کریں۔,Easy,2,PRO,1
q_9_cs_ch2_sq_023,1,2.5 System Troubleshooting,sequence,State the step that follows problem identification in troubleshooting and explain why it is required.,troubleshooting میں problem identification کے بعد آنے والا step بیان کریں اور اس کی ضرورت واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_024,1,2.5 System Troubleshooting,explain_reason,Explain the importance of testing a theory during troubleshooting.,troubleshooting کے دوران theory test کرنے کی اہمیت واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch2_sq_025,1,2.5 System Troubleshooting,process_steps,Explain what is performed during the 'Implement the Solution' step of troubleshooting.,troubleshooting کے 'Implement the Solution' step میں انجام دیے جانے والے کام کی وضاحت کریں۔,Medium,2,PRO,1
