question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Biomolecules,Topic,,,,,,,,,,,1
q_9_bio_ch6_001,1,6.1 Biomolecules,Remember,Which term or option matches this textbook description: the study of substances and chemical processes occurring in living organisms?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: جانداروں میں پائے جانے والے مادّوں اور کیمیائی عمل کا مطالعہ,Biochemistry / حیاتی کیمیا,Monosaccharide / مونوسیکرائڈ,Sucrose / سکروز,Starch / نشاستہ,A | Biochemistry / حیاتی کیمیا,Easy,1,PRO,1
q_9_bio_ch6_002,1,6.1 Biomolecules,Remember,Identify the correct answer for the following description: the study of the structure and function of biomolecules.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: biomolecules کی ساخت اور افعال کا مطالعہ,Monosaccharide / مونوسیکرائڈ,Molecular biology / سالماتی حیاتیات,Carbohydrates / کاربوہائیڈریٹس,Disaccharide / ڈسیکرائڈ,B | Molecular biology / سالماتی حیاتیات,Easy,1,PRO,1
q_9_bio_ch6_003,1,6.1 Biomolecules,Remember,"The textbook description “molecules produced by organisms, including carbohydrates, proteins, lipids, and nucleic acids” refers to which option?",کتابی وضاحت ”جانداروں کے بنائے ہوئے molecules جن میں carbohydrates، proteins، lipids اور nucleic acids شامل ہیں“ کس جواب کی طرف اشارہ کرتی ہے؟,Polysaccharide / پولی سیکرائڈ,Molecular biology / سالماتی حیاتیات,Biomolecules / حیاتی سالمات,Cₙ(H₂O)ₙ,C | Biomolecules / حیاتی سالمات,Easy,1,ULTRA,1
TOPIC_SEP,1,6.2 Carbohydrates,Topic,,,,,,,,,,,1
q_9_bio_ch6_004,1,6.2 Carbohydrates,Remember,Which option is correctly identified by this description: organic compounds in which hydrogen and oxygen occur in a 2:1 ratio?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: نامیاتی مرکبات جن میں hydrogen اور oxygen کا تناسب 2:1 ہوتا ہے,Monosaccharide / مونوسیکرائڈ,Glucose / گلوکوز,Polysaccharide / پولی سیکرائڈ,Carbohydrates / کاربوہائیڈریٹس,D | Carbohydrates / کاربوہائیڈریٹس,Easy,1,ULTRA,1
q_9_bio_ch6_005,1,6.2 Carbohydrates,Remember,Which term or option matches this textbook description: the general formula of many carbohydrates?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: بہت سے carbohydrates کا عمومی فارمولا,Cₙ(H₂O)ₙ,Glucose / گلوکوز,Monosaccharide / مونوسیکرائڈ,Biomolecules / حیاتی سالمات,A | Cₙ(H₂O)ₙ,Easy,1,ULTRA,1
q_9_bio_ch6_006,1,6.2 Carbohydrates,Remember,Identify the correct answer for the following description: a carbohydrate made of one sugar unit.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: ایک sugar unit سے بنا carbohydrate,Ribose / رائبوز,Monosaccharide / مونوسیکرائڈ,Starch / نشاستہ,Sucrose / سکروز,B | Monosaccharide / مونوسیکرائڈ,Easy,1,ELITE,1
q_9_bio_ch6_007,1,6.2 Carbohydrates,Remember,The textbook description “a carbohydrate made of two monosaccharide units” refers to which option?,کتابی وضاحت ”دو monosaccharide units سے بنا carbohydrate“ کس جواب کی طرف اشارہ کرتی ہے؟,Monosaccharide / مونوسیکرائڈ,Maltose / مالٹوز,Disaccharide / ڈسیکرائڈ,Biochemistry / حیاتی کیمیا,C | Disaccharide / ڈسیکرائڈ,Easy,1,ELITE,1
q_9_bio_ch6_008,1,6.2 Carbohydrates,Remember,Which option is correctly identified by this description: a carbohydrate made of hundreds to thousands of monosaccharide units?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: سینکڑوں سے ہزاروں monosaccharide units سے بنا carbohydrate,Glucose / گلوکوز,Cellulose / سیلولوز,Sucrose / سکروز,Polysaccharide / پولی سیکرائڈ,D | Polysaccharide / پولی سیکرائڈ,Easy,1,ELITE,1
q_9_bio_ch6_009,1,6.2 Carbohydrates,Remember,Which term or option matches this textbook description: a five-carbon sugar present in RNA?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: RNA میں موجود پانچ carbon والی sugar,Ribose / رائبوز,Biomolecules / حیاتی سالمات,Disaccharide / ڈسیکرائڈ,Carbohydrates / کاربوہائیڈریٹس,A | Ribose / رائبوز,Easy,1,IMPORTANT,1
q_9_bio_ch6_010,1,6.2 Carbohydrates,Remember,Identify the correct answer for the following description: a common six-carbon monosaccharide used as an immediate energy source.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: عام چھ carbon والا monosaccharide جو فوری توانائی کا ذریعہ ہے,Cellulose / سیلولوز,Glucose / گلوکوز,Monosaccharide / مونوسیکرائڈ,Sucrose / سکروز,B | Glucose / گلوکوز,Easy,1,IMPORTANT,1
q_9_bio_ch6_011,1,6.2 Carbohydrates,Remember,The textbook description “the disaccharide formed from glucose and fructose” refers to which option?,کتابی وضاحت ”glucose اور fructose سے بننے والا disaccharide“ کس جواب کی طرف اشارہ کرتی ہے؟,Molecular biology / سالماتی حیاتیات,Cellulose / سیلولوز,Sucrose / سکروز,Polysaccharide / پولی سیکرائڈ,C | Sucrose / سکروز,Easy,1,PRO,1
q_9_bio_ch6_012,1,6.2 Carbohydrates,Remember,Which option is correctly identified by this description: the disaccharide formed from two glucose molecules?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: دو glucose molecules سے بننے والا disaccharide,Carbohydrates / کاربوہائیڈریٹس,Molecular biology / سالماتی حیاتیات,Ribose / رائبوز,Maltose / مالٹوز,D | Maltose / مالٹوز,Easy,1,PRO,1
q_9_bio_ch6_013,1,6.2 Carbohydrates,Remember,Which term or option matches this textbook description: the storage polysaccharide commonly found in plants?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: پودوں میں عام ذخیرہ polysaccharide,Starch / نشاستہ,Biomolecules / حیاتی سالمات,Cellulose / سیلولوز,Monosaccharide / مونوسیکرائڈ,A | Starch / نشاستہ,Easy,1,ULTRA,1
q_9_bio_ch6_014,1,6.2 Carbohydrates,Remember,Identify the correct answer for the following description: the structural polysaccharide that supports plant cell walls.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: نباتاتی خلوی دیوار کو سہارا دینے والا structural polysaccharide,Disaccharide / ڈسیکرائڈ,Cellulose / سیلولوز,Sucrose / سکروز,Polysaccharide / پولی سیکرائڈ,B | Cellulose / سیلولوز,Easy,1,ULTRA,1
TOPIC_SEP,1,6.3 Proteins,Topic,,,,,,,,,,,1
q_9_bio_ch6_015,1,6.3 Proteins,Remember,The textbook description “biomolecules defined as polymers of amino acids” refers to which option?,کتابی وضاحت ”وہ biomolecules جو amino acids کے polymers ہیں“ کس جواب کی طرف اشارہ کرتی ہے؟,Actin and myosin / ایکٹن اور مایوسن,R group / R گروپ,Proteins / پروٹینز,Keratin / کیراٹن,C | Proteins / پروٹینز,Easy,1,ULTRA,1
q_9_bio_ch6_016,1,6.3 Proteins,Remember,Which option is correctly identified by this description: the monomers from which proteins are built?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: وہ monomers جن سے proteins بنتے ہیں,Essential amino acids / ضروری امینو ایسڈز,R group / R گروپ,Keratin / کیراٹن,Amino acids / امینو ایسڈز,D | Amino acids / امینو ایسڈز,Easy,1,ELITE,1
q_9_bio_ch6_017,1,6.3 Proteins,Understand,Which term or option matches this textbook description: the amino-acid component that determines its unique properties?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: amino acid کا وہ جز جو اس کی منفرد خصوصیات طے کرتا ہے,R group / R گروپ,Essential amino acids / ضروری امینو ایسڈز,Collagen / کولیجن,Fibrin / فائبرن,A | R group / R گروپ,Easy,1,ELITE,1
q_9_bio_ch6_018,1,6.3 Proteins,Understand,Identify the correct answer for the following description: amino acids that the human body cannot synthesize and must obtain from food.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: وہ amino acids جو جسم نہیں بنا سکتا اور خوراک سے حاصل کرنا پڑتے ہیں,Haemoglobin / ہیموگلوبن,Essential amino acids / ضروری امینو ایسڈز,Collagen / کولیجن,Proteins / پروٹینز,B | Essential amino acids / ضروری امینو ایسڈز,Easy,1,ELITE,1
q_9_bio_ch6_019,1,6.3 Proteins,Understand,The textbook description “the bond joining amino acids in a protein chain” refers to which option?,کتابی وضاحت ”protein chain میں amino acids کو جوڑنے والا bond“ کس جواب کی طرف اشارہ کرتی ہے؟,R group / R گروپ,Fibrin / فائبرن,Peptide bond / پیپٹائڈ بند,Collagen / کولیجن,C | Peptide bond / پیپٹائڈ بند,Medium,1,IMPORTANT,1
q_9_bio_ch6_020,1,6.3 Proteins,Understand,Which option is correctly identified by this description: the protein that provides structural strength in cartilage and connective tissues?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: وہ protein جو cartilage اور connective tissues کو ساختی مضبوطی دیتا ہے,Actin and myosin / ایکٹن اور مایوسن,Keratin / کیراٹن,Proteins / پروٹینز,Collagen / کولیجن,D | Collagen / کولیجن,Medium,1,IMPORTANT,1
q_9_bio_ch6_021,1,6.3 Proteins,Understand,Which term or option matches this textbook description: the structural protein abundant in hair and nails?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: بالوں اور ناخنوں میں وافر structural protein,Keratin / کیراٹن,R group / R گروپ,Peptide bond / پیپٹائڈ بند,Essential amino acids / ضروری امینو ایسڈز,A | Keratin / کیراٹن,Medium,1,PRO,1
q_9_bio_ch6_022,1,6.3 Proteins,Understand,Identify the correct answer for the following description: the protein responsible for oxygen transport in blood.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: خون میں oxygen کی منتقلی کا ذمہ دار protein,Actin and myosin / ایکٹن اور مایوسن,Haemoglobin / ہیموگلوبن,Proteins / پروٹینز,Fibrin / فائبرن,B | Haemoglobin / ہیموگلوبن,Medium,1,PRO,1
q_9_bio_ch6_023,1,6.3 Proteins,Understand,The textbook description “the muscle proteins responsible for contraction” refers to which option?,کتابی وضاحت ”عضلاتی سکڑاؤ کے ذمہ دار proteins“ کس جواب کی طرف اشارہ کرتی ہے؟,Fibrin / فائبرن,Proteins / پروٹینز,Actin and myosin / ایکٹن اور مایوسن,Keratin / کیراٹن,C | Actin and myosin / ایکٹن اور مایوسن,Medium,1,ULTRA,1
q_9_bio_ch6_024,1,6.3 Proteins,Understand,Which option is correctly identified by this description: the protein involved in formation of a blood clot?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: خون کا لوتھڑا بنانے میں شامل protein,Actin and myosin / ایکٹن اور مایوسن,Peptide bond / پیپٹائڈ بند,Proteins / پروٹینز,Fibrin / فائبرن,D | Fibrin / فائبرن,Medium,1,ULTRA,1
TOPIC_SEP,1,6.4 Lipids,Topic,,,,,,,,,,,1
