question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch9_mcq_001,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch9_001,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Where does the road diverge?,desert,mountain,river,forest,D | forest,Easy,1,ELITE,1
q_10_eng_ch9_002,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What colour is the wood?,red,brown,yellow,green,C | yellow,Easy,1,ELITE,1
q_10_eng_ch9_003,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Speaker feels ______ about both roads.,fear,sorry,joy,anger,B | sorry,Easy,1,ELITE,1
q_10_eng_ch9_004,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Which road did he take?,less-traveled,busier,clearer,longer,A | less-traveled,Easy,1,ELITE,1
q_10_eng_ch9_005,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What covers the roads?,mud,snow,water,leaves,D | leaves,Easy,1,ELITE,1
q_10_eng_ch9_006,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Speaker doubts he will:,dream,rest,return,travel,C | return,Easy,1,ELITE,1
q_10_eng_ch9_007,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,The road represents a ______ journey.,imaginary,emotional,physical,virtual,B | emotional,Easy,1,ELITE,1
q_10_eng_ch9_008,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Choosing a road means:,deciding,rushing,running,sleeping,A | deciding,Easy,1,ELITE,1
q_10_eng_ch9_009,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,He predicts he will:,laugh,shout,forget,sigh,D | sigh,Easy,1,ELITE,1
q_10_eng_ch9_010,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,The roads symbolize choices in:,stories,history,life,nature,C | life,Easy,1,ELITE,1
sep_10_eng_ch9_mcq_002,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch9_011,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“ages” means:,long time,very happy,fully certain,freshly made,A | long time,Medium,1,ELITE,1
q_10_eng_ch9_012,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“diverged” means:,very happy,fully certain,freshly made,split apart,D | split apart,Medium,1,ELITE,1
q_10_eng_ch9_013,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“doubted” means:,fully certain,freshly made,felt uncertain,very happy,C | felt uncertain,Medium,1,ELITE,1
q_10_eng_ch9_014,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“perhaps” means:,freshly made,maybe,very happy,fully certain,B | maybe,Medium,1,ELITE,1
q_10_eng_ch9_015,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“trodden” means:,walked on,very happy,fully certain,freshly made,A | walked on,Medium,1,ELITE,1
q_10_eng_ch9_016,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“sigh” means:,very happy,fully certain,freshly made,deep breath,D | deep breath,Medium,1,ELITE,1
q_10_eng_ch9_017,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“undergrowth” means:,fully certain,freshly made,thick bushes,very happy,C | thick bushes,Medium,1,ELITE,1
q_10_eng_ch9_018,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“worn” means:,freshly made,used much,very happy,fully certain,B | used much,Medium,1,ELITE,1
sep_10_eng_ch9_mcq_003,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Topic,,,,,,,,,,1
q_10_eng_ch9_019,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “long time”:,agees,aages,ages,agis,C | ages,Easy,1,ELITE,1
q_10_eng_ch9_020,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “split apart”:,divarged,diverged,divurged,divergedd,B | diverged,Easy,1,ELITE,1
q_10_eng_ch9_021,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “felt uncertain”:,doubted,doutbed,doubtid,doubtedd,A | doubted,Easy,1,ELITE,1
q_10_eng_ch9_022,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “maybe”:,perhapes,perhapps,parhaps,perhaps,D | perhaps,Easy,1,ELITE,1
q_10_eng_ch9_023,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “walked on”:,troden,troddan,trodden,trodon,C | trodden,Easy,1,ELITE,1
q_10_eng_ch9_024,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “deep breath”:,sighh,sigh,sige,sygh,B | sigh,Easy,1,ELITE,1
q_10_eng_ch9_025,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “thick bushes”:,undergrowth,undergroth,undergroweth,undergrouth,A | undergrowth,Easy,1,ELITE,1
q_10_eng_ch9_026,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “used much”:,worne,worrn,warn,worn,D | worn,Easy,1,ELITE,1
sep_10_eng_ch9_mcq_004,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c/d) Poem Content | Board-Oriented MCQs,Topic,,,,,,,,,,1
q_10_eng_ch9_027,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c/d) Poem Content | Board-Oriented MCQs,Understand,Poet of the poem:,Kipling,Robert Frost,P. B. Shelley,Wordsworth,B | Robert Frost,Medium,1,ELITE,1
q_10_eng_ch9_028,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c/d) Poem Content | Board-Oriented MCQs,Understand,Two roads diverged in a:,yellow wood,green field,dark cave,busy street,A | yellow wood,Medium,1,ELITE,1
q_10_eng_ch9_029,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q1(c/d) Poem Content | Board-Oriented MCQs,Understand,Speaker could not travel:,one road,any road,home road,both roads,D | both roads,Medium,1,ULTRA,1
