question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_math_ch13_001,1,13 Introduction to Probability,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_001,1,13 Introduction to Probability,Long,elaborate,"Define probability and explain the basic concepts of experiment, outcome, favourable outcome, sample space, sample point, and event with textbook-supported examples.",probability کی تعریف کریں اور experiment، outcome، favourable outcome، sample space، sample point اور event کے basic concepts textbook-supported examples کے ساتھ explain کریں۔,Easy,5,PRO,1
sep_9_math_ch13_002,1,13 Types of Events,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_002,1,13 Types of Events,Long,classification,"Classify and explain certain, impossible, likely, unlikely, and equally likely events, and locate them on the probability scale from 0 to 1.",certain، impossible، likely، unlikely اور equally likely events کو classify اور explain کریں، اور probability scale 0 سے 1 پر locate کریں۔,Medium,5,ULTRA,1
sep_9_math_ch13_003,1,13.1 Probability of a Single Event,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_003,1,13.1 Probability of a Single Event,Long,state_and_explain,State and explain the classical probability formula for equally likely outcomes. Define each symbol and explain the range 0 ≤ P(A) ≤ 1.,equally likely outcomes کے لیے classical probability formula state اور explain کریں۔ each symbol define کریں اور range 0 ≤ P(A) ≤ 1 explain کریں۔,Medium,5,PRO,1
sep_9_math_ch13_004,1,13.2 Complement of an Event,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_004,1,13.2 Complement of an Event,Long,derive,Explain the complement of an event and derive the relationship between the probability of an event and the probability of its non-occurrence.,event کا complement explain کریں اور event کی probability اور اس کے non-occurrence کی probability کا relationship derive کریں۔,Medium,5,PRO,1
sep_9_math_ch13_005,1,13.3 Real-Life Probability,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_005,1,13.3 Real-Life Probability,Long,discuss,"Discuss how probability and complements are applied to targets, coloured balls, and playing cards. Explain how sample spaces and favourable outcomes are identified.",targets، coloured balls اور playing cards میں probability اور complements کی applications discuss کریں۔ sample spaces اور favourable outcomes identify کرنے کا method explain کریں۔,Medium,5,ELITE,1
sep_9_math_ch13_006,1,13.4–13.5 Relative Frequency,Topic,topic_separator,,,,,,1
q_9_math_ch13_lq_006,1,13.4–13.5 Relative Frequency,Long,state_and_explain,"Define relative frequency and explain how it is used as an estimate of probability. Describe its interpretation as a fraction, decimal, and percentage.",relative frequency کی تعریف کریں اور explain کریں کہ اسے probability کے estimate کے طور پر کیسے use کیا جاتا ہے۔ fraction، decimal اور percentage کے طور پر interpretation describe کریں۔,Medium,5,PRO,1
sep_9_math_ch13_007,1,13.6–13.7 Expected Frequency,Topic,topic_separator,,,,,,1
