question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | While-reading Questions,topic_separator,,,,,0
q_9_eng_ch10_sq_001,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | While-reading Questions,while_reading,Why are snow leopards rarely seen by humans?,Easy,2,PRO,0
q_9_eng_ch10_sq_002,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | While-reading Questions,while_reading,What do markhors eat?,Easy,2,PRO,0
q_9_eng_ch10_sq_003,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | While-reading Questions,while_reading,How have conservation efforts helped increase snow-leopard numbers?,Medium,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,topic_separator,,,,,0
q_9_eng_ch10_sq_004,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,Why is the predator-prey relationship between the snow leopard and the markhor important for the ecosystem?,Medium,2,PRO,0
q_9_eng_ch10_sq_005,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,How do the adaptations of the snow leopard and markhor help them survive in the mountains?,Medium,2,PRO,0
q_9_eng_ch10_sq_006,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,What are the benefits and potential concerns of community-led conservation programmes such as trophy hunting?,Hard,2,PRO,0
q_9_eng_ch10_sq_007,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,What might happen to the ecosystem if either species disappeared?,Hard,2,PRO,0
q_9_eng_ch10_sq_008,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,How do poaching and habitat destruction threaten the natural balance?,Medium,2,PRO,0
q_9_eng_ch10_sq_009,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,How is the markhor adapted to mountainous regions?,Medium,2,PRO,0
q_9_eng_ch10_sq_010,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,What more can be done to raise awareness about endangered species?,Hard,2,ULTRA,0
q_9_eng_ch10_sq_011,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,exercise_direct,How did the description of the animals affect your understanding of them and their environment?,Hard,2,ULTRA,0
q_9_eng_ch10_sq_012,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Reading and Critical Thinking,evidence_based,"Identify the cause, problem, effect, and solutions in the graphic-organiser passage.",Hard,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,topic_separator,,,,,0
q_9_eng_ch10_sq_013,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,Which mountain ranges form the habitat described in the opening paragraph?,Easy,2,ULTRA,0
q_9_eng_ch10_sq_014,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,Why is the snow leopard described as a silent predator?,Medium,2,PRO,0
q_9_eng_ch10_sq_015,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,How do the snow leopard's paws and tail support mountain survival?,Medium,2,PRO,0
q_9_eng_ch10_sq_016,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,Why is the snow leopard important as a top predator?,Medium,2,PRO,0
q_9_eng_ch10_sq_017,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,Where is the markhor found in Pakistan?,Easy,2,ULTRA,0
q_9_eng_ch10_sq_018,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,How does the markhor's coat change with the seasons?,Easy,2,ULTRA,0
q_9_eng_ch10_sq_019,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,Why does the name markhor mean snake-eater?,Medium,2,ULTRA,0
q_9_eng_ch10_sq_020,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Text-derived Board Questions,prose_short,How have markhors adapted to escape snow leopards?,Medium,2,PRO,0
