question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_phy_ch2_001,1,2.1 Representation of Vectors,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_001,1,2.1 Representation of Vectors,Long,diagram_based,"Explain how a vector is represented graphically. Describe the roles of scale, line length, direction, and arrowhead.",وضاحت کریں کہ vector کو graphically کیسے represent کیا جاتا ہے۔ scale، line length، direction اور arrowhead کے roles بیان کریں۔,Easy,5,PRO,1
sep_9_phy_ch2_002,1,2.2 Rest and Motion; 2.5 Speed and Velocity,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_002,1,2.2 Rest and Motion; 2.5 Speed and Velocity,Long,compare,"Differentiate between (a) rest and motion, and (b) speed and velocity, using suitable examples.",مناسب examples کے ساتھ فرق بیان کریں: (a) rest اور motion | (b) speed اور velocity,Medium,5,PRO,1
sep_9_phy_ch2_003,1,2.3 Types of Motion,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_003,1,2.3 Types of Motion,Long,classification,"Describe translatory, rotatory, and vibratory motion. Explain the types of translatory motion with suitable examples.",translatory، rotatory اور vibratory motion بیان کریں۔ translatory motion کی types کو suitable examples کے ساتھ explain کریں۔,Medium,5,PRO,1
sep_9_phy_ch2_004,1,2.4 Distance and Displacement,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_004,1,2.4 Distance and Displacement,Long,compare,Explain the difference between distance and displacement. Discuss the conditions under which their magnitudes may be equal or unequal.,distance اور displacement میں فرق explain کریں۔ وہ conditions discuss کریں جن میں ان کی magnitudes equal یا unequal ہو سکتی ہیں۔,Medium,5,PRO,1
sep_9_phy_ch2_005,1,2.8–2.10 Gradients of Motion Graphs,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_005,1,2.8–2.10 Gradients of Motion Graphs,Long,diagram_based,Explain what the gradients of distance-time and speed-time graphs represent. Illustrate the explanation with suitable graph shapes.,وضاحت کریں کہ distance-time اور speed-time graphs کے gradients کیا represent کرتے ہیں۔ suitable graph shapes کے ساتھ explanation illustrate کریں۔,Hard,5,PRO,1
sep_9_phy_ch2_006,1,2.11 Area Under a Speed-Time Graph,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_006,1,2.11 Area Under a Speed-Time Graph,Long,derive,Prove that the area under a speed-time graph is equal to the distance covered by an object for uniform and uniformly changing speed.,ثابت کریں کہ uniform اور uniformly changing speed کے لیے speed-time graph کے نیچے area، object کے covered distance کے equal ہوتا ہے۔,Hard,5,PRO,1
sep_9_phy_ch2_007,1,2.12–2.13 Equations of Motion and Free Fall,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_007,1,2.12–2.13 Equations of Motion and Free Fall,Long,state_and_explain,Explain how the equations of uniformly accelerated motion are applied to bodies moving vertically under gravity. State the sign convention for upward and downward motion.,وضاحت کریں کہ uniformly accelerated motion کی equations کو gravity کے تحت vertically moving bodies پر کیسے apply کیا جاتا ہے۔ upward اور downward motion کے لیے sign convention بیان کریں۔,Hard,5,PRO,1
q_9_phy_ch2_lq_008,1,2.4 Distance and Displacement,Long,application_case,"Explain, with suitable paths, how distance and displacement may be equal in magnitude in one journey and unequal in another.",suitable paths کے ساتھ explain کریں کہ one journey میں distance اور displacement magnitude میں equal اور another journey میں unequal کیسے ہو سکتے ہیں۔,Medium,5,PRO,1
sep_9_phy_ch2_008,1,2.6 Acceleration,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_009,1,2.6 Acceleration,Long,application_case,Two bullets leave barrels of different lengths with different muzzle velocities. Explain how the average accelerations of the bullets are compared using the available motion information.,different lengths کے barrels سے different muzzle velocities کے ساتھ نکلنے والی two bullets کی average accelerations کو available motion information سے compare کرنے کا طریقہ explain کریں۔,Hard,5,ELITE,1
sep_9_phy_ch2_009,1,2.5 Velocity,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_010,1,2.5 Velocity,Long,application_case,A complete journey has a positive average velocity. Explain how the instantaneous velocity may still be negative during part of the journey.,complete journey کی average velocity positive ہے۔ explain کریں کہ journey کے کسی part میں instantaneous velocity پھر بھی negative کیسے ہو سکتی ہے۔,Hard,5,ELITE,1
sep_9_phy_ch2_010,1,2.7–2.10 Motion Graphs,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_011,1,2.7–2.10 Motion Graphs,Long,diagram_based,A ball is thrown vertically upward with initial velocity v and returns to the ground after time T. Draw and explain the correct velocity-time graph for the complete motion.,ball کو initial velocity v کے ساتھ vertically upward throw کیا جاتا ہے اور وہ time T کے بعد ground پر return کرتی ہے۔ complete motion کے لیے correct velocity-time graph draw اور explain کریں۔,Hard,5,PRO,1
q_9_phy_ch2_lq_012,1,2.7–2.10 Motion Graphs,Long,diagram_based,"A cyclist's distance-time graph consists of an upward straight segment, a horizontal segment, and a downward straight segment. Explain the motion represented by each segment and how its velocity is determined.",cyclist کے distance-time graph میں upward straight segment، horizontal segment اور downward straight segment ہیں۔ ہر segment سے represented motion اور velocity determine کرنے کا طریقہ explain کریں۔,Medium,5,PRO,1
q_9_phy_ch2_lq_013,1,2.1 Representation of Vectors,Numerical,determine,Draw representative lines to scale for the following vectors: (a) velocity 400 m s⁻¹ making an angle of 60° with the x-axis | (b) force 50 N making an angle of 120° with the x-axis.,"درج ذیل vectors کے representative lines suitable scale سے draw کریں: (a) velocity = 400 m s⁻¹, angle = 60° with x-axis | (b) force = 50 N, angle = 120° with x-axis",Medium,4,PRO,1
sep_9_phy_ch2_011,1,2.5 Average Speed,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_014,1,2.5 Average Speed,Numerical,calculate,A car moves with an average speed of 72 km h⁻¹. Calculate the time required to cover a distance of 360 km.,"درج ذیل data سے required time calculate کریں: average speed = 72 km h⁻¹, distance = 360 km",Easy,4,PRO,1
sep_9_phy_ch2_012,1,2.6 Average Acceleration,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_015,1,2.6 Average Acceleration,Numerical,calculate,A truck starts from rest and reaches a velocity of 90 km h⁻¹ in 50 s. Calculate its average acceleration.,"درج ذیل data سے average acceleration calculate کریں: initial velocity = 0, final velocity = 90 km h⁻¹, time = 50 s",Easy,4,PRO,1
sep_9_phy_ch2_013,1,2.12 First Equation of Motion,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_016,1,2.12 First Equation of Motion,Numerical,calculate,A car passes a green traffic signal with a velocity of 5 m s⁻¹ and then accelerates at 1.5 m s⁻². Calculate its velocity after 5 s.,"درج ذیل data سے 5 s کے بعد velocity calculate کریں: u = 5 m s⁻¹, a = 1.5 m s⁻², t = 5 s",Easy,4,PRO,1
sep_9_phy_ch2_014,1,2.12 Second Equation of Motion,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_017,1,2.12 Second Equation of Motion,Numerical,calculate,A motorcycle initially travels at 18 km h⁻¹ and accelerates uniformly at 2 m s⁻². Calculate the distance travelled in 10 s.,"درج ذیل data سے 10 s میں travelled distance calculate کریں: u = 18 km h⁻¹, a = 2 m s⁻², t = 10 s",Medium,4,PRO,1
sep_9_phy_ch2_015,1,2.12 Third Equation of Motion,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_018,1,2.12 Third Equation of Motion,Numerical,determine,A wagon moves at 54 km h⁻¹. Brakes are applied and it stops after covering 25 m. Determine its acceleration.,"درج ذیل data سے acceleration determine کریں: u = 54 km h⁻¹, v = 0, s = 25 m",Medium,4,PRO,1
sep_9_phy_ch2_016,1,2.13 Free Fall,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_019,1,2.13 Free Fall,Numerical,calculate,A stone is dropped from a height of 45 m. Calculate (a) the time required to reach the ground and (b) its velocity just before striking the ground. Use g = 10 m s⁻².,"درج ذیل data سے calculate کریں: height = 45 m, u = 0, g = 10 m s⁻². (a) ground تک پہنچنے کا time | (b) ground strike کرنے سے just before velocity",Medium,4,PRO,1
sep_9_phy_ch2_017,1,2.5 Average Velocity,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_020,1,2.5 Average Velocity,Numerical,determine,A car travels 10 km at an average velocity of 20 m s⁻¹. It then travels 0.8 km in the same direction at an average velocity of 4 m s⁻¹. Determine the average velocity for the complete journey.,"درج ذیل journey کے لیے average velocity determine کریں: first part = 10 km at 20 m s⁻¹, second part = 0.8 km at 4 m s⁻¹ in same direction",Hard,4,PRO,1
q_9_phy_ch2_lq_021,1,2.13 Free Fall,Numerical,calculate,A ball is dropped from the top of a tower and reaches the ground in 5 s. Calculate (a) the height of the tower and (b) the velocity with which the ball strikes the ground. Use g = 10 m s⁻².,"درج ذیل data سے calculate کریں: u = 0, t = 5 s, g = 10 m s⁻². (a) tower کی height | (b) ground strike کرنے کی velocity",Medium,4,PRO,1
sep_9_phy_ch2_018,1,2.13 Vertical Motion Under Gravity,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_022,1,2.13 Vertical Motion Under Gravity,Numerical,calculate,A cricket ball is hit vertically upward and takes 3 s to reach the highest point. Calculate (a) its initial velocity and (b) its maximum height above the ground if it was hit 1 m above the ground. Use g = 10 m s⁻².,"درج ذیل data سے calculate کریں: time to highest point = 3 s, initial height = 1 m, g = 10 m s⁻². (a) initial velocity | (b) ground سے maximum height",Hard,4,PRO,1
sep_9_phy_ch2_019,1,2.1 Addition of Vectors — Solved Examples,Topic,topic_separator,,,,,,1
q_9_phy_ch2_lq_023,1,2.1 Addition of Vectors — Solved Examples,Numerical,determine,"Using the head-to-tail graphical method and a suitable scale, determine the magnitude and direction of the resultant of two force vectors: 300 N at 30° and 400 N at 60° to the x-axis.",head-to-tail graphical method اور suitable scale استعمال کرتے ہوئے resultant کی magnitude اور direction determine کریں: 300 N at 30° and 400 N at 60° to x-axis,Hard,4,ULTRA,1
sep_9_phy_ch2_020,1,2.5 Average Speed — Solved Examples,Topic,topic_separator,,,,,,1
