question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch7_mcq_001,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch7_001,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Shelley compares time to an:,endless sky,high mountain,quiet river,unfathomable sea,D | unfathomable sea,Easy,1,ELITE,1
q_10_eng_ch7_002,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,“Shoreless flood” suggests:,fixed time,happy life,limitless time,calm time,C | limitless time,Easy,1,ELITE,1
q_10_eng_ch7_003,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,“Brackish” conveys:,calmness,grief,joy,hope,B | grief,Easy,1,ELITE,1
q_10_eng_ch7_004,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,The “howling” of time suggests:,relentless force,quiet beauty,gentle peace,human joy,A | relentless force,Easy,1,ELITE,1
q_10_eng_ch7_005,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,“Treacherous” implies time is:,reliable,gentle,forgiving,dangerous,D | dangerous,Easy,1,ELITE,1
sep_10_eng_ch7_mcq_002,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch7_006,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“brackish” means:,slightly salty,very peaceful,quietly moving,deep sleep,A | slightly salty,Medium,1,ELITE,1
q_10_eng_ch7_007,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“claspest” means:,fully certain,bright colour,fixed border,holds tightly,D | holds tightly,Medium,1,ULTRA,1
q_10_eng_ch7_008,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“ebb” means:,easy answer,soft sound,outward tide,small amount,C | outward tide,Medium,1,ELITE,1
q_10_eng_ch7_009,1,ENGLISH_A | Unit 7 - Time by Percy Bysshe Shelley | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“howling” means:,very peaceful,loud crying,quietly moving,deep sleep,B | loud crying,Medium,1,ULTRA,1
