question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch3_001,1,ENGLISH_A | Unit 3 - Daffodils | Poem Summary,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_001,1,ENGLISH_A | Unit 3 - Daffodils | Poem Summary,Long,poem_summary,"Write an objective summary of William Wordsworth’s poem “Daffodils.” Include the main idea, key imagery, and emotional impact without personal opinions.",Medium,5,PRO,1
q_9_eng_ch3_lq_002,1,ENGLISH_A | Unit 3 - Daffodils | Poem Summary,Long,poem_summary,Write the central idea and a concise summary of “Daffodils.”,Medium,5,PRO,1
sep_9_eng_ch3_002,1,ENGLISH_A | Unit 3 - Daffodils | Stanza Explanation and Reference to Context,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_003,1,ENGLISH_A | Unit 3 - Daffodils | Stanza Explanation and Reference to Context,Long,stanza_explanation,"Explain the following stanza with reference to the context:
I wandered lonely as a cloud
That floats on high o’er vales and hills,
When all at once I saw a crowd,
A host of golden daffodils;
Beside the lake, beneath the trees
Fluttering and dancing in the breeze.",Hard,5,PRO,1
q_9_eng_ch3_lq_004,1,ENGLISH_A | Unit 3 - Daffodils | Stanza Explanation and Reference to Context,Long,stanza_explanation,"Explain the following stanza with reference to the context:
Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance
Tossing their heads in sprightly dance.",Hard,5,PRO,1
q_9_eng_ch3_lq_005,1,ENGLISH_A | Unit 3 - Daffodils | Stanza Explanation and Reference to Context,Long,stanza_explanation,"Explain the following stanza with reference to the context:
The waves beside them danced, but they
Out-did the sparkling waves in glee:
A poet could not but be gay,
In such a jocund company!
I gazed—and gazed—but little thought
What wealth the show to me had brought.",Hard,5,PRO,1
q_9_eng_ch3_lq_006,1,ENGLISH_A | Unit 3 - Daffodils | Stanza Explanation and Reference to Context,Long,stanza_explanation,"Explain the following stanza with reference to the context:
For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills
And dances with the daffodils.",Hard,5,PRO,1
sep_9_eng_ch3_003,1,ENGLISH_A | Unit 3 - Daffodils | Paraphrasing,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_007,1,ENGLISH_A | Unit 3 - Daffodils | Paraphrasing,Long,rewrite_simple_english,"Paraphrase the following stanza in simple prose without changing its meaning:
I wandered lonely as a cloud
That floats on high o’er vales and hills,
When all at once I saw a crowd,
A host of golden daffodils;
Beside the lake, beneath the trees
Fluttering and dancing in the breeze.",Hard,5,PRO,1
