question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.1 Web Development,Topic,,,,,,,,,,,1
q_9_cs_ch5_001,1,5.1 Web Development,Remember,What is web development?,web development کیا ہے؟,The process of repairing computer hardware only / صرف computer hardware repair کرنے کا process,The process of creating and maintaining websites and web applications / websites اور web applications create اور maintain کرنے کا process,The process of converting analog signals / analog signals convert کرنے کا process,The process of assigning IP addresses / IP addresses assign کرنے کا process,B | The process of creating and maintaining websites and web applications / websites اور web applications create اور maintain کرنے کا process,Easy,1,PRO,1
q_9_cs_ch5_002,1,5.1 Web Development,Understand,Which activity is part of web development?,کون سی activity web development کا حصہ ہے؟,Replacing RAM chips only / صرف RAM chips replace کرنا,Routing packets between networks / networks کے درمیان packets route کرنا,Creating Boolean truth tables only / صرف Boolean truth tables بنانا,"Designing, building, and maintaining websites / websites design، build اور maintain کرنا","D | Designing, building, and maintaining websites / websites design، build اور maintain کرنا",Easy,1,ULTRA,1
TOPIC_SEP,1,5.2 Basic Components of Web Development,Topic,,,,,,,,,,,1
q_9_cs_ch5_003,1,5.2 Basic Components of Web Development,Remember,What does front-end development focus on?,front-end development کس چیز پر focus کرتی ہے؟,What users see and interact with on a website / website پر users جو دیکھتے اور interact کرتے ہیں,Only server backups / صرف server backups,Only database authentication / صرف database authentication,Physical network cabling / physical network cabling,A | What users see and interact with on a website / website پر users جو دیکھتے اور interact کرتے ہیں,Easy,1,PRO,1
q_9_cs_ch5_004,1,5.2 Basic Components of Web Development,Remember,What does back-end development manage?,back-end development کیا manage کرتی ہے؟,Only headings and paragraph colours / صرف headings اور paragraph colours,Only browser tabs / صرف browser tabs,"Servers, databases, and application logic / servers، databases اور application logic",Computer power cables / computer power cables,"C | Servers, databases, and application logic / servers، databases اور application logic",Easy,1,PRO,1
q_9_cs_ch5_005,1,5.2 Basic Components of Web Development,Understand,What does a full-stack developer do?,full-stack developer کیا کرتا ہے؟,Works only on physical hardware / صرف physical hardware پر کام کرتا ہے,Works only on network security / صرف network security پر کام کرتا ہے,Works on both front-end and back-end development / front-end اور back-end دونوں development پر کام کرتا ہے,Creates only printed documents / صرف printed documents بناتا ہے,C | Works on both front-end and back-end development / front-end اور back-end دونوں development پر کام کرتا ہے,Medium,1,PRO,1
q_9_cs_ch5_006,1,5.2 Basic Components of Web Development,Analyze,"In a login system, which task belongs mainly to the back end?",login system میں کون سا task mainly back end سے تعلق رکھتا ہے؟,User authentication and database interaction / user authentication اور database interaction,Displaying the login button colour / login button کا colour display کرنا,Choosing heading size / heading size choose کرنا,Drawing a page logo only / صرف page logo draw کرنا,A | User authentication and database interaction / user authentication اور database interaction,Hard,1,ULTRA,1
TOPIC_SEP,1,5.3 Getting Started with HTML,Topic,,,,,,,,,,,1
q_9_cs_ch5_007,1,5.3 Getting Started with HTML,Remember,What does HTML stand for?,HTML کا مکمل نام کیا ہے؟,High Transfer Machine Language,Hyperlink Text Management Logic,Home Tool Markup List,HyperText Markup Language,D | HyperText Markup Language,Easy,1,PRO,1
q_9_cs_ch5_008,1,5.3 Getting Started with HTML,Remember,What is HTML mainly used for?,HTML mainly کس لیے استعمال ہوتی ہے؟,Managing network firewalls / network firewalls manage کرنے کے لیے,Creating the structure and content of web pages / web pages کی structure اور content create کرنے کے لیے,Testing RAM failures / RAM failures test کرنے کے لیے,Converting digital signals to analog / digital signals کو analog میں convert کرنے کے لیے,B | Creating the structure and content of web pages / web pages کی structure اور content create کرنے کے لیے,Easy,1,PRO,1
q_9_cs_ch5_009,1,5.3 Getting Started with HTML,Remember,Which tool is used to write HTML code?,HTML code لکھنے کے لیے کون سا tool استعمال ہوتا ہے؟,Network switch / network switch,Text editor / text editor,Printer driver / printer driver,ADC,B | Text editor / text editor,Easy,1,ULTRA,1
q_9_cs_ch5_010,1,5.3 Getting Started with HTML,Remember,Which tool is used to view and test an HTML file?,HTML file view اور test کرنے کے لیے کون سا tool استعمال ہوتا ہے؟,RAM diagnostic tool,Logic gate / logic gate,Hard-drive cable / hard-drive cable,Web browser / web browser,D | Web browser / web browser,Easy,1,ULTRA,1
q_9_cs_ch5_011,1,5.3 Getting Started with HTML,Remember,Which file extension should be used for an HTML document?,HTML document کے لیے کون سی file extension استعمال ہونی چاہیے؟,.html,.css,.js,.exe,A | .html,Easy,1,PRO,1
TOPIC_SEP,1,5.4 HTML Basic Structure,Topic,,,,,,,,,,,1
