question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,13.0 General Laboratory Safety,topic_separator,,,,,,1
q_9_chem_ch13_sq_001,1,13.0 General Laboratory Safety,list_state,(a) Safety in a chemistry laboratory is whose responsibility? (b) Identify the item that is prohibited in the laboratory.,(الف) کیمیا کی لیبارٹری میں حفاظت کس کی ذمہ داری ہے۔ (ب) لیبارٹری میں کون سی چیز ممنوع ہے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_002,1,13.0 General Laboratory Safety,explain_reason,Why should a student become familiar with the laboratory layout before starting work?,کام شروع کرنے سے پہلے طالب علم کو لیبارٹری کی ترتیب سے واقف کیوں ہونا چاہیے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_003,1,13.0 General Laboratory Safety,explain_reason,Why are students advised not to work alone in the laboratory?,طلبہ کو لیبارٹری میں اکیلے کام نہ کرنے کی ہدایت کیوں دی جاتی ہے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_004,1,13.0 General Laboratory Safety,application_scenario,When should laboratory equipment be checked?,لیبارٹری کے آلات کب جانچے جانے چاہییں؟,Easy,2,ULTRA,1
q_9_chem_ch13_sq_005,1,13.0 General Laboratory Safety,concept_explanation,What should be determined before beginning an experiment?,تجربہ شروع کرنے سے پہلے کیا طے کرنا چاہیے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_006,1,13.0 General Laboratory Safety,process_steps,How should a gas be smelled if smelling is necessary?,اگر گیس سونگھنا ضروری ہو تو اسے کیسے سونگھنا چاہیے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_007,1,13.0 General Laboratory Safety,list_state,(a) What should be done with acids and bases before sewer disposal when permitted? (b) State where hazardous laboratory waste should be taken.,(الف) اجازت ہونے پر تیزاب اور اساس کو سیور میں ضائع کرنے سے پہلے کیا کرنا چاہیے۔ (ب) مقام بیان کریں: خطرناک لیبارٹری فضلہ کہاں لے جانا چاہیے۔,Medium,2,PRO,1
q_9_chem_ch13_sq_008,1,13.0 General Laboratory Safety,list_state,Which three failures commonly lead to laboratory accidents?,نام یا شناخت لکھیں: کون سی تین کوتاہیاں لیبارٹری حادثات کا باعث بنتی ہیں۔,Hard,2,PRO,1
TOPIC_SEP,1,13.1.1 Flammable and Explosive Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_009,1,13.1.1 Flammable and Explosive Hazards,concept_explanation,What characterizes an explosive chemical?,دھماکہ خیز کیمیکل کی بنیادی خصوصیت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch13_sq_010,1,13.1.1 Flammable and Explosive Hazards,list_state,(a) Identify the substance that is listed as an explosive or self-reactive chemical (b) Give one example of a flammable compound.,(الف) نام یا شناخت لکھیں: کون سا مادّہ دھماکہ خیز یا خود تعامل پذیر کیمیکل کے طور پر درج ہے۔ (ب) قابلِ اشتعال مرکب کی مثال کون سی ہے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_011,1,13.1.1 Flammable and Explosive Hazards,list_state,(a) Define a flammable chemical or mixture described as having and state one related characteristic or function (b) What approval is required before using a potentially dangerous chemical?.,(الف) قابلِ اشتعال کیمیکل یا آمیزے کی کیا خصوصیت بیان کی گئی ہے۔ (ب) ممکنہ خطرناک کیمیکل استعمال کرنے سے پہلے کس کی منظوری ضروری ہے۔,Medium,2,PRO,1
q_9_chem_ch13_sq_012,1,13.1.1 Flammable and Explosive Hazards,concept_explanation,What should you do if a chemical is suspected to be explosive?,اگر کسی کیمیکل کے دھماکہ خیز ہونے کا شبہ ہو تو کیا کرنا چاہیے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_013,1,13.1.1 Flammable and Explosive Hazards,explain_reason,Why should the smallest possible quantity of a dangerous chemical be used?,خطرناک کیمیکل کی کم سے کم مقدار کیوں استعمال کرنی چاہیے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_014,1,13.1.1 Flammable and Explosive Hazards,function_purpose,(a) State where experiments with potentially dangerous vapours should be conducted (b) State where flammable compounds be kept should be placed or taken.,(الف) مقام بیان کریں: ممکنہ خطرناک بخارات والے تجربات کہاں کیے جانے چاہییں۔ (ب) مقام بیان کریں: قابلِ اشتعال مرکبات کو کہاں رکھنا چاہیے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_015,1,13.1.1 Flammable and Explosive Hazards,list_state,where should flammable liquids not be stored Also state one supporting reason or feature.,مقام بیان کریں: قابلِ اشتعال مائعات کو کہاں ذخیرہ نہیں کرنا چاہیے۔ شناخت کی بنیاد بھی بیان کریں۔,Medium,2,PRO,1
TOPIC_SEP,1,13.1.2 Corrosive Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_016,1,13.1.2 Corrosive Hazards,list_state,(a) What does the label “Corrosive” indicate? (b) Define the correct method for diluting concentrated acid with water and state one related characteristic or function.,(الف) بیان کریں کہ “Corrosive” لیبل کیا ظاہر کرتا ہے۔ (ب) مرکوز تیزاب کو پانی سے پتلا کرنے کا درست طریقہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch13_sq_017,1,13.1.2 Corrosive Hazards,list_state,Which body parts can corrosive chemicals attack?,سنکنار کیمیکل جسم کے کن حصوں کو متاثر کر سکتے ہیں؟,Medium,2,ULTRA,1
q_9_chem_ch13_sq_018,1,13.1.2 Corrosive Hazards,list_state,Identify the eye protection that is recommended while working with corrosive chemicals.,سنکنار کیمیکل کے ساتھ کام کرتے وقت کون سی آنکھوں کی حفاظت تجویز کی گئی ہے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_019,1,13.1.2 Corrosive Hazards,explain_reason,Why should corrosive chemicals be used in a fume cupboard?,سنکنار کیمیکل فیوم کپ بورڈ میں کیوں استعمال کرنے چاہییں؟,Medium,2,PRO,1
q_9_chem_ch13_sq_020,1,13.1.2 Corrosive Hazards,list_state,(a) What emergency facilities should be available when corrosive chemicals are used? (b) Give one example of a corrosive chemical.,(الف) سنکنار کیمیکل استعمال کرتے وقت کون سی ہنگامی سہولیات دستیاب ہونی چاہییں۔ (ب) سنکنار کیمیکل کی مثال کون سی ہے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_021,1,13.1.2 Corrosive Hazards,concept_explanation,What immediate action is advised if corrosive chemical contacts the body?,اگر سنکنار کیمیکل جسم سے لگ جائے تو فوری کیا کرنا چاہیے؟,Easy,2,PRO,1
TOPIC_SEP,1,13.1.3 Toxic Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_022,1,13.1.3 Toxic Hazards,definition_function,Define a toxic chemical and state one related characteristic or function.,زہریلا کیمیکل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch13_sq_023,1,13.1.3 Toxic Hazards,list_state,(a) Which is identified as a highly toxic chemical in the exercise? (b) What should a person do after suspected exposure to a poisonous substance?.,(الف) نام یا شناخت لکھیں: کس مادّے کو انتہائی زہریلا کیمیکل قرار دیا گیا ہے۔ (ب) زہریلے مادّے سے ممکنہ رابطے کے بعد کیا کرنا چاہیے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_024,1,13.1.3 Toxic Hazards,classification,Identify the group that contains examples of toxic chemicals from the chapter.,نام یا شناخت لکھیں: کون سا گروہ دیے گئے زہریلے کیمیکل کی مثالوں پر مشتمل ہے۔,Medium,2,ULTRA,1
q_9_chem_ch13_sq_025,1,13.1.3 Toxic Hazards,process_steps,How should toxic chemicals be stored?,زہریلے کیمیکل کیسے ذخیرہ کرنے چاہییں؟,Easy,2,PRO,1
q_9_chem_ch13_sq_026,1,13.1.3 Toxic Hazards,explain_reason,Why is good ventilation required when working with toxic chemicals?,زہریلے کیمیکل کے ساتھ کام کرتے وقت اچھی ہوا داری کیوں ضروری ہے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_027,1,13.1.3 Toxic Hazards,concept_explanation,What should be done after finishing work with toxic chemicals?,زہریلے کیمیکل کے ساتھ کام ختم کرنے کے بعد کیا کرنا چاہیے؟,Easy,2,PRO,1
TOPIC_SEP,1,13.1.4 Reactive Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_028,1,13.1.4 Reactive Hazards,list_state,(a) What can improperly controlled reactive chemicals cause? (b) Give one example of a reactive chemical listed.,(الف) غلط طور پر قابو کیے گئے تعامل پذیر کیمیکل کیا پیدا کر سکتے ہیں۔ (ب) درج تعامل پذیر کیمیکل کی مثال کون سی ہے۔,Medium,2,PRO,1
q_9_chem_ch13_sq_029,1,13.1.4 Reactive Hazards,explain_reason,Why should reactive chemicals be segregated during storage?,تعامل پذیر کیمیکل ذخیرہ کرتے وقت الگ کیوں رکھنے چاہییں؟,Medium,2,PRO,1
q_9_chem_ch13_sq_030,1,13.1.4 Reactive Hazards,list_state,Identify the protective equipment that is specifically suggested for reactive chemicals Also state one supporting reason or feature.,تعامل پذیر کیمیکل کے لیے کون سا حفاظتی سامان خاص طور پر تجویز کیا گیا ہے۔ شناخت کی بنیاد بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch13_sq_031,1,13.1.4 Reactive Hazards,process_steps,How may glass equipment be protected during dangerous reactive work?,خطرناک تعامل پذیر کام میں شیشے کے آلات کو کیسے محفوظ کیا جا سکتا ہے؟,Medium,2,ULTRA,1
TOPIC_SEP,1,13.1.5 Radiation Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_032,1,13.1.5 Radiation Hazards,list_state,(a) What can a high dose of radiation damage? (b) Identify the radiation that is stated to cause external injuries.,(الف) تابکاری کی زیادہ خوراک کس چیز کو نقصان پہنچا سکتی ہے۔ (ب) نام یا شناخت لکھیں: کون سی تابکاری بیرونی چوٹوں کا باعث بتائی گئی ہے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_033,1,13.1.5 Radiation Hazards,list_state,Identify the effects of high radiation exposure that are listed.,زیادہ تابکاری کے رابطے کے کون سے اثرات درج ہیں؟,Medium,2,ULTRA,1
q_9_chem_ch13_sq_034,1,13.1.5 Radiation Hazards,application_scenario,When are alpha and beta emitting materials especially damaging?,الفا اور بیٹا خارج کرنے والے مادّے خاص طور پر کب نقصان دہ ہوتے ہیں؟,Medium,2,PRO,1
q_9_chem_ch13_sq_035,1,13.1.5 Radiation Hazards,list_state,(a) What kind of radiation is produced by medical X-rays? (b) Define used to monitor radiation exposure and state one related characteristic or function.,(الف) طبی ایکس ریز کس قسم کی تابکاری پیدا کرتی ہیں۔ (ب) تابکاری کے رابطے کی نگرانی کے لیے کیا استعمال ہوتا ہے۔,Easy,2,PRO,1
q_9_chem_ch13_sq_036,1,13.1.5 Radiation Hazards,process_steps,How should radioactive sources be kept?,تابکار ذرائع کو کیسے رکھنا چاہیے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_037,1,13.1.5 Radiation Hazards,explain_reason,Why should prolonged exposure to radiation be avoided?,تابکاری سے طویل رابطہ کیوں روکنا چاہیے؟,Medium,2,PRO,1
q_9_chem_ch13_sq_038,1,13.1.5 Radiation Hazards,concept_explanation,What must a person have before operating radiation-producing equipment? Also state one related characteristic.,تابکاری پیدا کرنے والے آلات چلانے سے پہلے شخص کے پاس کیا ہونا چاہیے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,13.1.6 Asphyxiation Hazards,topic_separator,,,,,,1
q_9_chem_ch13_sq_039,1,13.1.6 Asphyxiation Hazards,definition_function,Define an asphyxiation hazard and state one related characteristic or function.,دم گھٹنے کا خطرہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch13_sq_040,1,13.1.6 Asphyxiation Hazards,explain_reason,Why is sufficient oxygen essential?,کافی آکسیجن کیوں ضروری ہے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_041,1,13.1.6 Asphyxiation Hazards,list_state,Which symptoms may appear when oxygen level falls?,آکسیجن کی سطح کم ہونے پر کون سی علامات ظاہر ہو سکتی ہیں؟,Medium,2,ULTRA,1
q_9_chem_ch13_sq_042,1,13.1.6 Asphyxiation Hazards,features_characteristics,Name the gas that is listed as a chemical asphyxiant Also state one supporting reason or feature.,نام یا شناخت لکھیں: کون سی گیس کیمیائی دم گھونٹنے والی کے طور پر درج ہے۔ شناخت کی بنیاد بھی بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch13_sq_043,1,13.1.6 Asphyxiation Hazards,explain_reason,Why must asphyxiant chemicals be used in well-ventilated areas?,دم گھونٹنے والے کیمیکل اچھی ہوا داری والی جگہ میں کیوں استعمال کرنے چاہییں؟,Medium,2,PRO,1
q_9_chem_ch13_sq_044,1,13.1.6 Asphyxiation Hazards,concept_explanation,What should be done if a person inhales an asphyxiant gas?,اگر کوئی شخص دم گھونٹنے والی گیس سانس میں لے لے تو کیا کرنا چاہیے؟,Easy,2,PRO,1
TOPIC_SEP,1,13.2 Hazard Signs,topic_separator,,,,,,1
q_9_chem_ch13_sq_045,1,13.2 Hazard Signs,explain_reason,Why are hazard signs posted in laboratories and on chemical bottles?,لیبارٹری اور کیمیکل بوتلوں پر خطرے کی علامات کیوں لگائی جاتی ہیں؟,Easy,2,PRO,1
q_9_chem_ch13_sq_046,1,13.2 Hazard Signs,process_steps,How should a person respond on seeing a hazard sign?,خطرے کی علامت دیکھ کر شخص کو کیا کرنا چاہیے؟,Easy,2,PRO,1
q_9_chem_ch13_sq_047,1,13.2 Hazard Signs,concept_explanation,What does the label “Warning” on a chemical bottle signify in the exercise?,بیان کریں کہ کیمیکل بوتل پر “Warning” لیبل کیا ظاہر کرتا ہے۔,Medium,2,PRO,1
q_9_chem_ch13_sq_048,1,13.2 Hazard Signs,concept_explanation,What message does a “Caution” sign generally convey context?,باب کے سیاق میں “Caution” علامت عموماً کیا پیغام دیتی ہے؟,Medium,2,ULTRA,1
TOPIC_SEP,1,13.3 Personal Protective Equipment (PPE) in the Laboratory,topic_separator,,,,,,1
