question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch13_001,1,13.0 General Laboratory Safety,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_001,1,13.0 General Laboratory Safety,Long,cause_effect,"Answer the following related questions about General Laboratory Safety: (a) Safety in a chemistry laboratory is whose responsibility? Also, Identify the item that is prohibited in the laboratory. | (b) Why should a student become familiar with the laboratory layout before starting work? | (c) Why are students advised not to work alone in the laboratory?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کیمیا کی لیبارٹری میں حفاظت کس کی ذمہ داری ہے۔ نیز، لیبارٹری میں کون سی چیز ممنوع ہے۔؟ | (ب) کام شروع کرنے سے پہلے طالب علم کو لیبارٹری کی ترتیب سے واقف کیوں ہونا چاہیے؟ | (ج) طلبہ کو لیبارٹری میں اکیلے کام نہ کرنے کی ہدایت کیوں دی جاتی ہے؟,Hard,5,PRO,1
q_9_chem_ch13_lq_002,1,13.0 General Laboratory Safety,Long,experiment,Answer the following related questions about General Laboratory Safety: (a) When should laboratory equipment be checked? | (b) What should be determined before beginning an experiment? | (c) How should a gas be smelled if smelling is necessary?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) لیبارٹری کے آلات کب جانچے جانے چاہییں؟ | (ب) تجربہ شروع کرنے سے پہلے کیا طے کرنا چاہیے؟ | (ج) اگر گیس سونگھنا ضروری ہو تو اسے کیسے سونگھنا چاہیے؟,Medium,5,ULTRA,1
q_9_chem_ch13_lq_003,1,13.0 General Laboratory Safety,Long,discuss,"Answer the following related questions about General Laboratory Safety: (a) What should be done with acids and bases before sewer disposal when permitted? Also, State where hazardous laboratory waste should be taken. | (b) Which three failures commonly lead to laboratory accidents?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اجازت ہونے پر تیزاب اور اساس کو سیور میں ضائع کرنے سے پہلے کیا کرنا چاہیے۔ نیز، مقام بیان کریں: خطرناک لیبارٹری فضلہ کہاں لے جانا چاہیے۔؟ | (ب) نام یا شناخت لکھیں: کون سی تین کوتاہیاں لیبارٹری حادثات کا باعث بنتی ہیں۔؟,Easy,5,ELITE,1
sep_9_chem_ch13_002,1,13.1.1 Flammable and Explosive Hazards,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_004,1,13.1.1 Flammable and Explosive Hazards,Long,state_and_explain,"Answer the following related questions about Flammable and Explosive Hazards: (a) What characterizes an explosive chemical? | (b) Identify the substance that is listed as an explosive or self-reactive chemical Also, Give one example of a flammable compound. | (c) Define a flammable chemical or mixture described as having and state one related characteristic or function Also, What approval is required before using a potentially dangerous chemical?.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) دھماکہ خیز کیمیکل کی بنیادی خصوصیت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سا مادّہ دھماکہ خیز یا خود تعامل پذیر کیمیکل کے طور پر درج ہے۔ نیز، قابلِ اشتعال مرکب کی مثال کون سی ہے۔؟ | (ج) قابلِ اشتعال کیمیکل یا آمیزے کی کیا خصوصیت بیان کی گئی ہے۔ نیز، ممکنہ خطرناک کیمیکل استعمال کرنے سے پہلے کس کی منظوری ضروری ہے۔؟,Medium,5,PRO,1
q_9_chem_ch13_lq_005,1,13.1.1 Flammable and Explosive Hazards,Long,cause_effect,Answer the following related questions about Flammable and Explosive Hazards: (a) What should you do if a chemical is suspected to be explosive? | (b) Why should the smallest possible quantity of a dangerous chemical be used?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اگر کسی کیمیکل کے دھماکہ خیز ہونے کا شبہ ہو تو کیا کرنا چاہیے؟ | (ب) خطرناک کیمیکل کی کم سے کم مقدار کیوں استعمال کرنی چاہیے؟,Medium,5,ULTRA,1
q_9_chem_ch13_lq_006,1,13.1.1 Flammable and Explosive Hazards,Long,experiment,"Answer the following related questions about Flammable and Explosive Hazards: (a) State where experiments with potentially dangerous vapours should be conducted Also, State where flammable compounds be kept should be placed or taken. | (b) where should flammable liquids not be stored State a supporting reason or feature.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) مقام بیان کریں: ممکنہ خطرناک بخارات والے تجربات کہاں کیے جانے چاہییں۔ نیز، مقام بیان کریں: قابلِ اشتعال مرکبات کو کہاں رکھنا چاہیے۔؟ | (ب) مقام بیان کریں: قابلِ اشتعال مائعات کو کہاں ذخیرہ نہیں کرنا چاہیے۔ شناخت کی بنیاد بھی بیان کریں۔؟,Medium,5,ELITE,1
sep_9_chem_ch13_003,1,13.1.2 Corrosive Hazards,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_007,1,13.1.2 Corrosive Hazards,Long,state_and_explain,"Answer the following related questions about Corrosive Hazards: (a) What does the label “Corrosive” indicate? Also, Define the correct method for diluting concentrated acid with water and state one related characteristic or function. | (b) Which body parts can corrosive chemicals attack? | (c) Identify the eye protection that is recommended while working with corrosive chemicals.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بیان کریں کہ “Corrosive” لیبل کیا ظاہر کرتا ہے۔ نیز، مرکوز تیزاب کو پانی سے پتلا کرنے کا درست طریقہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) سنکنار کیمیکل جسم کے کن حصوں کو متاثر کر سکتے ہیں؟ | (ج) سنکنار کیمیکل کے ساتھ کام کرتے وقت کون سی آنکھوں کی حفاظت تجویز کی گئی ہے؟,Medium,5,PRO,1
q_9_chem_ch13_lq_008,1,13.1.2 Corrosive Hazards,Long,cause_effect,"Answer the following related questions about Corrosive Hazards: (a) Why should corrosive chemicals be used in a fume cupboard? | (b) What emergency facilities should be available when corrosive chemicals are used? Also, Give one example of a corrosive chemical. | (c) What immediate action is advised if corrosive chemical contacts the body?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سنکنار کیمیکل فیوم کپ بورڈ میں کیوں استعمال کرنے چاہییں؟ | (ب) سنکنار کیمیکل استعمال کرتے وقت کون سی ہنگامی سہولیات دستیاب ہونی چاہییں۔ نیز، سنکنار کیمیکل کی مثال کون سی ہے۔؟ | (ج) اگر سنکنار کیمیکل جسم سے لگ جائے تو فوری کیا کرنا چاہیے؟,Medium,5,ULTRA,1
sep_9_chem_ch13_004,1,13.1.3 Toxic Hazards,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_009,1,13.1.3 Toxic Hazards,Long,classification,"Answer the following related questions about Toxic Hazards: (a) Define a toxic chemical and state one related characteristic or function. | (b) Which is identified as a highly toxic chemical in the exercise? Also, What should a person do after suspected exposure to a poisonous substance?. | (c) Identify the group that contains examples of toxic chemicals from the chapter.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) زہریلا کیمیکل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کس مادّے کو انتہائی زہریلا کیمیکل قرار دیا گیا ہے۔ نیز، زہریلے مادّے سے ممکنہ رابطے کے بعد کیا کرنا چاہیے۔؟ | (ج) نام یا شناخت لکھیں: کون سا گروہ دیے گئے زہریلے کیمیکل کی مثالوں پر مشتمل ہے۔؟,Medium,5,PRO,1
q_9_chem_ch13_lq_010,1,13.1.3 Toxic Hazards,Long,cause_effect,Answer the following related questions about Toxic Hazards: (a) How should toxic chemicals be stored? | (b) Why is good ventilation required when working with toxic chemicals? | (c) What should be done after finishing work with toxic chemicals?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) زہریلے کیمیکل کیسے ذخیرہ کرنے چاہییں؟ | (ب) زہریلے کیمیکل کے ساتھ کام کرتے وقت اچھی ہوا داری کیوں ضروری ہے؟ | (ج) زہریلے کیمیکل کے ساتھ کام ختم کرنے کے بعد کیا کرنا چاہیے؟,Medium,5,ULTRA,1
sep_9_chem_ch13_005,1,13.1.4 Reactive Hazards,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_011,1,13.1.4 Reactive Hazards,Long,cause_effect,"Answer the following related questions about Reactive Hazards: (a) What can improperly controlled reactive chemicals cause? Also, Give one example of a reactive chemical listed. | (b) Why should reactive chemicals be segregated during storage?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) غلط طور پر قابو کیے گئے تعامل پذیر کیمیکل کیا پیدا کر سکتے ہیں۔ نیز، درج تعامل پذیر کیمیکل کی مثال کون سی ہے۔؟ | (ب) تعامل پذیر کیمیکل ذخیرہ کرتے وقت الگ کیوں رکھنے چاہییں؟,Medium,5,PRO,1
q_9_chem_ch13_lq_012,1,13.1.4 Reactive Hazards,Long,explain,Answer the following related questions about Reactive Hazards: (a) Identify the protective equipment that is specifically suggested for reactive chemicals State a supporting reason or feature. | (b) How may glass equipment be protected during dangerous reactive work?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تعامل پذیر کیمیکل کے لیے کون سا حفاظتی سامان خاص طور پر تجویز کیا گیا ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟ | (ب) خطرناک تعامل پذیر کام میں شیشے کے آلات کو کیسے محفوظ کیا جا سکتا ہے؟,Easy,5,ULTRA,1
sep_9_chem_ch13_006,1,13.1.5 Radiation Hazards,Topic,topic_separator,,,,,,1
q_9_chem_ch13_lq_013,1,13.1.5 Radiation Hazards,Long,cause_effect,"Answer the following related questions about Radiation Hazards: (a) What can a high dose of radiation damage? Also, Identify the radiation that is stated to cause external injuries. | (b) Identify the effects of high radiation exposure that are listed. | (c) When are alpha and beta emitting materials especially damaging?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تابکاری کی زیادہ خوراک کس چیز کو نقصان پہنچا سکتی ہے۔ نیز، نام یا شناخت لکھیں: کون سی تابکاری بیرونی چوٹوں کا باعث بتائی گئی ہے۔؟ | (ب) زیادہ تابکاری کے رابطے کے کون سے اثرات درج ہیں؟ | (ج) الفا اور بیٹا خارج کرنے والے مادّے خاص طور پر کب نقصان دہ ہوتے ہیں؟,Medium,5,PRO,1
