question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch6_mcq_001,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch6_001,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,What is drug abuse?,safe medicine,healthy habit,natural cure,harmful drug use,D | harmful drug use,Easy,1,ELITE,1
q_10_eng_ch6_002,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Most vulnerable age group?,elderly,toddlers,youth,infants,C | youth,Easy,1,ELITE,1
q_10_eng_ch6_003,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Major cause among youth?,reading,peer pressure,good company,sports,B | peer pressure,Easy,1,ELITE,1
q_10_eng_ch6_004,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,A harmful health effect?,brain damage,weight gain,better sleep,strong memory,A | brain damage,Easy,1,ELITE,1
q_10_eng_ch6_005,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Where are addicts treated?,bus station,police station,market,rehab center,D | rehab center,Easy,1,ELITE,1
sep_10_eng_ch6_mcq_002,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch6_006,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“addicted” means:,unable to stop,give support,move slowly,act wisely,A | unable to stop,Medium,1,ELITE,1
q_10_eng_ch6_007,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“attention” means:,stay calm,feel joy,make money,careful focus,D | careful focus,Medium,1,ULTRA,1
q_10_eng_ch6_008,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“awareness” means:,keep hidden,show pride,understanding,speak loudly,C | understanding,Medium,1,ELITE,1
q_10_eng_ch6_009,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“confusion” means:,cause peace,lack understanding,move slowly,act wisely,B | lack understanding,Medium,1,ULTRA,1
q_10_eng_ch6_010,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“deserves” means:,is worthy,feel joy,make money,give support,A | is worthy,Easy,1,PRO,1
q_10_eng_ch6_011,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“destroys” means:,keep hidden,show pride,stay calm,damages fully,D | damages fully,Medium,1,ELITE,1
q_10_eng_ch6_012,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“escape” means:,cause peace,speak loudly,get away,act wisely,C | get away,Medium,1,ULTRA,1
q_10_eng_ch6_013,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“harmful” means:,move slowly,causing damage,make money,give support,B | causing damage,Medium,1,ELITE,1
q_10_eng_ch6_014,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“kindness” means:,caring behaviour,show pride,stay calm,feel joy,A | caring behaviour,Easy,1,PRO,1
q_10_eng_ch6_015,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“protect” means:,cause peace,speak loudly,keep hidden,keep safe,D | keep safe,Medium,1,ELITE,1
q_10_eng_ch6_016,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“rehabilitation” means:,move slowly,act wisely,recovery process,give support,C | recovery process,Medium,1,ELITE,1
q_10_eng_ch6_017,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“suffer” means:,make money,feel pain,stay calm,feel joy,B | feel pain,Medium,1,ULTRA,1
q_10_eng_ch6_018,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“violence” means:,physical force,speak loudly,keep hidden,show pride,A | physical force,Medium,1,ELITE,1
sep_10_eng_ch6_mcq_003,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Topic,,,,,,,,,,1
q_10_eng_ch6_019,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “unable to stop”:,addictedd,addictted,addicted,adicted,C | addicted,Easy,1,ELITE,1
q_10_eng_ch6_020,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “careful focus”:,attantion,attention,atention,attension,B | attention,Easy,1,ULTRA,1
q_10_eng_ch6_021,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “understanding”:,awareness,awarness,awareeness,awarenes,A | awareness,Easy,1,ELITE,1
q_10_eng_ch6_022,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “lack understanding”:,confussion,confuzion,confuson,confusion,D | confusion,Easy,1,ULTRA,1
q_10_eng_ch6_023,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “is worthy”:,deservs,deservess,deserves,desarves,C | deserves,Easy,1,PRO,1
q_10_eng_ch6_024,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “damages fully”:,destroies,destroys,distroys,destroyes,B | destroys,Easy,1,ELITE,1
q_10_eng_ch6_025,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “get away”:,escape,escap,esccape,ascape,A | escape,Easy,1,ULTRA,1
q_10_eng_ch6_026,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “causing damage”:,harmfull,harrmful,harmfool,harmful,D | harmful,Easy,1,ELITE,1
q_10_eng_ch6_027,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “caring behaviour”:,kindnass,kindnesss,kindness,kindnes,C | kindness,Easy,1,PRO,1
q_10_eng_ch6_028,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “keep safe”:,prottec,protect,protecct,protekt,B | protect,Easy,1,ELITE,1
q_10_eng_ch6_029,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “recovery process”:,rehabilitation,rehablitation,rehabilatation,rehabilitaton,A | rehabilitation,Easy,1,ELITE,1
q_10_eng_ch6_030,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “feel pain”:,sufer,suffar,sufferr,suffer,D | suffer,Easy,1,ULTRA,1
q_10_eng_ch6_031,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Correct spelling for “physical force”:,violeence,violense,violence,violance,C | violence,Easy,1,ELITE,1
sep_10_eng_ch6_mcq_004,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Topic,,,,,,,,,,1
q_10_eng_ch6_032,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Drug abuse is a growing:,festival,problem,sport,industry,B | problem,Medium,1,ELITE,1
q_10_eng_ch6_033,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,It affects individuals and:,society,weather,language,trade,A | society,Medium,1,ELITE,1
q_10_eng_ch6_034,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Drug abuse means harmful use of:,food,books,games,drugs,D | drugs,Medium,1,ELITE,1
q_10_eng_ch6_035,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Illegal drugs include:,water,milk,heroin,vitamins,C | heroin,Medium,1,ELITE,1
q_10_eng_ch6_036,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Another drug mentioned is:,sugar,hashish,tea,coffee,B | hashish,Medium,1,ULTRA,1
q_10_eng_ch6_037,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Sleeping pills are risky without:,doctor advice,school card,bus ticket,exercise,A | doctor advice,Medium,1,ELITE,1
q_10_eng_ch6_038,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Addiction creates drug:,freedom,fitness,confidence,dependence,D | dependence,Medium,1,ELITE,1
q_10_eng_ch6_039,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,A major cause is lack of:,education only,transport,awareness,money only,C | awareness,Medium,1,ELITE,1
q_10_eng_ch6_040,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Youth may try drugs from:,reading,curiosity,kindness,exercise,B | curiosity,Medium,1,ULTRA,1
q_10_eng_ch6_041,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Friends may create:,peer pressure,good health,job security,family peace,A | peer pressure,Medium,1,ELITE,1
q_10_eng_ch6_042,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Another major cause is:,sports,reading,travel,unemployment,D | unemployment,Medium,1,ELITE,1
q_10_eng_ch6_043,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Stress can push people toward:,sports,music,drugs,books,C | drugs,Medium,1,ELITE,1
q_10_eng_ch6_044,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Which organ may be damaged?,garden,brain,notebook,road,B | brain,Medium,1,ELITE,1
q_10_eng_ch6_045,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Another organ at risk is:,heart,uniform,classroom,market,A | heart,Medium,1,ELITE,1
q_10_eng_ch6_046,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Overdose may cause:,success,fitness,sleep only,death,D | death,Medium,1,ELITE,1
q_10_eng_ch6_047,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Drug abuse can cause mood:,balance,peace,swings,growth,C | swings,Medium,1,ULTRA,1
q_10_eng_ch6_048,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Another mental effect is:,clarity,depression,happiness,confidence,B | depression,Medium,1,ELITE,1
q_10_eng_ch6_049,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Drug abuse can cause:,confusion,wisdom,focus,discipline,A | confusion,Medium,1,ELITE,1
q_10_eng_ch6_050,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Addicted students may lose:,height,uniform,books,interest,D | interest,Medium,1,ULTRA,1
q_10_eng_ch6_051,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Drug abuse may increase:,sports,tourism,crime,literacy,C | crime,Medium,1,ELITE,1
q_10_eng_ch6_052,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,It can lead to theft and:,exercise,robbery,reading,charity,B | robbery,Medium,1,ELITE,1
q_10_eng_ch6_053,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Young users include university:,students,teachers,drivers,farmers,A | students,Medium,1,ULTRA,1
q_10_eng_ch6_054,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Schools run awareness:,markets,factories,courts,programs,D | programs,Medium,1,ELITE,1
q_10_eng_ch6_055,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,ANF fights drug:,sports,tourism,smuggling,education,C | smuggling,Medium,1,ELITE,1
q_10_eng_ch6_056,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,Rehab centers provide medical:,uniforms,care,punishment,tickets,B | care,Medium,1,ELITE,1
q_10_eng_ch6_057,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q1(c/d) Core Lesson | Board-Oriented MCQs,Understand,They also provide:,counseling,fines,jobs only,transport,A | counseling,Medium,1,ELITE,1
