question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,2.0 Mechanics and Kinematics,,,,,,,
q_9_phy_ch2_sq_001,,2.0 Mechanics and Kinematics,define,Define mechanics and name its two branches.,میکانکس کی تعریف کریں اور اس کی دو شاخوں کے نام لکھیں۔,Easy,2,high,
q_9_phy_ch2_sq_002,,2.0 Mechanics and Kinematics,differentiate,Differentiate between kinematics and dynamics.,کائنی میٹکس اور ڈائنامکس میں فرق بیان کریں۔,Medium,2,high,
q_9_phy_ch2_sq_003,,2.0 Mechanics and Kinematics,identify,Identify two examples of objects in motion observed in everyday life.,روزمرہ زندگی میں حرکت کرنے والی اشیا کی دو مثالیں لکھیں۔,Easy,2,high,
,1,2.1 Scalars and Vectors,,,,,,,
q_9_phy_ch2_sq_004,,2.1 Scalars and Vectors,define,Define a scalar quantity and give two examples.,اسکیلر مقدار کی تعریف کریں اور دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch2_sq_005,,2.1 Scalars and Vectors,define,Define a vector quantity and give two examples.,ویکٹر مقدار کی تعریف کریں اور دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch2_sq_006,,2.1 Scalars and Vectors,differentiate,Differentiate between scalar and vector quantities.,اسکیلر اور ویکٹر مقداروں میں فرق بیان کریں۔,Medium,2,high,
q_9_phy_ch2_sq_007,,2.1 Scalars and Vectors,explain,Explain why mass is considered a scalar quantity.,وضاحت کریں کہ ماس کو اسکیلر مقدار کیوں سمجھا جاتا ہے۔,Medium,2,high,
q_9_phy_ch2_sq_008,,2.1 Scalars and Vectors,explain,Explain why velocity is considered a vector quantity.,وضاحت کریں کہ ولاسٹی کو ویکٹر مقدار کیوں سمجھا جاتا ہے۔,Medium,2,high,
q_9_phy_ch2_sq_009,,2.1 Scalars and Vectors,list,Give five examples each of scalar and vector quantities.,اسکیلر اور ویکٹر مقداروں کی پانچ پانچ مثالیں لکھیں۔,Easy,2,high,
q_9_phy_ch2_sq_010,,2.1 Scalars and Vectors,conceptual,Why can scalar quantities be added like ordinary numbers but vectors cannot?,اسکیلر مقداریں عام اعداد کی طرح جمع کیوں ہو سکتی ہیں مگر ویکٹر مقداریں نہیں؟,Hard,2,high,
q_9_phy_ch2_sq_011,,2.1 Scalars and Vectors,apply,"Classify distance, speed, acceleration, force, and temperature as scalar or vector quantities.","درج ذیل مقداروں کو اسکیلر یا ویکٹر کے طور پر درج کریں: distance, speed, acceleration, force, temperature",Medium,2,high,
,1,2.1 Representation of Vectors,,,,,,,
q_9_phy_ch2_sq_012,,2.1 Representation of Vectors,describe,Describe how a vector is represented in printed text and in handwritten work.,بیان کریں کہ ویکٹر کو کتابی متن اور ہاتھ سے لکھنے میں کیسے ظاہر کیا جاتا ہے۔,Medium,2,high,
q_9_phy_ch2_sq_013,,2.1 Representation of Vectors,explain,Explain how the magnitude and direction of a vector are shown graphically.,وضاحت کریں کہ ویکٹر کی مقدار اور سمت کو گرافی طور پر کیسے ظاہر کیا جاتا ہے۔,Medium,2,high,
q_9_phy_ch2_sq_014,,2.1 Representation of Vectors,define,Define reference axes and state the point where the axes meet.,ریفرنس ایکسز کی تعریف کریں اور وہ نقطہ بتائیں جہاں ایکسز آپس میں ملتے ہیں۔,Easy,2,high,
q_9_phy_ch2_sq_015,,2.1 Representation of Vectors,state,State how the angle of a vector is measured with the x-axis.,بیان کریں کہ ویکٹر کا زاویہ x-axis کے ساتھ کیسے ناپا جاتا ہے۔,Easy,2,high,
q_9_phy_ch2_sq_016,,2.1 Representation of Vectors,apply,State the scale and line length needed to represent a velocity of 300 m s⁻¹ if 100 m s⁻¹ is represented by 1 cm.,"درج ذیل ویکٹر کو ظاہر کرنے کے لیے اسکیل اور لکیر کی لمبائی لکھیں: 300 m s⁻¹, 100 m s⁻¹ = 1 cm",Medium,2,high,
