question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11.1 Construction of Cumulative Frequencies,Topic,,,,,,,,,,,1
q_10_math_ch11_001,1,11.1 Construction of Cumulative Frequencies,Remember,What is cumulative frequency?,cumulative frequency کیا ہے؟,The difference of consecutive frequencies / consecutive frequencies کا difference,The square of each frequency / ہر frequency کا square,The average of class limits / class limits کا average,The running total of frequencies / frequencies کا running total,D | The running total of frequencies / frequencies کا running total,Easy,1,ULTRA,1
q_10_math_ch11_002,1,11.1 Construction of Cumulative Frequencies,Understand,"In a cumulative frequency table, each cumulative frequency is obtained by:",cumulative frequency table میں ہر cumulative frequency کیسے حاصل کی جاتی ہے؟,Adding the current frequency to the previous total / current frequency کو previous total میں add کر کے,Subtracting the current frequency / current frequency subtract کر کے,Multiplying all frequencies / تمام frequencies multiply کر کے,Dividing by the class width / class width سے divide کر کے,A | Adding the current frequency to the previous total / current frequency کو previous total میں add کر کے,Easy,1,PRO,1
q_10_math_ch11_003,1,11.1 Construction of Cumulative Frequencies,Apply,"If the first three frequencies are 4, 7 and 5, what is the third cumulative frequency?",اگر first three frequencies 4، 7 اور 5 ہوں تو third cumulative frequency کیا ہوگی؟,16,9,12,35,A | 16,Medium,1,PRO,1
q_10_math_ch11_004,1,11.1 Construction of Cumulative Frequencies,Understand,The final cumulative frequency of a complete distribution equals:,complete distribution کی final cumulative frequency کس کے برابر ہوتی ہے؟,The class width / class width,The mean / mean,The range / range,The total number of observations / observations کی total number,D | The total number of observations / observations کی total number,Easy,1,ULTRA,1
TOPIC_SEP,1,11.1.1 Cumulative Frequency Polygon or Ogive,Topic,,,,,,,,,,,1
q_10_math_ch11_005,1,11.1.1 Cumulative Frequency Polygon or Ogive,Remember,A cumulative frequency polygon is also called an:,cumulative frequency polygon کو اور کیا کہتے ہیں؟,Histogram / ہسٹوگرام,Ogive / اوگیو,Pie chart / دائروی چارٹ,Stem-and-leaf plot / stem-and-leaf plot,B | Ogive / اوگیو,Easy,1,ULTRA,1
q_10_math_ch11_006,1,11.1.1 Cumulative Frequency Polygon or Ogive,Understand,An ogive plots cumulative frequencies against:,ogive میں cumulative frequencies کو کس کے against plot کیا جاتا ہے؟,Only class midpoints / صرف class midpoints,Individual raw values only / صرف individual raw values,Tally marks / tally marks,Class boundaries / class boundaries,D | Class boundaries / class boundaries,Medium,1,PRO,1
q_10_math_ch11_007,1,11.1.1 Cumulative Frequency Polygon or Ogive,Remember,Which two methods of constructing an ogive are described in the chapter?,chapter میں ogive construct کرنے کے کون سے two methods ہیں؟,Mean and median methods / mean اور median methods,Bar and pie methods / bar اور pie methods,Direct and inverse methods / direct اور inverse methods,Less-than and more-than methods / less-than اور more-than methods,D | Less-than and more-than methods / less-than اور more-than methods,Easy,1,ULTRA,1
q_10_math_ch11_008,1,11.1.1 Cumulative Frequency Polygon or Ogive,Understand,"For a less-than ogive, which class boundaries are marked on the x-axis?",less-than ogive کے لیے x-axis پر کون سی class boundaries mark کی جاتی ہیں؟,Lower class boundaries / lower class boundaries,Upper class boundaries / upper class boundaries,Class midpoints only / صرف class midpoints,Frequencies / frequencies,B | Upper class boundaries / upper class boundaries,Medium,1,PRO,1
