question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch1_001,1,1.1 What is Chemistry?,Topic,topic_separator,,,,,,1
q_9_chem_ch1_lq_001,1,1.1 What is Chemistry?,Long,state_and_explain,"Answer the following related questions about What is Chemistry?: (a) Define chemistry and state one key feature. | (b) In chemistry, what does determination of composition mean? | (c) Explain the meaning of the structure of matter Also, Name the branch of chemistry that investigates how substances behave at atomic and molecular levels.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کیمیا کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) کیمیا میں ترکیب کے تعین سے مراد بیان کریں۔؟ | (ج) مادّے کی ساخت سے مراد بیان کریں۔ نیز، اس شاخ کا نام لکھیں جو ایٹمی اور سالماتی سطح پر مادّوں کے رویّے کا مطالعہ کرتی ہے۔؟,Medium,5,PRO,1
q_9_chem_ch1_lq_002,1,1.1 What is Chemistry?,Long,cause_effect,"Answer the following related questions about What is Chemistry?: (a) Why is chemistry divided into many branches? | (b) Name the branch of chemistry that studies compounds containing little or no carbon Also, Name the branch of chemistry that deals mainly with hydrocarbons and their derivatives. | (c) Name the branch of chemistry that studies sources, reactions, effects and fate of chemical species in air, soil and water.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کیمیا کو بہت سی شاخوں میں کیوں تقسیم کیا گیا ہے؟ | (ب) اس شاخ کا نام لکھیں جو ایسے مرکبات کا مطالعہ کرتی ہے جن میں کاربن بہت کم یا بالکل نہ ہو۔ نیز، اس شاخ کا نام لکھیں جو بنیادی طور پر ہائیڈروکاربنز اور ان کے مشتقات سے متعلق ہے۔؟ | (ج) اس شاخ کا نام لکھیں جو ہوا، مٹی اور پانی میں کیمیائی انواع کے ذرائع، تعاملات، اثرات اور انجام کا مطالعہ کرتی ہے۔؟,Hard,5,ULTRA,1
q_9_chem_ch1_lq_003,1,1.1 What is Chemistry?,Long,process_procedure,"Answer the following related questions about What is Chemistry?: (a) Name the branch of chemistry that involves separation, identification and determination of concentration of components Also, Name the branch of chemistry that studies chemical substances and vital processes in living organisms. | (b) Name the branch of chemistry that deals with reactions occurring in the nucleus of an atom Also, Name the branch of chemistry that would study proteins, cellulose and nucleic acids as naturally occurring large molecules. | (c) Name the study of the chemical composition of Earth, its rocks and minerals Also, Name the branch of chemistry that includes the discovery, delivery, absorption and metabolism of drugs.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اس شاخ کا نام لکھیں جو اجزاء کی علیحدگی، شناخت اور ارتکاز کے تعین سے متعلق ہے۔ نیز، اس شاخ کا نام لکھیں جو جانداروں میں کیمیائی مادّوں اور حیاتی عمل کا مطالعہ کرتی ہے۔؟ | (ب) اس شاخ کا نام لکھیں جو ایٹم کے مرکزے میں ہونے والے تعاملات سے متعلق ہے۔ نیز، اس شاخ کا نام لکھیں جو پروٹین، سیلولوز اور نیوکلیک ایسڈز کو قدرتی طور پر پائے جانے والے بڑے سالمات کے طور پر پڑھے گی۔؟ | (ج) زمین، اس کی چٹانوں اور معدنیات کی کیمیائی ترکیب کے مطالعے کا نام لکھیں۔ نیز، اس شاخ کا نام لکھیں جو ادویات کی دریافت، ترسیل، جذب اور میٹابولزم کو شامل کرتی ہے۔؟,Medium,5,ELITE,1
sep_9_chem_ch1_002,1,1.2 States of Matter,Topic,topic_separator,,,,,,1
q_9_chem_ch1_lq_004,1,1.2 States of Matter,Long,cause_effect,"Answer the following related questions about States of Matter: (a) Define matter and state one key feature. | (b) List the four states of matter are commonly observed in everyday life Also, Matter in a fluorescent tube is mainly present in which state?. | (c) Why are gases easily compressible?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) مادّے کی تعریف کون سی ہے؟ | (ب) روزمرہ زندگی میں مادّے کی کون سی چار حالتیں عام طور پر دیکھی جاتی ہیں۔ نیز، فلوروسینٹ ٹیوب میں مادّہ بنیادی طور پر کس حالت میں ہوتا ہے۔؟ | (ج) گیسیں آسانی سے دب کیوں جاتی ہیں؟,Medium,5,PRO,1
q_9_chem_ch1_lq_005,1,1.2 States of Matter,Long,compare,Answer the following related questions about States of Matter: (a) State the property that distinguishes a solid from a liquid and a gas. | (b) Define plasma considered to be and state one related characteristic or function. | (c) Define a supercritical fluid and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کون سی خصوصیت ٹھوس کو مائع اور گیس سے ممتاز کرتی ہے۔؟ | (ب) پلازما کو کیا سمجھا جاتا ہے؟ | (ج) فوق بحرانی سیال کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,ULTRA,1
q_9_chem_ch1_lq_006,1,1.2 States of Matter,Long,discuss,"Answer the following related questions about States of Matter: (a) The properties of a liquid crystal lie between which two states? Also, Name the material that is a single layer of carbon atoms arranged in a hexagonal pattern. | (b) Which observation best indicates the gaseous state rather than the liquid state?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) مائع قلم کی خصوصیات کن دو حالتوں کے درمیان ہوتی ہیں۔ نیز، نام یا شناخت لکھیں: کون سا مادّہ کاربن ایٹموں کی ایک تہہ پر مشتمل ہوتا ہے جو مسدسی نمونے میں ترتیب پاتے ہیں۔؟ | (ب) نام یا شناخت لکھیں: کون سا مشاہدہ مائع کے بجائے گیس کی حالت کی بہترین نشاندہی کرتا ہے۔؟,Easy,5,ELITE,1
sep_9_chem_ch1_003,1,"1.3 Element, Compound and Mixture",Topic,topic_separator,,,,,,1
q_9_chem_ch1_lq_007,1,"1.3 Element, Compound and Mixture",Long,cause_effect,"Answer the following related questions about Element, Compound and Mixture: (a) Name the simplest form of matter that cannot be broken into simpler substances by chemical means and write one defining feature Also, Explain why Concrete mixture is classified as a heterogeneous mixture. | (b) Which statement correctly describes a compound? | (c) Which statement correctly describes a mixture?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) مادّے کی وہ سادہ ترین شکل کون سی ہے جسے کیمیائی طریقے سے مزید سادہ مادّوں میں تقسیم نہیں کیا جا سکتا۔ نیز، باب کی درج ذیل میں سے کون سا غیر یکساں آمیزہ ہے۔؟ | (ب) مرکب کی درست وضاحت کون سی ہے؟ | (ج) آمیزے کی درست وضاحت کون سی ہے؟,Medium,5,PRO,1
