question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,1.1 What is Chemistry?,topic_separator,,,,,,1
q_9_chem_ch1_sq_001,1,1.1 What is Chemistry?,definition_function,Define chemistry and state one key feature.,کیمیا کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch1_sq_002,1,1.1 What is Chemistry?,concept_explanation,"In chemistry, what does determination of composition mean?",کیمیا میں ترکیب کے تعین سے مراد بیان کریں۔,Medium,2,ULTRA,1
q_9_chem_ch1_sq_003,1,1.1 What is Chemistry?,list_state,(a) Explain the meaning of the structure of matter (b) Name the branch of chemistry that investigates how substances behave at atomic and molecular levels.,(الف) مادّے کی ساخت سے مراد بیان کریں۔ (ب) اس شاخ کا نام لکھیں جو ایٹمی اور سالماتی سطح پر مادّوں کے رویّے کا مطالعہ کرتی ہے۔,Easy,2,PRO,1
q_9_chem_ch1_sq_004,1,1.1 What is Chemistry?,explain_reason,Why is chemistry divided into many branches?,کیمیا کو بہت سی شاخوں میں کیوں تقسیم کیا گیا ہے؟,Medium,2,PRO,1
q_9_chem_ch1_sq_005,1,1.1 What is Chemistry?,list_state,(a) Name the branch of chemistry that studies compounds containing little or no carbon (b) Name the branch of chemistry that deals mainly with hydrocarbons and their derivatives.,(الف) اس شاخ کا نام لکھیں جو ایسے مرکبات کا مطالعہ کرتی ہے جن میں کاربن بہت کم یا بالکل نہ ہو۔ (ب) اس شاخ کا نام لکھیں جو بنیادی طور پر ہائیڈروکاربنز اور ان کے مشتقات سے متعلق ہے۔,Easy,2,PRO,1
q_9_chem_ch1_sq_006,1,1.1 What is Chemistry?,list_state,"Name the branch of chemistry that studies sources, reactions, effects and fate of chemical species in air, soil and water.",اس شاخ کا نام لکھیں جو ہوا، مٹی اور پانی میں کیمیائی انواع کے ذرائع، تعاملات، اثرات اور انجام کا مطالعہ کرتی ہے۔,Medium,2,PRO,1
q_9_chem_ch1_sq_007,1,1.1 What is Chemistry?,list_state,"(a) Name the branch of chemistry that involves separation, identification and determination of concentration of components (b) Name the branch of chemistry that studies chemical substances and vital processes in living organisms.",(الف) اس شاخ کا نام لکھیں جو اجزاء کی علیحدگی، شناخت اور ارتکاز کے تعین سے متعلق ہے۔ (ب) اس شاخ کا نام لکھیں جو جانداروں میں کیمیائی مادّوں اور حیاتی عمل کا مطالعہ کرتی ہے۔,Easy,2,PRO,1
q_9_chem_ch1_sq_008,1,1.1 What is Chemistry?,list_state,"(a) Name the branch of chemistry that deals with reactions occurring in the nucleus of an atom (b) Name the branch of chemistry that would study proteins, cellulose and nucleic acids as naturally occurring large molecules.",(الف) اس شاخ کا نام لکھیں جو ایٹم کے مرکزے میں ہونے والے تعاملات سے متعلق ہے۔ (ب) اس شاخ کا نام لکھیں جو پروٹین، سیلولوز اور نیوکلیک ایسڈز کو قدرتی طور پر پائے جانے والے بڑے سالمات کے طور پر پڑھے گی۔,Medium,2,PRO,1
q_9_chem_ch1_sq_009,1,1.1 What is Chemistry?,list_state,"(a) Name the study of the chemical composition of Earth, its rocks and minerals (b) Name the branch of chemistry that includes the discovery, delivery, absorption and metabolism of drugs.",(الف) زمین، اس کی چٹانوں اور معدنیات کی کیمیائی ترکیب کے مطالعے کا نام لکھیں۔ (ب) اس شاخ کا نام لکھیں جو ادویات کی دریافت، ترسیل، جذب اور میٹابولزم کو شامل کرتی ہے۔,Medium,2,PRO,1
q_9_chem_ch1_sq_010,1,1.1 What is Chemistry?,list_state,"Name the branch of chemistry that studies atoms, molecules and ions in space and their interaction with radiation Also state one supporting reason or feature.",اس شاخ کا نام لکھیں جو خلا میں ایٹموں، سالمات اور آئنوں اور تابکاری کے ساتھ ان کے تعامل کا مطالعہ کرتی ہے۔ شناخت کی بنیاد بھی بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,1.2 States of Matter,topic_separator,,,,,,1
q_9_chem_ch1_sq_011,1,1.2 States of Matter,definition_function,Define matter and state one key feature.,مادّے کی تعریف کون سی ہے؟,Easy,2,PRO,1
q_9_chem_ch1_sq_012,1,1.2 States of Matter,list_state,(a) List the four states of matter are commonly observed in everyday life (b) Matter in a fluorescent tube is mainly present in which state?.,(الف) روزمرہ زندگی میں مادّے کی کون سی چار حالتیں عام طور پر دیکھی جاتی ہیں۔ (ب) فلوروسینٹ ٹیوب میں مادّہ بنیادی طور پر کس حالت میں ہوتا ہے۔,Medium,2,PRO,1
q_9_chem_ch1_sq_013,1,1.2 States of Matter,explain_reason,Why are gases easily compressible?,گیسیں آسانی سے دب کیوں جاتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch1_sq_014,1,1.2 States of Matter,compare_contrast,State the property that distinguishes a solid from a liquid and a gas.,نام یا شناخت لکھیں: کون سی خصوصیت ٹھوس کو مائع اور گیس سے ممتاز کرتی ہے۔,Medium,2,PRO,1
q_9_chem_ch1_sq_015,1,1.2 States of Matter,definition_function,Define plasma considered to be and state one related characteristic or function.,پلازما کو کیا سمجھا جاتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch1_sq_016,1,1.2 States of Matter,definition_function,Define a supercritical fluid and state one related characteristic or function.,فوق بحرانی سیال کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,ULTRA,1
