question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch4_lq_001,,4.1 Like and Unlike Parallel Forces,Long,compare,Differentiate between like and unlike parallel forces with labelled examples.,لائک اور اَن لائک متوازی قوتوں میں لیبل شدہ مثالوں کے ساتھ فرق بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_002,,4.2 Addition of Forces,Long,describe,Describe the graphical method of adding force vectors by the head-to-tail rule.,ہیڈ ٹو ٹیل قاعدے کے ذریعے قوتی ویکٹرز کو جمع کرنے کا گرافی طریقہ بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_003,,4.2 Addition of Forces — Solved Examples,Long,explain,Explain how the resultant force and its direction are obtained by selecting a suitable scale in vector addition.,وضاحت کریں کہ ویکٹرز کے جمع کرنے میں مناسب پیمانہ منتخب کر کے رزلٹنٹ قوت اور اس کی سمت کیسے حاصل کی جاتی ہے۔,Medium,5,medium,
q_9_phy_ch4_lq_004,,4.3 Turning Effect of a Force,Long,explain,"Explain the turning effect of a force using a door, a water tap and a see-saw as examples.",دروازہ، پانی کا نل اور سی سا کی مثالوں سے قوت کے گردشی اثر کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch4_lq_005,,4.3 Turning Effect of a Force,Long,describe,"Describe rigid body, axis of rotation, line of action and moment arm with suitable explanation.",رِجڈ باڈی، محورِ گردش، لائن آف ایکشن اور مومنٹ آرم کی مناسب وضاحت کے ساتھ تشریح کریں۔,Medium,5,high,
q_9_phy_ch4_lq_006,,4.3 Moment of Force,Long,state_and_explain,"State and explain moment of force or torque. Write its formula, sign convention and SI unit.",مومنٹ آف فورس یا ٹارک بیان کریں اور وضاحت کریں۔ اس کا فارمولا، علامتی قاعدہ اور SI اکائی لکھیں۔,Medium,5,high,
q_9_phy_ch4_lq_007,,4.3 Moment of Force,Long,explain,Explain why torque becomes zero when the line of action of force passes through the axis of rotation.,وضاحت کریں کہ جب قوت کی لائن آف ایکشن محورِ گردش سے گزرے تو ٹارک صفر کیوں ہو جاتا ہے۔,Hard,5,high,
q_9_phy_ch4_lq_008,,4.3 Couple,Long,explain,"Explain couple as a special type of torque with examples of a water tap, steering wheel, key and jar lid.",کپل کو ٹارک کی خاص قسم کے طور پر پانی کے نل، اسٹیئرنگ وہیل، چابی اور جار کے ڈھکن کی مثالوں سے واضح کریں۔,Medium,5,high,
q_9_phy_ch4_lq_009,,4.4 Resolution of Vectors,Long,explain,Explain the resolution of a force into rectangular components with a labelled diagram.,لیبل شدہ خاکے کی مدد سے قوت کو مستطیلی اجزا میں تحلیل کرنے کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch4_lq_010,,4.4 Resolution of Vectors,Long,describe,Describe how x-component and y-component of a vector are obtained by dropping perpendiculars on the axes.,بیان کریں کہ محوروں پر عمود گرا کر ویکٹر کا x-component اور y-component کیسے حاصل کیا جاتا ہے۔,Medium,5,high,
q_9_phy_ch4_lq_011,,4.5 Determination of a Force from Components,Long,explain,Explain how the magnitude and direction of a force are determined from its perpendicular components.,وضاحت کریں کہ قوت کے عمودی اجزا سے اس کی مقدار اور سمت کیسے معلوم کی جاتی ہے۔,Medium,5,high,
q_9_phy_ch4_lq_012,,4.6 Principle of Moments,Long,state_and_explain,State and explain the principle of moments with a balanced metre rule example.,متوازن میٹر رول کی مثال کے ساتھ پرنسپل آف مومنٹس بیان کریں اور وضاحت کریں۔,Medium,5,high,
q_9_phy_ch4_lq_013,,4.7 Centre of Gravity and Centre of Mass,Long,explain,"Explain centre of gravity and centre of mass, and describe when both coincide on the surface of the Earth.",مرکزِ ثقل اور مرکزِ کمیت کی وضاحت کریں، اور بیان کریں کہ زمین کی سطح پر یہ دونوں کب ایک ہی مقام پر ہوتے ہیں۔,Medium,5,high,
q_9_phy_ch4_lq_014,,4.7 Centre of Gravity of a Plane Lamina,Long,describe,Describe the experimental method of finding the centre of gravity of an irregular plane lamina by using a plumb line.,پلمب لائن کے ذریعے غیر باقاعدہ plane lamina کا مرکزِ ثقل معلوم کرنے کا تجرباتی طریقہ بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_015,,4.8 Equilibrium,Long,compare,Differentiate between static equilibrium and dynamic equilibrium with examples.,ساکن توازن اور حرکی توازن میں مثالوں کے ساتھ فرق بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_016,,4.9 Conditions of Equilibrium,Long,state_and_explain,State and explain the first and second conditions of equilibrium with their mathematical forms.,توازن کی پہلی اور دوسری شرطیں ان کی ریاضیاتی صورتوں کے ساتھ بیان کریں اور وضاحت کریں۔,Medium,5,high,
q_9_phy_ch4_lq_017,,4.9 Conditions of Equilibrium,Long,explain,Explain why a body may have zero resultant force but still have non-zero resultant torque.,وضاحت کریں کہ کسی جسم پر رزلٹنٹ قوت صفر ہونے کے باوجود رزلٹنٹ ٹارک صفر کیوں نہیں ہو سکتا۔,Hard,5,high,
q_9_phy_ch4_lq_018,,4.9 Solving Problems by Applying Conditions of Equilibrium,Long,describe,Describe the steps used to solve problems by applying conditions of equilibrium.,توازن کی شرائط استعمال کر کے مسائل حل کرنے کے مراحل بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_019,,4.10 States of Equilibrium,Long,compare,"Compare stable, unstable and neutral equilibrium using the position of centre of mass and examples.",مرکزِ کمیت کی حالت اور مثالوں کی مدد سے مستحکم، غیر مستحکم اور نیوٹرل توازن کا موازنہ کریں۔,Hard,5,high,
q_9_phy_ch4_lq_020,,4.11 Improvement of Stability,Long,explain,Explain how the stability of a system can be improved by lowering the centre of gravity or widening the base.,وضاحت کریں کہ مرکزِ ثقل کو نیچا کر کے یا base کو چوڑا کر کے نظام کا استحکام کیسے بہتر بنایا جا سکتا ہے۔,Medium,5,high,
q_9_phy_ch4_lq_021,,4.12 Application of Stability in Real Life,Long,elaborate,Elaborate the applications of stability in racing cars and balancing toys.,racing cars اور balancing toys میں استحکام کے استعمالات کی تفصیل بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_022,,4.12 Rotational Motion Versus Translational Motion,Long,compare,"Compare rotational motion with translational motion using velocity, acceleration, force and momentum counterparts.",ولاسٹی، ایکسلریشن، قوت اور مومنٹم کی ہم معنی گردشی مقداروں کی مدد سے گردشی حرکت کا متنقلی حرکت سے موازنہ کریں۔,Medium,5,high,
q_9_phy_ch4_lq_023,,4.12 Motion in a Circle,Long,explain,Explain why a force perpendicular to velocity is needed to keep an object moving with uniform speed in a circle.,وضاحت کریں کہ جسم کو دائرے میں یکساں رفتار سے حرکت میں رکھنے کے لیے ولاسٹی پر عمود قوت کیوں ضروری ہے۔,Hard,5,high,
q_9_phy_ch4_lq_024,,4.13 Centripetal Force,Long,state_and_explain,State and explain centripetal force. Write its formula and describe its direction.,مرکز مائل قوت بیان کریں اور وضاحت کریں۔ اس کا فارمولا لکھیں اور اس کی سمت بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_025,,4.13 Sources of Centripetal Force,Long,explain,"Explain the sources of centripetal force in a whirled stone, the Moon, satellites, washing machine dryer and cream separator.",گھمائے گئے پتھر، چاند، satellites، washing machine dryer اور cream separator میں مرکز مائل قوت کے ذرائع بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_026,,4.C Constructed Response Questions,Long,discuss,A car travels at the same speed around two curves with different radii. For which radius the car experiences more centripetal force? Prove your answer.,ایک کار مختلف radius والے دو curves پر ایک ہی رفتار سے حرکت کرتی ہے۔ کس radius پر کار زیادہ مرکز مائل قوت محسوس کرے گی؟ اپنا جواب ثابت کریں۔,Hard,5,high,
q_9_phy_ch4_lq_027,,4.C Constructed Response Questions,Long,explain,"A ripe mango does not normally fall from the tree. But when the branch of the tree is shaken, the mango falls down easily. Can you tell the reason?",پکا ہوا آم عام طور پر درخت سے نہیں گرتا، لیکن جب شاخ کو ہلایا جائے تو آم آسانی سے نیچے گر جاتا ہے۔ اس کی وجہ بیان کریں۔,Medium,5,high,
q_9_phy_ch4_lq_028,,4.C Constructed Response Questions,Long,discuss,"Discuss the concepts of stability and centre of gravity in relation to objects toppling over. Provide an example where an object’s centre of gravity affects its stability, and explain how altering its base of support can influence stability.",اشیا کے الٹنے کے حوالے سے استحکام اور مرکزِ ثقل کے تصورات پر بحث کریں۔ ایک مثال دیں جہاں جسم کا مرکزِ ثقل اس کے استحکام کو متاثر کرتا ہو، اور وضاحت کریں کہ base of support بدلنے سے استحکام کیسے متاثر ہوتا ہے۔,Hard,5,high,
q_9_phy_ch4_lq_029,,4.C Constructed Response Questions,Long,explain,Why an accelerated body cannot be considered in equilibrium?,ایک accelerating جسم کو توازن میں کیوں نہیں سمجھا جا سکتا؟,Medium,5,high,
q_9_phy_ch4_lq_030,,4.C Constructed Response Questions,Long,explain,"Two boxes of the same weight but different heights are lying on the floor of a truck. If the truck makes a sudden stop, which box is more likely to tumble over? Why?",ایک ہی وزن مگر مختلف heights والے دو boxes ٹرک کے فرش پر رکھے ہیں۔ اگر ٹرک اچانک رک جائے تو کون سا box الٹنے کا زیادہ امکان رکھتا ہے؟ کیوں؟,Hard,5,high,
q_9_phy_ch4_lq_031,,4.D Comprehensive Questions,Long,explain,Explain the principle of moments with an example.,پرنسپل آف مومنٹس کو ایک مثال کے ساتھ واضح کریں۔,Medium,5,high,
q_9_phy_ch4_lq_032,,4.D Comprehensive Questions,Long,describe,Describe how could you determine the centre of gravity of an irregular shaped lamina experimentally.,بیان کریں کہ آپ غیر باقاعدہ shaped lamina کا مرکزِ ثقل تجرباتی طور پر کیسے معلوم کر سکتے ہیں۔,Medium,5,high,
q_9_phy_ch4_lq_033,,4.D Comprehensive Questions,Long,state_and_explain,State and explain two conditions of equilibrium.,توازن کی دو شرائط بیان کریں اور وضاحت کریں۔,Medium,5,high,
q_9_phy_ch4_lq_034,,4.D Comprehensive Questions,Long,explain,How the stability of an object can be improved? Give a few examples to support your answer.,کسی جسم کے استحکام کو کیسے بہتر بنایا جا سکتا ہے؟ اپنے جواب کی تائید کے لیے چند مثالیں دیں۔,Medium,5,high,
q_9_phy_ch4_lq_035,,4.2 Addition of Forces — Solved Examples,Numerical,solve,"Let us add three force vectors F1, F2 and F3 having magnitudes of 200 N, 300 N and 250 N acting at angles of 30°, 45°, 60° with x-axis. By selecting a suitable scale 100 N = 1 cm, draw the force vectors and find the resultant force and its direction.","درج ذیل قوتی ویکٹرز کو مناسب پیمانہ استعمال کرتے ہوئے جمع کریں اور رزلٹنٹ قوت اور اس کی سمت معلوم کریں: F1 = 200 N at 30°, F2 = 300 N at 45°, F3 = 250 N at 60° with x-axis, scale 100 N = 1 cm",Medium,4,high,
q_9_phy_ch4_lq_036,,4.3 Moment of Force — Solved Examples,Numerical,calculate,"A spanner 25 cm long is used to open a nut. If a force of 400 N is applied at the end of a spanner shown in Fig. 4.10, what is the torque acting on the nut?","درج ذیل صورت میں نٹ پر عمل کرنے والا ٹارک معلوم کریں: spanner length = 25 cm, force = 400 N",Easy,4,high,
q_9_phy_ch4_lq_037,,4.4 Resolution of Vectors — Solved Examples,Numerical,determine,A force of 160 N is acting on a wooden box at an angle of 60° with the horizontal direction. Determine the values of its x and y components.,"درج ذیل قوت کے x اور y components معلوم کریں: F = 160 N, angle = 60° with horizontal direction",Medium,4,high,
q_9_phy_ch4_lq_038,,4.6 Principle of Moments — Solved Examples,Numerical,determine,A metre stick is pinned at its one end O on a table so that it can rotate freely. One force of magnitude 18 N is applied perpendicular to the length of the stick at its free end. Another force of magnitude 60 N is acting at an angle of 30° with the stick as shown in Fig. 4.13(a). At what distance from the end of stick that is pinned should the second force act such that the stick does not rotate?,"درج ذیل صورت میں دوسرا force کس فاصلے پر عمل کرے کہ stick rotate نہ کرے: metre stick length = 1.0 m, force at free end = 18 N perpendicular, second force = 60 N at 30° with stick",Hard,4,high,
q_9_phy_ch4_lq_039,,4.9 Conditions of Equilibrium — Solved Examples,Numerical,find,"A picture is suspended by means of two vertical strings as shown in Fig. 4.21. The weight of the picture is 5 N, and it is acting at its centre of gravity. Find the tension T1 & T2 in the two strings.","دو vertical strings میں tensions معلوم کریں: picture weight = 5 N, centre of gravity at middle, distances from centre to A and B = 20 cm each",Medium,4,high,
q_9_phy_ch4_lq_040,,4.13 Centripetal Force — Solved Examples,Numerical,calculate,A 150 g stone attached to a string is whirled in a horizontal circle at a constant speed of 8 m s⁻¹. The length of string is 1.2 m. Calculate the centripetal force acting on the stone. Neglect effects of gravity.,"درج ذیل پتھر پر عمل کرنے والی مرکز مائل قوت معلوم کریں: mass = 150 g, speed = 8 m s⁻¹, string length = 1.2 m, neglect gravity",Medium,4,high,
q_9_phy_ch4_lq_041,,4.E Numerical Problems,Numerical,calculate,A force of 200 N is acting on a cart at an angle of 30° with the horizontal direction. Find the x and y-components of the force.,"درج ذیل قوت کے x اور y components معلوم کریں: F = 200 N, angle = 30° with horizontal direction",Easy,4,high,
