question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_long_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | BOOK TOPIC | خود اعتمادی و خود انحصاری,Long,detailed_question_book_topic,اسلامی تعلیمات کی روشنی میں خود اعتمادی و خود انحصاری کے مفہوم، اہمیت اور فوائد پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b7_long_002,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | BOOK TOPIC | جسمانی و ذہنی صحت اور جسمانی ریاضت,Long,detailed_question_book_topic,اسلامی تعلیمات کی روشنی میں جسمانی و ذہنی صحت اور جسمانی ریاضت کی اہمیت تفصیل سے بیان کریں۔,Medium,10,ELITE,1
q_9_isl_b7_long_003,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | BOOK TOPIC | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Long,detailed_question_book_topic,قرآن و سنت اور سیرت نبوی ﷺ کی روشنی میں مستقبل کی منصوبہ بندی کی اہمیت پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b7_long_004,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | BOOK TOPIC | اسلامی تہذیب کے امتیازات,Long,detailed_question_book_topic,اسلامی تہذیب کے بنیادی امتیازات اور عصر حاضر میں ان کی اہمیت تفصیل سے بیان کریں۔,Medium,10,ELITE,1
q_9_isl_b7_long_005,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Long,detailed_question_extra_important,خود اعتمادی، خود انحصاری، توکل اور عاجزی کے باہمی تعلق کو اسلامی تعلیمات کی روشنی میں واضح کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_006,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Long,detailed_question_extra_important,فرد اور قوم کی ترقی میں خود اعتمادی و خود انحصاری کے کردار اور ان کے عملی تقاضوں کو بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_007,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Long,detailed_question_extra_important,صحت مند معاشرے کی تشکیل میں جسمانی ریاضت، مناسب کھیل، ذہنی توازن اور اعتدال کے کردار پر تفصیلی روشنی ڈالیں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_008,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Long,detailed_question_extra_important,اسلامی تعلیمات کی روشنی میں جسم کی حفاظت، طاقت ور مومن کی فضیلت اور کھیلوں کے آداب بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_009,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Long,detailed_question_extra_important,حضرت یوسف علیہ السلام، غزوہ احزاب اور صلح حدیبیہ کی مثالوں سے مستقبل کی منصوبہ بندی کے اصول واضح کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_010,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Long,detailed_question_extra_important,اسلامی نقطۂ نظر سے منصوبہ بندی، اسباب اختیار کرنے، مشاورت اور توکل کے تعلق کی وضاحت کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_011,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Long,detailed_question_extra_important,اسلامی تہذیب میں توحید، احترام رسالت ﷺ، انسانی حقوق، مساوات اور علم کی اہمیت تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b7_long_012,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Long,detailed_question_extra_important,اسلامی تہذیب کی عالمگیریت، اعتدال، اخلاقی اقدار اور انسانی فلاح کے تصور پر تفصیلی نوٹ لکھیں۔,Medium,10,ULTRA,1
