question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_personality_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | اہل بیت اطہار,Special,personality_short_note,حضرت امام زین العابدین رحمۃ اللہ علیہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_002,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | اہل بیت اطہار,Special,personality_short_note,حضرت امام زید بن علی رحمۃ اللہ علیہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_003,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_004,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_005,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت عمرو بن امیہ رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_006,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت عمرو بن العاص رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_007,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت جابر بن عبداللہ رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_008,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابہ کرام رضی اللہ عنہم,Special,personality_short_note,حضرت انس بن مالک رضی اللہ عنہ کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_009,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابیات رضی اللہ عنہن,Special,personality_short_note,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_010,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابیات رضی اللہ عنہن,Special,personality_short_note,حضرت ام سلیم رضی اللہ عنہا کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
q_9_isl_b6_personality_011,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q6 BOARD ELIGIBLE | صحابیات رضی اللہ عنہن,Special,personality_short_note,حضرت ام عطیہ رضی اللہ عنہا کی حیات و خدمات پر مختصر نوٹ لکھیں۔,Medium,5,ELITE,1
