question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Reversible and Irreversible Reactions,topic_separator,,,,,,1
q_9_chem_ch6_sq_001,1,6.1 Reversible and Irreversible Reactions,definition_function,Define an irreversible reaction and state one related characteristic or function.,ناقابلِ واپسی تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch6_sq_002,1,6.1 Reversible and Irreversible Reactions,definition_function,Define a reversible reaction and state one related characteristic or function.,قابلِ واپسی تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch6_sq_003,1,6.1 Reversible and Irreversible Reactions,formula_relationship,Write the symbol that is used for a reversible reaction Also state what the symbol or relation represents.,قابلِ واپسی تعامل کے لیے کون سی علامت استعمال ہوتی ہے۔ علامت یا تعلق کا مطلب بھی بیان کریں۔,Easy,2,ULTRA,1
q_9_chem_ch6_sq_004,1,6.1 Reversible and Irreversible Reactions,explain_reason,Why are many combustion reactions considered irreversible?,بہت سے احتراقی تعاملات ناقابلِ واپسی کیوں سمجھے جاتے ہیں؟,Medium,2,PRO,1
q_9_chem_ch6_sq_005,1,6.1 Reversible and Irreversible Reactions,application_scenario,When can a reaction become reversible?,تعامل کب قابلِ واپسی بن سکتا ہے؟,Hard,2,PRO,1
TOPIC_SEP,1,6.2 Dynamic Equilibrium,topic_separator,,,,,,1
q_9_chem_ch6_sq_006,1,6.2 Dynamic Equilibrium,definition_function,Define dynamic equilibrium and state one related characteristic or function.,حرکی توازن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch6_sq_007,1,6.2 Dynamic Equilibrium,cause_effect,Explain what happens to concentrations at dynamic equilibrium.,حرکی توازن پر ارتکاز کے ساتھ کیا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_008,1,6.2 Dynamic Equilibrium,application_scenario,State whether the following statement is correct and justify the response: Does dynamic equilibrium mean the reaction has stopped.,کیا حرکی توازن کا مطلب تعامل کا رک جانا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_009,1,6.2 Dynamic Equilibrium,definition_function,Define static equilibrium and state one related characteristic or function.,ساکن توازن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Medium,2,ULTRA,1
q_9_chem_ch6_sq_010,1,6.2 Dynamic Equilibrium,cause_effect,How does dynamic equilibrium differ from static equilibrium?,حرکی توازن ساکن توازن سے کیسے مختلف ہے؟,Hard,2,PRO,1
q_9_chem_ch6_sq_011,1,6.2 Dynamic Equilibrium,application_scenario,"If forward and reverse reaction rates are both very high, what happens to equilibrium establishment?",اگر آگے اور پیچھے دونوں تعاملات کی رفتار بہت زیادہ ہو تو توازن کے قیام پر کیا اثر ہوگا؟,Medium,2,PRO,1
q_9_chem_ch6_sq_012,1,6.2 Dynamic Equilibrium,concept_explanation,What condition is necessary for a reversible reaction to reach equilibrium?,قابلِ واپسی تعامل کے توازن تک پہنچنے کے لیے کون سی شرط ضروری ہے؟,Easy,2,PRO,1
q_9_chem_ch6_sq_013,1,6.2 Dynamic Equilibrium,application_scenario,"At equilibrium, are the concentrations of reactants and products necessarily equal?",توازن پر کیا عامل اور حاصل مادّوں کے ارتکاز لازماً برابر ہوتے ہیں؟,Medium,2,PRO,1
TOPIC_SEP,1,6.3 Le Chatelier Principle,topic_separator,,,,,,1
q_9_chem_ch6_sq_014,1,6.3 Le Chatelier Principle,concept_explanation,What does Le Chatelier’s principle predict?,لی شاٹیلیے کا اصول کیا پیش گوئی کرتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_015,1,6.3 Le Chatelier Principle,cause_effect,Explain what happens if the concentration of a reactant is increased at equilibrium.,توازن پر عامل مادّے کا ارتکاز بڑھایا جائے تو کیا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_016,1,6.3 Le Chatelier Principle,cause_effect,Explain what happens if a product is removed from an equilibrium mixture.,توازنی آمیزے سے حاصل مادّہ نکالا جائے تو کیا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_017,1,6.3 Le Chatelier Principle,process_steps,How can a reversible reaction be driven toward completion?,قابلِ واپسی تعامل کو تکمیل کی طرف کیسے لے جایا جا سکتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_018,1,6.3 Le Chatelier Principle,cause_effect,How does increased pressure affect a gaseous equilibrium?,دباؤ بڑھانے سے گیسوں کے توازن پر کیا اثر ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch6_sq_019,1,6.3 Le Chatelier Principle,application_scenario,"For N₂(g) + 3H₂(g) ⇌ 2NH₃(g), which change favours ammonia formation?",N₂(g) + 3H₂(g) ⇌ 2NH₃(g) میں کون سی تبدیلی امونیا بننے کو ترجیح دیتی ہے؟,Medium,2,PRO,1
