question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch10_001,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Topic,topic_separator,,,,,0
q_9_eng_ch10_lq_001,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
In the high-altitude regions of Pakistan, the snow leopard and the markhor have made rugged mountain landscapes their home for centuries. Predator and prey together represent the delicate balance of nature and symbolise Pakistan's wild beauty and the need for conservation.",Medium,4,PRO,0
q_9_eng_ch10_lq_002,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The snow leopard is one of the most elusive animals on the planet. Its thick spotted coat blends with the rocky mountains, while dense fur and a muscular build help it survive cold regions at altitudes as high as 5,500 metres.",Medium,4,PRO,0
q_9_eng_ch10_lq_003,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Snow leopards have wide, fur-covered paws that help them walk on snow without sinking. Their long tails support balance on narrow ledges. Although strong and agile, these shy and solitary predators avoid human contact whenever possible.",Medium,4,PRO,0
q_9_eng_ch10_lq_004,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The markhor is Pakistan's national animal and is recognised by its impressive corkscrew-shaped horns. Its wide hooves help it climb steep cliffs, and its coat changes with the seasons, providing warmth in winter and shedding in summer.",Medium,4,PRO,0
q_9_eng_ch10_lq_005,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Human activities have disturbed the natural balance between predator and prey. Poaching, habitat destruction, and climate change have reduced both populations. Markhors are hunted for their horns, while snow leopards are killed by herders protecting livestock.",Hard,4,PRO,0
q_9_eng_ch10_lq_006,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Community conservation programmes generate revenue for wildlife protection and provide incentives for local people. Compensation for livestock losses and awareness of the snow leopard's importance have reduced the killing of these endangered cats and supported population recovery.",Hard,4,PRO,0
q_9_eng_ch10_lq_007,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The survival of the snow leopard and the markhor is essential for healthy mountain ecosystems. Snow leopards control herbivore populations, while markhors help maintain vegetation and prevent overgrazing and soil erosion on mountain slopes. Together, both species preserve ecological balance.",Hard,4,PRO,0
sep_9_eng_ch10_002,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Simple English Alternative,Topic,topic_separator,,,,,0
q_9_eng_ch10_lq_008,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
In the high-altitude regions of Pakistan, the snow leopard and the markhor have made rugged mountain landscapes their home for centuries. Predator and prey together represent the delicate balance of nature and symbolise Pakistan's wild beauty and the need for conservation.",Medium,4,PRO,0
q_9_eng_ch10_lq_009,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
The snow leopard is one of the most elusive animals on the planet. Its thick spotted coat blends with the rocky mountains, while dense fur and a muscular build help it survive cold regions at altitudes as high as 5,500 metres.",Medium,4,PRO,0
q_9_eng_ch10_lq_010,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Snow leopards have wide, fur-covered paws that help them walk on snow without sinking. Their long tails support balance on narrow ledges. Although strong and agile, these shy and solitary predators avoid human contact whenever possible.",Medium,4,PRO,0
q_9_eng_ch10_lq_011,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
The markhor is Pakistan's national animal and is recognised by its impressive corkscrew-shaped horns. Its wide hooves help it climb steep cliffs, and its coat changes with the seasons, providing warmth in winter and shedding in summer.",Medium,4,PRO,0
