question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,1.1 Theory of Systems,Topic,,,,,,,,,,,1
q_9_cs_ch1_001,1,1.1 Theory of Systems,Remember,Which statement best defines a system?,کون سا بیان system کی بہترین تعریف کرتا ہے؟,A single device with no interaction / ایک ایسا واحد آلہ جس کا کوئی تعامل نہ ہو,An organized collection of interdependent parts working toward a common goal / باہمی انحصار رکھنے والے اجزا کا منظم مجموعہ جو ایک مشترک مقصد کے لیے کام کرے,A random collection of unrelated items / غیر متعلقہ اشیا کا بے ترتیب مجموعہ,Only a computer program / صرف ایک کمپیوٹر پروگرام,B | An organized collection of interdependent parts working toward a common goal / باہمی انحصار رکھنے والے اجزا کا منظم مجموعہ جو ایک مشترک مقصد کے لیے کام کرے,Easy,1,PRO,1
q_9_cs_ch1_002,1,1.1 Theory of Systems,Understand,What is the principal objective of a computer system?,کمپیوٹر سسٹم کا بنیادی مقصد کیا ہے؟,To store only pictures / صرف تصاویر محفوظ کرنا,To replace every human decision / ہر انسانی فیصلے کی جگہ لینا,To operate without any input / کسی input کے بغیر کام کرنا,To process data and provide useful information / ڈیٹا کو process کرنا اور مفید information فراہم کرنا,D | To process data and provide useful information / ڈیٹا کو process کرنا اور مفید information فراہم کرنا,Easy,1,PRO,1
q_9_cs_ch1_003,1,1.1 Theory of Systems,Remember,Which of the following is a basic concept used to describe a system?,درج ذیل میں سے کون سا system کو بیان کرنے والا بنیادی تصور ہے؟,Objective / مقصد,Decoration / سجاوٹ,Brand name / برانڈ نام,Purchase price / خریداری کی قیمت,A | Objective / مقصد,Easy,1,ULTRA,1
q_9_cs_ch1_004,1,1.1 Theory of Systems,Understand,Why is communication among system components important?,system کے اجزا کے درمیان communication کیوں اہم ہے؟,It removes the need for components / یہ اجزا کی ضرورت ختم کر دیتی ہے,It prevents all environmental effects / یہ تمام ماحولیاتی اثرات روک دیتی ہے,It enables components to work together to achieve the system objective / یہ اجزا کو system کا مقصد حاصل کرنے کے لیے مل کر کام کرنے کے قابل بناتی ہے,It makes every system simple / یہ ہر system کو سادہ بنا دیتی ہے,C | It enables components to work together to achieve the system objective / یہ اجزا کو system کا مقصد حاصل کرنے کے لیے مل کر کام کرنے کے قابل بناتی ہے,Medium,1,ULTRA,1
q_9_cs_ch1_005,1,1.1 Theory of Systems,Understand,What does the environment of a system include?,system کا environment کیا شامل کرتا ہے؟,Only the system output / صرف system کا output,Only internal memory / صرف اندرونی memory,External factors that interact with and affect the system / بیرونی عوامل جو system کے ساتھ تعامل کرتے اور اسے متاثر کرتے ہیں,The system objective alone / صرف system کا مقصد,C | External factors that interact with and affect the system / بیرونی عوامل جو system کے ساتھ تعامل کرتے اور اسے متاثر کرتے ہیں,Medium,1,ULTRA,1
q_9_cs_ch1_006,1,1.1 Theory of Systems,Remember,An information system combines technology and people mainly to do what?,information system ٹیکنالوجی اور لوگوں کو بنیادی طور پر کس کام کے لیے یکجا کرتا ہے؟,"Collect, process, store, and share data / ڈیٹا collect، process، store اور share کرنا",Manufacture computer chips only / صرف کمپیوٹر chips بنانا,Replace all communication / تمام communication ختم کرنا,Convert every system into hardware / ہر system کو hardware میں بدلنا,"A | Collect, process, store, and share data / ڈیٹا collect، process، store اور share کرنا",Medium,1,ELITE,1
TOPIC_SEP,1,1.2 Software,Topic,,,,,,,,,,,1
q_9_cs_ch1_007,1,1.2 Software,Remember,What is software?,software کیا ہے؟,The physical casing of a computer / کمپیوٹر کا جسمانی casing,Only data stored on paper / صرف کاغذ پر محفوظ data,A type of input device / input device کی ایک قسم,A collection of programs and instructions that tell a computer what to do / programs اور instructions کا مجموعہ جو کمپیوٹر کو بتاتا ہے کہ کیا کرنا ہے,D | A collection of programs and instructions that tell a computer what to do / programs اور instructions کا مجموعہ جو کمپیوٹر کو بتاتا ہے کہ کیا کرنا ہے,Easy,1,PRO,1
q_9_cs_ch1_008,1,1.2 Software,Understand,What is the main role of system software?,system software کا بنیادی کردار کیا ہے؟,To create only printed documents / صرف printed documents بنانا,To manage system resources and provide a platform for applications / system resources کو manage کرنا اور applications کے لیے platform فراہم کرنا,To serve only as a game / صرف game کے طور پر کام کرنا,To replace computer hardware / computer hardware کو بدل دینا,B | To manage system resources and provide a platform for applications / system resources کو manage کرنا اور applications کے لیے platform فراہم کرنا,Easy,1,PRO,1
q_9_cs_ch1_009,1,1.2 Software,Remember,Which of the following is an example of system software?,درج ذیل میں سے کون system software کی مثال ہے؟,Word processor / ورڈ پروسیسر,Operating system / آپریٹنگ سسٹم,Web browser / ویب براؤزر,Media player document / میڈیا پلیئر document,B | Operating system / آپریٹنگ سسٹم,Easy,1,ULTRA,1
q_9_cs_ch1_010,1,1.2 Software,Remember,Which software category includes printer and graphics-card drivers?,printer اور graphics-card drivers کس software category میں شامل ہیں؟,Word processors / ورڈ پروسیسرز,Web browsers / ویب براؤزرز,Games / گیمز,Device drivers / ڈیوائس ڈرائیورز,D | Device drivers / ڈیوائس ڈرائیورز,Easy,1,ELITE,1
q_9_cs_ch1_011,1,1.2 Software,Remember,"Antivirus, disk cleanup, and backup software are examples of which category?",antivirus، disk cleanup اور backup software کس category کی مثالیں ہیں؟,Utility programs / یوٹیلیٹی پروگرامز,Input devices / ان پٹ ڈیوائسز,Programming languages / پروگرامنگ زبانیں,Output mechanisms / آؤٹ پٹ mechanisms,A | Utility programs / یوٹیلیٹی پروگرامز,Easy,1,ELITE,1
