question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | While-reading Questions,topic_separator,,,,,0
q_9_eng_ch8_sq_001,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | While-reading Questions,while_reading,What does digital globalisation refer to based on the introduction?,Easy,2,PRO,0
q_9_eng_ch8_sq_002,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | While-reading Questions,while_reading,How does globalisation facilitate labour mobility?,Easy,2,PRO,0
q_9_eng_ch8_sq_003,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | While-reading Questions,while_reading,How does globalisation contribute to cultural exchange?,Medium,2,PRO,0
q_9_eng_ch8_sq_004,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | While-reading Questions,while_reading,What educational opportunities are created by digital globalisation?,Easy,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,topic_separator,,,,,0
q_9_eng_ch8_sq_005,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,"What is globalisation, and how does it promote economic growth?",Medium,2,PRO,0
q_9_eng_ch8_sq_006,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,How has globalisation affected Pakistan's economy in terms of trade and investment?,Medium,2,PRO,0
q_9_eng_ch8_sq_007,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,What new job opportunities have been created in Pakistan as a result of globalisation?,Medium,2,PRO,0
q_9_eng_ch8_sq_008,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,"What is cultural exchange, and how does it benefit people?",Medium,2,PRO,0
q_9_eng_ch8_sq_009,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,What concerns arise about preserving traditional Pakistani culture?,Medium,2,PRO,0
q_9_eng_ch8_sq_010,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,How has globalisation expanded students' access to information?,Medium,2,PRO,0
q_9_eng_ch8_sq_011,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,How does learning about diverse perspectives benefit students?,Medium,2,PRO,0
q_9_eng_ch8_sq_012,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Reading and Critical Thinking,exercise_direct,How can understanding globalisation help young Pakistani students contribute to their country's future?,Medium,2,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,topic_separator,,,,,0
q_9_eng_ch8_sq_013,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,How has technology accelerated globalisation?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_014,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,What products does Pakistan export to other countries?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_015,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,How do multinational companies create employment opportunities?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_016,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,How do language-learning apps support cultural understanding?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_017,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,Why can global fashion and food trends threaten cultural identity?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_018,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,How can local traditions be preserved through digital platforms?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_019,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,prose_short,What risks are associated with cultural homogenisation and misinformation?,Medium,2,ULTRA,0
q_9_eng_ch8_sq_020,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Text-derived Board Questions,theme_message,State the central theme of the unit.,Medium,2,ULTRA,0
