question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_long_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | عقیدہ توحید,Long,detailed_question_textbook,عقیدہ توحید پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_002,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | عقیدہ رسالت,Long,detailed_question_textbook,عقیدہ رسالت کی وضاحت کرتے ہوئے ختم نبوت پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_003,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | ملائکہ,Long,detailed_question_textbook,ملائکہ پر ایمان کے حوالے سے ایک جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_004,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | کتب سماویہ,Long,detailed_question_textbook,کتب سماویہ (آسمانی کتابوں) پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b2_long_005,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | عقیدہ آخرت,Long,detailed_question_textbook,عقیدہ آخرت پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b2_long_006,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | نماز,Long,detailed_question_textbook,نماز پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_007,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | روزہ,Long,detailed_question_textbook,روزے پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_008,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | زکوٰۃ,Long,detailed_question_textbook,زکوٰۃ و عشر پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b2_long_009,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | حج اور قربانی,Long,detailed_question_textbook,حج اور قربانی کے بارے میں ایک جامع مضمون تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b2_long_010,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | عقیدہ توحید,Long,detailed_question_extra_important,توحید کی اقسام اور شرک کی اہم صورتوں کی وضاحت کرتے ہوئے عقیدہ توحید کے انسانی زندگی پر اثرات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b2_long_011,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | عقیدہ رسالت,Long,detailed_question_extra_important,رسالت کی ضرورت، اطاعت رسول ﷺ اور ختم نبوت کی اہمیت تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
