question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch5_lq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Topic,topic_separator,,,,,1
q_10_eng_ch5_lq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
High above the city, on a tall column, stood the statue of the Happy Prince. He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt.",Medium,8,ELITE,1
q_10_eng_ch5_lq_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
One night there flew over the city a little Swallow. His friends had gone away to Egypt six weeks before, but he had stayed behind. After they had gone, he felt lonely. Then, one day he started to fly.",Medium,8,ULTRA,1
q_10_eng_ch5_lq_003,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The eyes of the Happy Prince were filled with tears, and tears were running down his golden cheeks. His face was so beautiful in the moonlight that the little Swallow was filled with pity.",Medium,8,ELITE,1
q_10_eng_ch5_lq_004,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
When I was alive and had a human heart, I did not know what tears were, for I lived in the Palace of Sans-Souci, where sorrow is not allowed to enter.",Medium,8,ELITE,1
q_10_eng_ch5_lq_005,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
And now that I am dead, they have set me up here so high that I can see all the ugliness and all the misery of my city, and though my heart is made of lead I cannot choose but weep.",Medium,8,ELITE,1
q_10_eng_ch5_lq_006,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Far away in a little street there is a poor house. One of the windows is open, and through it I can see a woman seated at a table. Her face is thin and worn, and she has coarse, red hands.",Medium,8,ELITE,1
q_10_eng_ch5_lq_007,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
So, the Swallow picked out the great ruby from the Prince's sword, and flew away with it in his beak over the roofs of the town. At last he came to the poor house and looked in.",Medium,8,ELITE,1
q_10_eng_ch5_lq_008,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
That is because you have done a good action, said the Prince. And the little Swallow began to think, and then he fell asleep. Thinking always made him sleepy.",Medium,8,ULTRA,1
q_10_eng_ch5_lq_009,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Dear little Swallow, said the Prince, you tell me of marvellous things, but more marvellous than anything else are the sufferings of men and women. There is no Mystery so great as Misery.",Medium,8,ELITE,1
q_10_eng_ch5_lq_010,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
I am covered with fine gold, said the Prince. You must take it off, leaf by leaf, and give it to my poor; the living always think that gold can make them happy.",Medium,8,ELITE,1
q_10_eng_ch5_lq_011,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The poor little Swallow grew colder and colder, but he would not leave the Prince, he loved him too well. He picked up crumbs outside the baker's door when the baker was not looking and tried to keep himself warm by flapping his wings.",Medium,8,ELITE,1
q_10_eng_ch5_lq_012,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The story shows how true happiness comes not from wealth or beauty, but from helping those in need. Through the bond between the Prince and the Swallow, Wilde highlights the power of compassion and empathy.",Medium,8,ELITE,1
sep_10_eng_ch5_lq_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Topic,topic_separator,,,,,1
q_10_eng_ch5_lq_013,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
High above the city, on a tall column, stood the statue of the Happy Prince. He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt.",Medium,8,ELITE,1
q_10_eng_ch5_lq_014,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
One night there flew over the city a little Swallow. His friends had gone away to Egypt six weeks before, but he had stayed behind. After they had gone, he felt lonely. Then, one day he started to fly.",Medium,8,ULTRA,1
q_10_eng_ch5_lq_015,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
The eyes of the Happy Prince were filled with tears, and tears were running down his golden cheeks. His face was so beautiful in the moonlight that the little Swallow was filled with pity.",Medium,8,ELITE,1
q_10_eng_ch5_lq_016,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
When I was alive and had a human heart, I did not know what tears were, for I lived in the Palace of Sans-Souci, where sorrow is not allowed to enter.",Medium,8,ELITE,1
q_10_eng_ch5_lq_017,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
And now that I am dead, they have set me up here so high that I can see all the ugliness and all the misery of my city, and though my heart is made of lead I cannot choose but weep.",Medium,8,ELITE,1
q_10_eng_ch5_lq_018,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Far away in a little street there is a poor house. One of the windows is open, and through it I can see a woman seated at a table. Her face is thin and worn, and she has coarse, red hands.",Medium,8,ELITE,1
q_10_eng_ch5_lq_019,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
So, the Swallow picked out the great ruby from the Prince's sword, and flew away with it in his beak over the roofs of the town. At last he came to the poor house and looked in.",Medium,8,ELITE,1
q_10_eng_ch5_lq_020,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
That is because you have done a good action, said the Prince. And the little Swallow began to think, and then he fell asleep. Thinking always made him sleepy.",Medium,8,ULTRA,1
q_10_eng_ch5_lq_021,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Dear little Swallow, said the Prince, you tell me of marvellous things, but more marvellous than anything else are the sufferings of men and women. There is no Mystery so great as Misery.",Medium,8,ELITE,1
q_10_eng_ch5_lq_022,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
I am covered with fine gold, said the Prince. You must take it off, leaf by leaf, and give it to my poor; the living always think that gold can make them happy.",Medium,8,ELITE,1
q_10_eng_ch5_lq_023,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
The poor little Swallow grew colder and colder, but he would not leave the Prince, he loved him too well. He picked up crumbs outside the baker's door when the baker was not looking and tried to keep himself warm by flapping his wings.",Medium,8,ELITE,1
q_10_eng_ch5_lq_024,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
The story shows how true happiness comes not from wealth or beauty, but from helping those in need. Through the bond between the Prince and the Swallow, Wilde highlights the power of compassion and empathy.",Medium,8,ELITE,1
