question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,10.1 Composition and Layers of Atmosphere,topic_separator,,,,,,1
q_9_chem_ch10_sq_001,1,10.1 Composition and Layers of Atmosphere,list_state,(a) Name the blanket of air around Earth (b) Name the gas that is the major component of dry air.,(الف) زمین کے گرد ہوا کی چادر کا نام لکھیں۔ (ب) خشک ہوا کا سب سے بڑا جزو کون سی گیس ہے۔,Easy,2,PRO,1
q_9_chem_ch10_sq_002,1,10.1 Composition and Layers of Atmosphere,list_state,(a) Name the gas that is the second major component of air (b) State the approximate percentage of carbon dioxide in air given.,(الف) ہوا کا دوسرا بڑا جزو کون سی گیس ہے۔ (ب) تعداد یا مقدار بیان کریں: ہوا میں کاربن ڈائی آکسائیڈ کی تقریباً کتنی فیصد مقدار دی گئی ہے۔,Medium,2,ULTRA,1
q_9_chem_ch10_sq_003,1,10.1 Composition and Layers of Atmosphere,explain_reason,Why is the atmosphere described as several layers of gases?,فضا کو گیسوں کی کئی تہوں پر مشتمل کیوں کہا جاتا ہے؟,Medium,2,ELITE,1
TOPIC_SEP,1,10.2 Air Pollution and Pollutants,topic_separator,,,,,,1
q_9_chem_ch10_sq_004,1,10.2 Air Pollution and Pollutants,definition_function,Define an air pollutant and state one related characteristic or function.,فضائی آلودہ مادّہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch10_sq_005,1,10.2 Air Pollution and Pollutants,list_state,List major air pollutants listed.,نام یا شناخت لکھیں: کون سے اہم فضائی آلودہ مادّے درج ہیں۔,Medium,2,PRO,1
q_9_chem_ch10_sq_006,1,10.2 Air Pollution and Pollutants,list_state,"(a) State the major human source of many air pollutants (b) Name the gas that is more poisonous, CO or CO₂.",(الف) بہت سے فضائی آلودہ مادّوں کا بڑا انسانی ذریعہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔ (ب) CO اور CO₂ میں کون سی گیس زیادہ زہریلی ہے۔,Easy,2,PRO,1
q_9_chem_ch10_sq_007,1,10.2 Air Pollution and Pollutants,process_steps,How is particulate matter commonly released into the atmosphere?,ذراتی مادّہ عموماً فضا میں کیسے خارج ہوتا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch10_sq_008,1,10.2 Air Pollution and Pollutants,explain_reason,Why is carbon monoxide dangerous?,کاربن مونو آکسائیڈ خطرناک کیوں ہے؟,Medium,2,PRO,1
