question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch2_001,1,2.1 Structure of Atom,Topic,topic_separator,,,,,,1
q_9_chem_ch2_lq_001,1,2.1 Structure of Atom,Long,experiment,"Answer the following related questions about Structure of Atom: (a) Name the scientist or person who proposed that all matter is made of tiny particles called atoms Also, Name the scientist or person who provided experimental evidence for the existence of atoms around 1800. | (b) What did discharge-tube experiments show about atoms? | (c) Name the subatomic particle that carries a negative charge Also, Name the subatomic particle that carries a positive charge.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کس فلسفی نے کہا کہ تمام مادّہ ننھے ذرّات یعنی ایٹموں سے بنا ہے۔ نیز، تقریباً 1800ء میں ایٹموں کے وجود کے تجرباتی شواہد کس نے فراہم کیے۔؟ | (ب) ڈسچارج ٹیوب کے تجربات نے ایٹموں کے بارے میں کیا ظاہر کیا؟ | (ج) نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ منفی بار رکھتا ہے۔ نیز، نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ مثبت بار رکھتا ہے۔؟,Medium,5,PRO,1
q_9_chem_ch2_lq_002,1,2.1 Structure of Atom,Long,cause_effect,"Answer the following related questions about Structure of Atom: (a) Name the subatomic particle that has no charge Also, Name the scientist or person who studied cathode rays in 1897 and identified electrons. | (b) A proton is approximately how many times heavier than an electron? | (c) Why did cathode rays bend toward the positive plate?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کون سا ذیلی ایٹمی ذرّہ بے بار ہوتا ہے۔ نیز، 1897ء میں کیتھوڈ شعاعوں کا مطالعہ کر کے الیکٹران کی شناخت کس نے کی۔؟ | (ب) تعداد یا مقدار بیان کریں: پروٹان الیکٹران سے تقریباً کتنی گنا زیادہ بھاری ہے۔؟ | (ج) کیتھوڈ شعاعیں مثبت پلیٹ کی طرف کیوں مڑیں؟,Medium,5,ULTRA,1
q_9_chem_ch2_lq_003,1,2.1 Structure of Atom,Long,experiment,"Answer the following related questions about Structure of Atom: (a) What were the positively charged rays produced in a perforated-cathode tube called? Also, Name the scientist or person who first observed positively charged particles through canal-ray experiments. | (b) Name the scientist or person who concluded from the gold-foil experiment that an atom has a tiny central nucleus Also, What force holds protons and neutrons together in the nucleus?. | (c) Why is almost all atomic mass concentrated in the nucleus?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سوراخ دار کیتھوڈ والی ٹیوب میں پیدا ہونے والی مثبت شعاعوں کو کیا کہا گیا۔ نیز، کینال شعاعوں کے تجربات سے مثبت ذرّات کا سب سے پہلے مشاہدہ کس نے کیا۔؟ | (ب) سونے کے ورق کے تجربے سے ایٹم میں ننھا مرکزی مرکزہ ہونے کا نتیجہ کس نے اخذ کیا۔ نیز، مرکزے میں پروٹان اور نیوٹران کو کون سی قوت اکٹھا رکھتی ہے۔؟ | (ج) ایٹم کی تقریباً تمام کمیت مرکزے میں کیوں مرتکز ہوتی ہے؟,Medium,5,ELITE,1
sep_9_chem_ch2_002,1,2.1 Bohr Atomic Model and Shells,Topic,topic_separator,,,,,,1
q_9_chem_ch2_lq_004,1,2.1 Bohr Atomic Model and Shells,Long,discuss,"Answer the following related questions about Bohr Atomic Model and Shells: (a) According to Bohr, electrons revolve around the nucleus in definite paths called what Also, What remains fixed while an electron revolves in an allowed Bohr orbit?. | (b) Name the lowest-energy state of an atom Also, Name the shell nearest to the nucleus.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بوہر کے مطابق الیکٹران مرکزے کے گرد معین راستوں میں گردش کرتے ہیں جنہیں کیا کہتے ہیں۔ نیز، بوہر کے مجاز مدار میں الیکٹران کی گردش کے دوران کیا مقرر رہتا ہے۔؟ | (ب) ایٹم کی کم ترین توانائی والی حالت کا نام لکھیں۔ نیز، مرکزے کے سب سے قریب خول کا نام کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,PRO,1
q_9_chem_ch2_lq_005,1,2.1 Bohr Atomic Model and Shells,Long,cause_effect,"Answer the following related questions about Bohr Atomic Model and Shells: (a) How does electron energy change in shells farther from the nucleus? | (b) Identify the subshells that are present in the third shell Also, State the maximum number of electrons that can be accommodated in the third shell.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) مرکزے سے دور خولوں میں الیکٹران کی توانائی کیسے بدلتی ہے؟ | (ب) تیسرے خول میں کون سے ذیلی خول موجود ہوتے ہیں۔ نیز، تعداد یا مقدار بیان کریں: تیسرے خول میں زیادہ سے زیادہ کتنے الیکٹران سما سکتے ہیں۔؟,Medium,5,ULTRA,1
sep_9_chem_ch2_003,1,2.2 Atomic Number and Mass Number,Topic,topic_separator,,,,,,1
q_9_chem_ch2_lq_006,1,2.2 Atomic Number and Mass Number,Long,cause_effect,Answer the following related questions about Atomic Number and Mass Number: (a) Define atomic number and state one related characteristic or function. | (b) Why is atomic number unique for each element? | (c) Define mass number or nucleon number and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایٹمی عدد کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) ہر عنصر کے لیے ایٹمی عدد منفرد کیوں ہوتا ہے؟ | (ج) کمیتی عدد یا نیوکلیون عدد کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch2_lq_007,1,2.2 Atomic Number and Mass Number,Long,explain,Answer the following related questions about Atomic Number and Mass Number: (a) An electrically neutral atom contains equal numbers of which particles? | (b) Name a positively charged ion Also state one related characteristic. | (c) How is a cation formed from a neutral atom?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) برقی طور پر غیر جانبدار ایٹم میں کن ذرّات کی تعداد برابر ہوتی ہے؟ | (ب) مثبت بار والے آئن کا نام لکھیں۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟ | (ج) غیر جانبدار ایٹم سے کیٹائن کیسے بنتا ہے؟,Medium,5,ULTRA,1
q_9_chem_ch2_lq_008,1,2.2 Atomic Number and Mass Number,Long,cause_effect,Answer the following related questions about Atomic Number and Mass Number: (a) Define or describe isotopes and state one related characteristic. | (b) Why do isotopes of an element have the same chemical properties? | (c) Why are isotopes not given separate positions in the periodic table?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آئسوٹوپس کی تعریف یا وضاحت کریں۔؟ | (ب) کسی عنصر کے آئسوٹوپس کی کیمیائی خصوصیات یکساں کیوں ہوتی ہیں؟ | (ج) آئسوٹوپس کو دوری جدول میں الگ مقامات کیوں نہیں دیے جاتے؟,Hard,5,ELITE,1
q_9_chem_ch2_lq_009,1,2.2 Atomic Number and Mass Number,Numerical,determine,"For a neutral atom with atomic number 8 and mass number 16, determine: (a) the number of protons, (b) the number of electrons, and (c) the number of neutrons.","ایک غیر باردار ایٹم کے لیے درج ذیل تعداد معلوم کریں: atomic number = 8, mass number = 16 | (الف) protons | (ب) electrons | (ج) neutrons",Medium,4,PRO,1
sep_9_chem_ch2_004,1,2.3 Radioactive Isotopes and Applications,Topic,topic_separator,,,,,,1
q_9_chem_ch2_lq_010,1,2.3 Radioactive Isotopes and Applications,Long,cause_effect,"Answer the following related questions about Radioactive Isotopes and Applications: (a) Define radioactivity and state one related characteristic or function. | (b) Why does a radioactive isotope emit radiation? | (c) Identify the isotope of hydrogen that is radioactive Also, Identify the radioactive isotope that is used for diagnostic imaging of organs such as brain and lungs.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تابکاری کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) تابکار آئسوٹوپ تابکاری کیوں خارج کرتا ہے؟ | (ج) ہائیڈروجن کا کون سا آئسوٹوپ تابکار ہے۔ نیز، دماغ اور پھیپھڑوں جیسے اعضا کی تشخیصی تصویربندی کے لیے کون سا تابکار آئسوٹوپ استعمال ہوتا ہے۔؟,Medium,5,PRO,1
q_9_chem_ch2_lq_011,1,2.3 Radioactive Isotopes and Applications,Long,state_and_explain,Answer the following related questions about Radioactive Isotopes and Applications: (a) Radiocarbon dating uses which isotope to estimate the age of organic remains? Also state one related characteristic. | (b) Explain what happens to the amount of carbon-14 detected as an organic sample becomes older.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نامیاتی باقیات کی عمر معلوم کرنے کے لیے ریڈیوکاربن ڈیٹنگ میں کون سا آئسوٹوپ استعمال ہوتا ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟ | (ب) نامیاتی نمونہ پرانا ہونے کے ساتھ معلوم ہونے والی کاربن-14 کی مقدار کا کیا ہوتا ہے؟,Easy,5,ULTRA,1
sep_9_chem_ch2_005,1,2.4 Relative Atomic Mass,Topic,topic_separator,,,,,,1
q_9_chem_ch2_lq_012,1,2.4 Relative Atomic Mass,Long,compare,Answer the following related questions about Relative Atomic Mass: (a) Relative atomic masses are compared with what reference? | (b) Define the value of one atomic mass unit given and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نسبتی ایٹمی کمیت کا موازنہ کس معیار سے کیا جاتا ہے؟ | (ب) ایک ایٹمی کمیتی اکائی کی کیا قدر دی گئی ہے؟,Medium,5,PRO,1
