question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_phy_ch14_001,1,14.1 Reflection of Light,Topic,topic_separator,,,,,,1
q_10_phy_ch14_lq_001,1,14.1 Reflection of Light,Long,state_and_explain,"Explain the terms normal, angle of incidence, and angle of reflection. State the laws of reflection and illustrate them with a labelled ray diagram.",normal، زاویۂ سقوط اور زاویۂ انعکاس کی وضاحت کریں۔ قوانینِ انعکاس بیان کریں اور لیبل شدہ شعاعی خاکے سے واضح کریں۔,Medium,5,PRO,1
sep_10_phy_ch14_002,1,14.2 Refraction of Light,Topic,topic_separator,,,,,,1
q_10_phy_ch14_lq_002,1,14.2 Refraction of Light,Long,state_and_explain,Define refractive index and total internal reflection. Explain the conditions required for total internal reflection.,ضریبِ انعطاف اور کلی داخلی انعکاس کی تعریف کریں۔ کلی داخلی انعکاس کے لیے ضروری شرائط کی وضاحت کریں۔,Medium,5,PRO,1
q_10_phy_ch14_lq_003,1,14.2 Refraction of Light,Long,derive,State Snell's law and derive the relationship between refractive index and critical angle when light passes from a denser medium into air.,Snell's law بیان کریں اور کثیف میڈیم سے ہوا میں روشنی کے گزرنے کی صورت میں ضریبِ انعطاف اور زاویۂ حد کے درمیان تعلق اخذ کریں۔,Hard,5,PRO,1
sep_10_phy_ch14_003,1,14.3 Optical Fibre,Topic,topic_separator,,,,,,1
q_10_phy_ch14_lq_004,1,14.3 Optical Fibre,Long,diagram_based,Describe the structure and working of an optical fibre with a labelled diagram. Discuss its advantages and applications.,لیبل شدہ خاکے کی مدد سے optical fibre کی ساخت اور کارکردگی بیان کریں۔ اس کے فوائد اور استعمالات پر بحث کریں۔,Hard,5,PRO,1
sep_10_phy_ch14_004,1,14.4 Thin Lenses,Topic,topic_separator,,,,,,1
q_10_phy_ch14_lq_005,1,14.4 Thin Lenses,Long,classification,"Explain converging and diverging lenses. Define principal axis, optical centre, principal focus, focal length, and power of a lens.",جمع کنندہ اور منتشر کنندہ عدسوں کی وضاحت کریں۔ مرکزی محور، بصری مرکز، مرکزی فوکس، فوکل لمبائی اور عدسے کی طاقت کی تعریف کریں۔,Medium,5,ULTRA,1
sep_10_phy_ch14_005,1,14.4 Image Formation by Lenses,Topic,topic_separator,,,,,,1
q_10_phy_ch14_lq_006,1,14.4 Image Formation by Lenses,Long,diagram_based,"Describe image formation by a convex lens for different object positions. State the position, size, and nature of the image in each case.",convex lens میں مختلف object positions کے لیے image formation بیان کریں۔ ہر حالت میں image کی position، size اور nature بیان کریں۔,Hard,5,PRO,1
