question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_q7_past_001,1,ENGLISH_B | Q7 Comprehension | Past Paper Themes (Adapted) | Verified Archive 2013-2023,Topic,topic_separator,,,,,1
q_9_eng_q7_past_adapted_001,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | Allama Iqbal: Poet and Thinker | 2013; 2021 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

Allama Iqbal was more than a poet. He studied philosophy, law, history, and the teachings of Islam. His poetry was not written merely for entertainment; it carried a message of self-respect, courage, and unity. He wanted Muslims to awaken from weakness and take an active part in shaping their future. His ideas influenced political thought in the subcontinent, while his verses continue to inspire young readers. Iqbal believed that strong character, purposeful action, and faith could help individuals and nations rise above difficulty.

Questions:
1. Why was Iqbal more than a poet?
2. What message did his poetry carry?
3. What did he want Muslims to do?
4. How did his ideas influence society?
5. Which qualities did Iqbal consider important?",Medium,10,ULTRA,1
q_9_eng_q7_past_adapted_002,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | The Girl and the Lost Coin | 2014; 2016; 2020 Evening; 2023 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

A young girl was sweeping a courtyard when a small coin rolled from the dust and struck the wall. She picked it up and looked around, but nobody came to claim it. The coin had little value for a wealthy person, yet it seemed precious to the girl because she had never owned money of her own. She cleaned it carefully on her sleeve and placed it in her pocket. The incident filled her with excitement and made her imagine the many little things she might buy.

Questions:
1. What was the girl doing when she found the coin?
2. Where did the coin stop?
3. Why did the coin seem precious to her?
4. How did she clean it?
5. What effect did the discovery have on her?",Medium,10,ELITE,1
q_9_eng_q7_past_adapted_003,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | Early Rising | 2014 Evening; 2018 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

Early rising gives a person a calm and useful beginning to the day. Before the streets become busy, an early riser can exercise, plan work, and complete difficult tasks without interruption. This habit also encourages timely sleep and a regular routine. People who wake very late often rush through their duties and postpone unfinished work. Rising early is not a magical guarantee of success, but it creates the discipline and extra time that support good health and steady progress.

Questions:
1. What advantages does an early riser enjoy?
2. Why can early hours be productive?
3. How does early rising improve routine?
4. What problem do late risers often face?
5. Why is early rising connected with success?",Medium,10,ULTRA,1
q_9_eng_q7_past_adapted_004,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | The Medicine and the Ink | 2016 Evening; 2018 | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

A doctor gave a patient a bottle of dark medicine. The patient asked his servant to bring a dose, but the servant could not read the labels and mistakenly poured ink from a similar bottle. After the patient swallowed it, the servant discovered the error and became frightened. He hurried back and confessed what he had done. The patient remained calm and jokingly asked for a piece of blotting paper. His humorous reply reduced the servant’s fear even though the mistake was serious.

Questions:
1. Why did the servant make a mistake?
2. What did he give the patient?
3. When did he discover the error?
4. How did the patient react?
5. What quality of the patient is shown by his reply?",Medium,10,ULTRA,1
q_9_eng_q7_past_adapted_005,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | Newspapers and Public Guidance | 2015 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

Newspapers allow readers to learn about events far beyond their neighbourhood. In earlier times, news travelled slowly and many people knew little about distant places. Modern communication enables the press to report national and international developments quickly. Newspapers also shape public opinion by explaining laws, social problems, and government decisions. Their influence is useful when reporting is accurate and balanced. Readers should therefore value responsible journalism and examine sensational claims carefully.

Questions:
1. How do newspapers widen a reader’s world?
2. Why did news travel slowly in earlier times?
3. How can the press shape public opinion?
4. When is newspaper influence useful?
5. What should readers do with sensational claims?",Medium,10,PRO,1
q_9_eng_q7_past_adapted_006,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | Robert Bruce and the Spider | 2013 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

After several defeats, King Robert Bruce hid in a cave and considered ending his struggle. While resting there, he noticed a spider trying to reach its web. The spider fell repeatedly, yet each time it began again. At last, after many attempts, it succeeded. The king understood the lesson of perseverance. He left the cave with renewed courage, gathered his supporters, and continued his effort. The small creature had shown him that repeated failure does not make success impossible.

Questions:
1. Why did Robert Bruce hide in a cave?
2. What was the spider trying to do?
3. How did the spider respond to failure?
4. What lesson did the king learn?
5. What did he do after leaving the cave?",Medium,10,PRO,1
q_9_eng_q7_past_adapted_007,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | A.O. Hume and the Indian National Congress | 2015 | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

A.O. Hume was a retired British civil servant who had observed growing political dissatisfaction in India. He believed that educated Indians needed an organized and peaceful platform where they could express their concerns. With the support of other leaders, he helped establish the Indian National Congress in 1885. Hume hoped that discussion and constitutional activity would reduce the danger of violent unrest. The organization later became an important force in the political history of the subcontinent.

Questions:
1. Who was A.O. Hume?
2. Why did he think an organized platform was needed?
3. When was the Indian National Congress founded?
4. What kind of political activity did Hume support?
5. Why did the organization become historically important?",Medium,10,PRO,1
q_9_eng_q7_past_adapted_008,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | The Boycott of Banu Hashim | 2017 Evening | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

For several years, the Banu Hashim and those who supported them were confined to a valley. Their opponents stopped food and other supplies from reaching them. The hardship was severe, especially for children, and people survived on very little. Some fair-minded citizens of Makkah eventually felt ashamed of the cruelty. They opposed the agreement and worked to end the boycott. Their action allowed the suffering families to return to their homes and resume normal life.

Questions:
1. Who suffered in the valley?
2. How were supplies stopped?
3. Who suffered most during the boycott?
4. Why did some citizens oppose the agreement?
5. What happened after the boycott ended?",Medium,10,PRO,1
q_9_eng_q7_past_adapted_009,1,ENGLISH_B | Q7 Comprehension | Past Paper Theme (Adapted) | Musa and the Open Gates | 2020 | 10 Marks,Long,comprehension_set,"Read the following adapted past-paper-theme passage carefully and answer the five questions given at the end.

Musa was responsible for guarding the gates during a dangerous battle. When the enemy appeared, some men wanted the gates closed, but Musa ordered them opened and told his soldiers that their courage would serve as the real barrier. He reminded them that they were defending their land and honour. His confidence inspired the young fighters, who stood firmly beside him. Their brave resistance became remembered as an example of leadership under pressure.

Questions:
1. What responsibility did Musa have?
2. What did he order when the enemy appeared?
3. What did he tell his soldiers?
4. How did his words affect the young fighters?
5. Why was their resistance remembered?",Medium,10,PRO,1
