question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11.0 Introduction to Organic Chemistry,Topic,,,,,,,,,,,1
q_9_chem_ch11_001,1,11.0 Introduction to Organic Chemistry,Remember,Organic chemistry is primarily the chemistry of which compounds?,نامیاتی کیمیا بنیادی طور پر کن مرکبات کی کیمیا ہے؟,Only metal compounds / صرف دھاتی مرکبات,Carbon compounds / کاربن کے مرکبات,Only noble gases / صرف خامل گیسیں,Only mineral salts / صرف معدنی نمکیات,B | Carbon compounds / کاربن کے مرکبات,Easy,1,PRO,1
q_9_chem_ch11_002,1,11.0 Introduction to Organic Chemistry,Remember,Which carbon compounds are classified as inorganic in the chapter?,باب میں کاربن کے کن مرکبات کو غیر نامیاتی شمار کیا گیا ہے؟,"Proteins, enzymes and vitamins / پروٹینز، انزائمز اور وٹامنز",Hydrocarbons and synthetic fibres / ہائیڈروکاربنز اور مصنوعی ریشے,Alkanes and alkyl halides only / صرف الکینز اور الکائل ہیلائیڈز,"Carbonates, cyanides, carbides, cyanates and oxides of carbon / کاربونیٹس، سائنائیڈز، کاربائیڈز، سائیانیٹس اور کاربن کے آکسائیڈز","D | Carbonates, cyanides, carbides, cyanates and oxides of carbon / کاربونیٹس، سائنائیڈز، کاربائیڈز، سائیانیٹس اور کاربن کے آکسائیڈز",Medium,1,ULTRA,1
q_9_chem_ch11_003,1,11.0 Introduction to Organic Chemistry,Remember,Which atom is almost always present with carbon in organic compounds?,نامیاتی مرکبات میں کاربن کے ساتھ تقریباً ہمیشہ کون سا ایٹم موجود ہوتا ہے؟,Hydrogen / ہائیڈروجن,Helium / ہیلیم,Neon / نیون,Argon / آرگن,A | Hydrogen / ہائیڈروجن,Easy,1,PRO,1
q_9_chem_ch11_004,1,11.0 Introduction to Organic Chemistry,Understand,Why does carbon usually form covalent rather than ionic bonds?,کاربن عموماً آیونی بند کے بجائے اشتراکی بند کیوں بناتا ہے؟,Carbon has no valence electrons / کاربن میں ظرفی الیکٹران نہیں ہوتے,Carbon can form only metallic bonds / کاربن صرف دھاتی بند بناتا ہے,It is generally difficult for carbon to gain or lose four electrons / کاربن کے لیے چار الیکٹران حاصل کرنا یا خارج کرنا عموماً مشکل ہوتا ہے,Carbon is a noble gas / کاربن خامل گیس ہے,C | It is generally difficult for carbon to gain or lose four electrons / کاربن کے لیے چار الیکٹران حاصل کرنا یا خارج کرنا عموماً مشکل ہوتا ہے,Medium,1,PRO,1
q_9_chem_ch11_005,1,11.0 Introduction to Organic Chemistry,Remember,What is catenation?,کیٹینیشن کیا ہے؟,The loss of all carbon electrons / کاربن کے تمام الیکٹرانوں کا اخراج,The self-linking property of carbon atoms / کاربن ایٹموں کی باہم جڑنے کی خاصیت,The conversion of carbon into an ion / کاربن کا آئن میں تبدیل ہونا,The burning of carbon dioxide / کاربن ڈائی آکسائیڈ کا جلنا,B | The self-linking property of carbon atoms / کاربن ایٹموں کی باہم جڑنے کی خاصیت,Easy,1,PRO,1
q_9_chem_ch11_006,1,11.0 Introduction to Organic Chemistry,Understand,Which two properties chiefly allow carbon to form many stable compounds?,کون سی دو خصوصیات کاربن کو بہت سے مستحکم مرکبات بنانے کے قابل بناتی ہیں؟,Tetravalency and catenation / چار ظرفیتی اور کیٹینیشن,Radioactivity and magnetism / تابکاری اور مقناطیسیت,High atomic mass and metallic bonding / زیادہ ایٹمی کمیت اور دھاتی بند,Inertness and zero valency / خامل پن اور صفر ظرفیت,A | Tetravalency and catenation / چار ظرفیتی اور کیٹینیشن,Medium,1,PRO,1
q_9_chem_ch11_007,1,11.0 Introduction to Organic Chemistry,Remember,What does a structural formula show?,ساختی فارمولا کیا ظاہر کرتا ہے؟,Only the colour of a compound / صرف مرکب کا رنگ,Only the mass of a compound / صرف مرکب کی کمیت,Only the physical state of a compound / صرف مرکب کی طبعی حالت,Atoms in a compound and the bonds connecting them / مرکب میں ایٹم اور ان کو ملانے والے بند,D | Atoms in a compound and the bonds connecting them / مرکب میں ایٹم اور ان کو ملانے والے بند,Easy,1,ULTRA,1
q_9_chem_ch11_008,1,11.0 Introduction to Organic Chemistry,Understand,Why are organic molecules often described as large and complex?,نامیاتی سالمات کو اکثر بڑا اور پیچیدہ کیوں کہا جاتا ہے؟,They contain no covalent bonds / ان میں اشتراکی بند نہیں ہوتے,They are made only of one atom / یہ صرف ایک ایٹم سے بنتے ہیں,"Carbon can form long chains, branched chains and rings / کاربن لمبی زنجیریں، شاخ دار زنجیریں اور حلقے بنا سکتا ہے",They cannot contain hydrogen / ان میں ہائیڈروجن نہیں ہو سکتی,"C | Carbon can form long chains, branched chains and rings / کاربن لمبی زنجیریں، شاخ دار زنجیریں اور حلقے بنا سکتا ہے",Medium,1,ELITE,1
TOPIC_SEP,1,11.1 Hydrocarbons,Topic,,,,,,,,,,,1
