question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_long_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | شکر و قناعت,Long,detailed_question_textbook,شکر و قناعت پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_002,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | امانت و دیانت,Long,detailed_question_textbook,امانت و دیانت پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_003,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | اخلاص و تقویٰ,Long,detailed_question_textbook,اخلاص و تقویٰ پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_004,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | پردہ پوشی,Long,detailed_question_textbook,پردہ پوشی پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_005,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | تکبر,Long,detailed_question_textbook,تکبر پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_006,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | حسد,Long,detailed_question_textbook,حسد پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_007,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | جھوٹ,Long,detailed_question_textbook,جھوٹ پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_008,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | غیبت,Long,detailed_question_textbook,غیبت پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_009,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | بہتان,Long,detailed_question_textbook,بہتان پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_010,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Long,detailed_question_textbook,جادو و فال اور توہم پرستی کے بارے میں اسلامی تعلیمات پر روشنی ڈالیں۔,Medium,10,ELITE,1
q_9_isl_b4_long_011,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,Long,detailed_question_extra_important,شکر اور قناعت کے مفہوم، اہمیت، فوائد اور عملی زندگی پر اثرات تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_012,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,Long,detailed_question_extra_important,امانت و دیانت کی اہمیت اور فرد و معاشرے پر بددیانتی کے نقصانات تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_013,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,Long,detailed_question_extra_important,اخلاص اور تقویٰ کی حقیقت، اہمیت اور انسانی کردار پر ان کے اثرات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_014,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,Long,detailed_question_extra_important,اسلامی تعلیمات کی روشنی میں پردہ پوشی، عیب جوئی اور دور حاضر کے میڈیا کی ذمہ داریاں بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_015,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | تکبر و حسد,Long,detailed_question_extra_important,تکبر اور حسد کی حقیقت، نقصانات اور ان سے بچنے کے اسلامی طریقے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_016,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,Long,detailed_question_extra_important,جھوٹ کی مختلف صورتیں، اس کے دینی و معاشرتی نقصانات اور سچائی کی اہمیت بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_017,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,Long,detailed_question_extra_important,غیبت اور بہتان کی تعریف، فرق اور معاشرتی تعلقات پر ان کے تباہ کن اثرات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_018,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اخلاقی برائیاں,Long,detailed_question_extra_important,تکبر، حسد، جھوٹ، غیبت اور بہتان کے معاشرتی نقصانات کا تقابلی جائزہ پیش کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_019,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | جادو و فال,Long,detailed_question_extra_important,جادو، فال گیری اور نجومیوں پر اعتماد کے بارے میں اسلامی تعلیمات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b4_long_020,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | توہم پرستی,Long,detailed_question_extra_important,توہم پرستی کی صورتیں، اس کے انفرادی و معاشرتی نقصانات اور اسلامی علاج بیان کریں۔,Medium,10,ULTRA,1
