question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch9_sq_001,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch9_sq_001,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Where does the speaker find himself at the beginning of the poem?,Easy,2,ELITE,1
q_10_eng_ch9_sq_002,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,model_paper_direct,Why does the speaker feel sorry he cannot travel both roads?,Medium,2,ELITE,1
q_10_eng_ch9_sq_003,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does the speaker describe the two roads?,Medium,2,ELITE,1
q_10_eng_ch9_sq_004,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What does the speaker mean when he says, “I doubted if I should ever come back”?",Medium,2,ELITE,1
q_10_eng_ch9_sq_005,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why does the speaker save the first road for another day?,Medium,2,ELITE,1
q_10_eng_ch9_sq_006,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What emotions does the speaker express when he imagines telling this story “ages and ages hence”?,Hard,2,ELITE,1
sep_10_eng_ch9_sq_002,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",topic_separator,,,,,1
q_10_eng_ch9_sq_007,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What do the two roads symbolize in the poem?,Medium,2,ELITE,1
q_10_eng_ch9_sq_008,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What is the significance of the yellow wood?,Medium,2,ELITE,1
q_10_eng_ch9_sq_009,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why does the speaker stand for a long time at the fork?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_010,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does the undergrowth suggest about the first road?,Medium,2,ELITE,1
q_10_eng_ch9_sq_011,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why does the second road seem to have the better claim?,Medium,2,ELITE,1
q_10_eng_ch9_sq_012,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How were the two roads actually similar?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_013,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does “wanted wear” suggest about the second road?,Medium,2,ELITE,1
q_10_eng_ch9_sq_014,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why are the leaves important in the third stanza?,Medium,2,ELITE,1
q_10_eng_ch9_sq_015,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does “no step had trodden black” mean?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_016,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does the phrase “way leads on to way” suggest?,Medium,2,ELITE,1
q_10_eng_ch9_sq_017,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why is returning to the first road unlikely?,Medium,2,ELITE,1
