question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_b_letters_001,1,ENGLISH_B | Letter Writing | Complete Class 9 Letter Bank,Topic,topic_separator,,,,,1
q_9_eng_b_letter_001,1,ENGLISH_B | Letter Writing | Letter 01,Long,letter,Write a letter to your mother who is worried about your health.,Medium,8,PRO,1
q_9_eng_b_letter_002,1,ENGLISH_B | Letter Writing | Letter 02,Long,letter,Write a letter to your father asking him about the health of your mother.,Medium,8,PRO,1
q_9_eng_b_letter_003,1,ENGLISH_B | Letter Writing | Letter 03,Long,letter,Write a letter to your sister congratulating her on her success in the examinations.,Medium,8,PRO,1
q_9_eng_b_letter_004,1,ENGLISH_B | Letter Writing | Letter 04,Long,letter,Write a letter to your mother about the test you have just taken.,Medium,8,PRO,1
q_9_eng_b_letter_005,1,ENGLISH_B | Letter Writing | Letter 05,Long,letter,Write a letter to your father requesting him to send extra funds for hostel dues.,Medium,8,PRO,1
q_9_eng_b_letter_006,1,ENGLISH_B | Letter Writing | Letter 06,Long,letter,Write a letter to your brother about the importance of the study of science subjects.,Medium,8,PRO,1
q_9_eng_b_letter_007,1,ENGLISH_B | Letter Writing | Letter 07,Long,letter,Write a letter to your friend congratulating her on her birthday.,Medium,8,PRO,1
q_9_eng_b_letter_008,1,ENGLISH_B | Letter Writing | Letter 08,Long,letter,Write a letter to your friend requesting her to spend the spring holidays with you.,Medium,8,PRO,1
q_9_eng_b_letter_009,1,ENGLISH_B | Letter Writing | Letter 09,Long,letter,Write a letter to your friend congratulating him on the marriage of his sister.,Medium,8,PRO,1
q_9_eng_b_letter_010,1,ENGLISH_B | Letter Writing | Letter 10,Long,letter,Write a letter to your friend requesting him to lend you some books.,Medium,8,PRO,1
q_9_eng_b_letter_011,1,ENGLISH_B | Letter Writing | Letter 11,Long,letter,Write a letter to your friend thanking her for her hospitality during your visit.,Medium,8,PRO,1
q_9_eng_b_letter_012,1,ENGLISH_B | Letter Writing | Letter 12,Long,letter,Write a letter to your friend condoling the death of his mother.,Medium,8,PRO,1
q_9_eng_b_letter_013,1,ENGLISH_B | Letter Writing | Letter 13,Long,letter,Write a letter to your brother advising him to take steps to improve his health.,Medium,8,PRO,1
q_9_eng_b_letter_014,1,ENGLISH_B | Letter Writing | Letter 14,Long,letter,Write a letter to your sister thanking her for a gift.,Medium,8,PRO,1
q_9_eng_b_letter_015,1,ENGLISH_B | Letter Writing | Letter 15,Long,letter,Write a letter to your friend thanking him for the books he lent you.,Medium,8,PRO,1
