question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch8_001,1,8.1 Modern Periodic Table,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_001,1,8.1 Modern Periodic Table,Long,classification,Answer the following related questions about Modern Periodic Table: (a) How are elements arranged in the modern periodic table? | (b) State how many groups are present in the modern periodic table. | (c) State how many periods are present in the modern periodic table.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) جدید دوری جدول میں عناصر کس ترتیب سے رکھے گئے ہیں؟ | (ب) تعداد یا مقدار بیان کریں: جدید دوری جدول میں کتنے گروپ ہیں۔؟ | (ج) تعداد یا مقدار بیان کریں: جدید دوری جدول میں کتنے ادوار ہیں۔؟,Medium,5,PRO,1
q_9_chem_ch8_lq_002,1,8.1 Modern Periodic Table,Long,classification,"Answer the following related questions about Modern Periodic Table: (a) Define a period in the periodic table and state one related characteristic or function Also, Define a group in the periodic table and state one related characteristic or function. | (b) Why was atomic number chosen as the basis of the modern periodic table? | (c) List the four blocks are present in the periodic table.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) دوری جدول میں دور سے مراد بیان کریں۔ نیز، دوری جدول میں گروپ سے مراد بیان کریں۔؟ | (ب) جدید دوری جدول کی بنیاد کے طور پر ایٹمی عدد کیوں چنا گیا؟ | (ج) دوری جدول میں کون سے چار بلاک موجود ہیں؟,Medium,5,ULTRA,1
q_9_chem_ch8_lq_003,1,8.1 Modern Periodic Table,Long,discuss,"Answer the following related questions about Modern Periodic Table: (a) Identify the block elements that are called normal elements Also, Identify the block elements that are called transition elements. | (b) State what completion of a period generally represents Also state one related characteristic.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کن بلاکوں کے عناصر کو نارمل عناصر کہا جاتا ہے۔ نیز، کن بلاکوں کے عناصر کو انتقالی عناصر کہا گیا ہے۔؟ | (ب) ایک دور کی تکمیل عموماً کیا ظاہر کرتی ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟,Easy,5,ELITE,1
sep_9_chem_ch8_002,1,8.2 Electronic Configuration and Position,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_004,1,8.2 Electronic Configuration and Position,Long,classification,"Answer the following related questions about Electronic Configuration and Position: (a) Why do elements in the same group show similar chemical properties? | (b) What does the period number usually indicate for a main-group element? Also, Silicon, an important material in solar cells, lies in which period and group?. | (c) An element with three occupied shells belongs to which period?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایک ہی گروپ کے عناصر یکساں کیمیائی خصوصیات کیوں دکھاتے ہیں؟ | (ب) بیان کریں کہ مین گروپ عنصر کے لیے دور کا عدد عموماً کیا ظاہر کرتا ہے۔ نیز، سولر سیل میں اہم سلیکان کس دور اور گروپ میں واقع ہے۔؟ | (ج) تین بھرے ہوئے خول رکھنے والا عنصر کس دور میں ہوگا؟,Medium,5,PRO,1
q_9_chem_ch8_lq_005,1,8.2 Electronic Configuration and Position,Long,classification,Answer the following related questions about Electronic Configuration and Position: (a) An element with seven valence electrons belongs to which main-group family? | (b) Identify the outer electronic configuration that is characteristic of a transition element.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سات ظرفی الیکٹران رکھنے والا عنصر کس مین گروپ خاندان میں ہوگا؟ | (ب) انتقالی عنصر کے بیرونی الیکٹرانی ترتیب کی خصوصیت کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,ULTRA,1
sep_9_chem_ch8_003,1,8.4 Atomic Radius,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_006,1,8.4 Atomic Radius,Long,classification,Answer the following related questions about Atomic Radius: (a) How does atomic radius generally change from left to right across a period? | (b) Why does atomic radius decrease across a period? | (c) How does atomic radius generally change down a group?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایک دور میں بائیں سے دائیں ایٹمی نصف قطر عموماً کیسے بدلتا ہے؟ | (ب) ایک دور میں ایٹمی نصف قطر کیوں کم ہوتا ہے؟ | (ج) گروپ میں اوپر سے نیچے ایٹمی نصف قطر عموماً کیسے بدلتا ہے؟,Medium,5,PRO,1
q_9_chem_ch8_lq_007,1,8.4 Atomic Radius,Long,classification,"Answer the following related questions about Atomic Radius: (a) Why does atomic radius increase down a group? | (b) Identify the item that has the larger atomic radius, boron or aluminium Also, Which is the correct order of atomic radii for N, O and F?.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گروپ میں نیچے جاتے ہوئے ایٹمی نصف قطر کیوں بڑھتا ہے؟ | (ب) بوران اور ایلومینیم میں کس کا ایٹمی نصف قطر بڑا ہے۔ نیز، N، O اور F کے ایٹمی نصف قطروں کی درست ترتیب کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,ULTRA,1
sep_9_chem_ch8_004,1,8.6 Ionization Energy,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_008,1,8.6 Ionization Energy,Long,classification,Answer the following related questions about Ionization Energy: (a) Define ionization energy and state one related characteristic or function. | (b) How does ionization energy generally change across a period? | (c) How does ionization energy generally change down a group?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آئنائزیشن توانائی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) ایک دور میں آئنائزیشن توانائی عموماً کیسے بدلتی ہے؟ | (ج) گروپ میں نیچے جاتے ہوئے آئنائزیشن توانائی عموماً کیسے بدلتی ہے؟,Medium,5,PRO,1
q_9_chem_ch8_lq_009,1,8.6 Ionization Energy,Long,cause_effect,"Answer the following related questions about Ionization Energy: (a) Why is the second ionization energy of magnesium greater than the first? | (b) Name the element that is expected to lose electrons more easily, boron or aluminium.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) میگنیشیم کی دوسری آئنائزیشن توانائی پہلی سے زیادہ کیوں ہے؟ | (ب) بوران اور ایلومینیم میں کون زیادہ آسانی سے الیکٹران کھوئے گا؟,Medium,5,ULTRA,1
sep_9_chem_ch8_005,1,8.7 Electron Affinity and Electronegativity,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_010,1,8.7 Electron Affinity and Electronegativity,Long,state_and_explain,Answer the following related questions about Electron Affinity and Electronegativity: (a) Define electron affinity and state one related characteristic or function. | (b) Define electronegativity and state one related characteristic or function. | (c) How do electron affinity and electronegativity generally change across a period?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) الیکٹران افینیٹی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) برق منفی کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) ایک دور میں الیکٹران افینیٹی اور برق منفی عموماً کیسے بدلتی ہیں؟,Medium,5,PRO,1
q_9_chem_ch8_lq_011,1,8.7 Electron Affinity and Electronegativity,Long,classification,"Answer the following related questions about Electron Affinity and Electronegativity: (a) How do electron affinity and electronegativity generally change down a group? | (b) Name the element that is the most electronegative among N, O, F and Cl State a supporting reason or feature. | (c) An element has low ionization energy and low electron affinity. To which group is it most likely to belong?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گروپ میں نیچے جاتے ہوئے الیکٹران افینیٹی اور برق منفی عموماً کیسے بدلتی ہیں؟ | (ب) N، O، F اور Cl میں سب سے زیادہ برق منفی عنصر کون سا ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟ | (ج) ایک عنصر کی آئنائزیشن توانائی اور الیکٹران افینیٹی دونوں کم ہیں۔ غالباً یہ کس گروپ سے تعلق رکھتا ہے؟,Medium,5,ULTRA,1
sep_9_chem_ch8_006,1,8.9 Metallic Character and Reactivity,Topic,topic_separator,,,,,,1
q_9_chem_ch8_lq_012,1,8.9 Metallic Character and Reactivity,Long,classification,"Answer the following related questions about Metallic Character and Reactivity: (a) How does metallic character generally change across a period? | (b) How does metallic character generally change down a group? | (c) Which is the softest metal among Na, Ca, Al and Zn? Also, Identify the item that has the highest melting point among Na, K, Rb and Cs.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایک دور میں دھاتی خاصیت عموماً کیسے بدلتی ہے؟ | (ب) گروپ میں نیچے جاتے ہوئے دھاتی خاصیت عموماً کیسے بدلتی ہے؟ | (ج) Na، Ca، Al اور Zn میں سب سے نرم دھات کون سی ہے۔ نیز، Na، K، Rb اور Cs میں سب سے بلند نقطۂ پگھلاؤ کس کا ہے۔؟,Medium,5,PRO,1
q_9_chem_ch8_lq_013,1,8.9 Metallic Character and Reactivity,Long,classification,Answer the following related questions about Metallic Character and Reactivity: (a) Why does metallic character increase down a group? | (b) Why can oxygen not normally accept three electrons like nitrogen can?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گروپ میں نیچے دھاتی خاصیت کیوں بڑھتی ہے؟ | (ب) آکسیجن عموماً نائٹروجن کی طرح تین الیکٹران کیوں قبول نہیں کر سکتی؟,Easy,5,ULTRA,1
