question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch7_001,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[imposter]].,to bend the body forwards and downwards,a person who pretends to be somebody else to trick people,a dishonest man or boy,behaviour or attitudes showing high moral standards,B | a person who pretends to be somebody else to trick people,Easy,1,PRO,1
q_9_eng_ch7_002,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[knave]].,"a great success, achievement, or victory",a strong band of tissue joining muscle to bone,a person who pretends to be somebody else to trick people,a dishonest man or boy,D | a dishonest man or boy,Easy,1,PRO,1
q_9_eng_ch7_003,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[sinew]].,a strong band of tissue joining muscle to bone,behaviour or attitudes showing high moral standards,to bend the body forwards and downwards,a dishonest man or boy,A | a strong band of tissue joining muscle to bone,Easy,1,PRO,1
q_9_eng_ch7_004,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[stoop]].,a person who pretends to be somebody else to trick people,"a great success, achievement, or victory",to bend the body forwards and downwards,a strong band of tissue joining muscle to bone,C | to bend the body forwards and downwards,Medium,1,PRO,1
q_9_eng_ch7_005,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[triumph]].,a dishonest man or boy,behaviour or attitudes showing high moral standards,"a great success, achievement, or victory",to bend the body forwards and downwards,"C | a great success, achievement, or victory",Medium,1,PRO,1
q_9_eng_ch7_006,1,ENGLISH_A | Unit 7 - If | Complete Glossary,Remember,Choose the correct meaning of [[virtue]].,behaviour or attitudes showing high moral standards,a strong band of tissue joining muscle to bone,a person who pretends to be somebody else to trick people,"a great success, achievement, or victory",A | behaviour or attitudes showing high moral standards,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Topic,,,,,,,,,,1
q_9_eng_ch7_007,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[imposter]].,imposte,ipmoster,impposter,imposter,D | imposter,Easy,1,ULTRA,1
q_9_eng_ch7_008,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[knave]].,knav,knave,kanve,knaave,B | knave,Easy,1,ULTRA,1
q_9_eng_ch7_009,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[sinew]].,sinew,sine,sniew,sinnew,A | sinew,Easy,1,ULTRA,1
q_9_eng_ch7_010,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[stoop]].,stoo,sotop,stoop,stooop,C | stoop,Medium,1,ULTRA,1
q_9_eng_ch7_011,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[triumph]].,triump,triumph,tirumph,triiumph,B | triumph,Medium,1,ULTRA,1
q_9_eng_ch7_012,1,ENGLISH_A | Unit 7 - If | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 7 word: [[virtue]].,virtu,vritue,virrtue,virtue,D | virtue,Medium,1,ULTRA,1
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Topic,,,,,,,,,,1
q_9_eng_ch7_013,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Remember,Who wrote the poem “If”?,William Wordsworth,Robert Frost,Taufiq Rafat,Rudyard Kipling,D | Rudyard Kipling,Easy,1,PRO,1
q_9_eng_ch7_014,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,Rudyard Kipling lived from:,1770 to 1850,1865 to 1936,1870 to 1940,1900 to 1970,B | 1865 to 1936,Easy,1,PRO,1
q_9_eng_ch7_015,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,Which famous work is associated with Kipling?,Daffodils,Stopping by Woods,The Jungle Book,The Dear Departed,C | The Jungle Book,Easy,1,PRO,1
q_9_eng_ch7_016,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Remember,What should a person do when others doubt him?,trust himself while allowing for their doubt,become angry,stop trying,believe every accusation,A | trust himself while allowing for their doubt,Easy,1,PRO,1
q_9_eng_ch7_017,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,How should Triumph and Disaster be treated?,as permanent masters,just the same,as enemies,as rewards only,B | just the same,Medium,1,PRO,1
q_9_eng_ch7_018,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,What does the poet advise about dreams?,avoid all dreams,share every dream,make dreams your only aim,do not let dreams become your master,D | do not let dreams become your master,Medium,1,PRO,1
q_9_eng_ch7_019,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Remember,What does the poet advise after loss?,start again and never complain,blame others,stop working,hide the loss,A | start again and never complain,Medium,1,PRO,1
q_9_eng_ch7_020,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,What should a person do with the unforgiving minute?,waste it in complaint,ignore it,fill it with sixty seconds' worth of distance run,use it only for rest,C | fill it with sixty seconds' worth of distance run,Medium,1,PRO,1
q_9_eng_ch7_021,1,ENGLISH_A | Unit 7 - If | Lesson and Exercise MCQs,Understand,What is the final reward in the poem?,wealth alone,public fame only,maturity and full possession of life,victory over others,C | maturity and full possession of life,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Topic,,,,,,,,,,1
q_9_eng_ch7_022,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Complete: We go to the garden ____ plant trees.,and,but,because,although,A | and,Medium,1,PRO,1
q_9_eng_ch7_023,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,"Complete: He studied hard, ____ he failed in the exams.",and,so,or,but,D | but,Medium,1,PRO,1
q_9_eng_ch7_024,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,"Complete: It was hot outside, ____ we went back home.",but,so,and,or,B | so,Medium,1,PRO,1
q_9_eng_ch7_025,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,"Complete: She was tired, ____ she did not give up the work.",but,so,and,or,A | but,Medium,1,PRO,1
q_9_eng_ch7_026,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Complete: She is ____ intelligent ____ hardworking.,either...or,neither...nor,both...and,not only...but also,C | both...and,Medium,1,PRO,1
q_9_eng_ch7_027,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Complete: ____ the manager ____ the employees knew about the change.,Both...and,Neither...nor,Either...or,Not only...but also,B | Neither...nor,Medium,1,PRO,1
q_9_eng_ch7_028,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Complete: You can ____ read the book ____ watch the movie.,both...and,neither...nor,not only...but also,either...or,D | either...or,Medium,1,PRO,1
q_9_eng_ch7_029,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Complete: The dish was ____ delicious ____ it looked.,both...and,either...or,neither...nor,as...as,D | as...as,Medium,1,PRO,1
q_9_eng_ch7_030,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,The water was as cold as ice is an example of:,metaphor,simile,personification,hyperbole,B | simile,Medium,1,PRO,1
q_9_eng_ch7_031,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,The car was moving as slowly as a snail is an example of:,alliteration,personification,simile,metaphor,C | simile,Medium,1,PRO,1
q_9_eng_ch7_032,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,The leaves waved goodbye is an example of:,personification,simile,metaphor,hyperbole,A | personification,Medium,1,PRO,1
q_9_eng_ch7_033,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,The alarm clock screamed at me is an example of:,simile,personification,assonance,euphemism,B | personification,Hard,1,PRO,1
q_9_eng_ch7_034,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,His temper was a volcano is an example of:,simile,hyperbole,alliteration,metaphor,D | metaphor,Hard,1,PRO,1
q_9_eng_ch7_035,1,ENGLISH_A | Unit 7 - If | Grammar and Vocabulary Exercises,Apply,Her laughter was a sweet symphony is an example of:,metaphor,simile,personification,oxymoron,A | metaphor,Hard,1,PRO,1
