question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11.1 Introduction of Biostatistics,topic_separator,,,,,,1
q_9_bio_ch11_sq_001,1,11.1 Introduction of Biostatistics,definition_function,Define Biostatistics and state the area or subject it studies.,حیاتی شماریات کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,PRO,1
q_9_bio_ch11_sq_002,1,11.1 Introduction of Biostatistics,function_purpose,State the use of biostatistics that determines a suitable sample size and study structure and explain its importance.,درج ذیل کردار یا فعل بیان کریں اور اس کی اہمیت واضح کریں: biostatistics کا استعمال جو مناسب sample size اور study structure طے کرتا ہے,Easy,2,PRO,1
q_9_bio_ch11_sq_003,1,11.1 Introduction of Biostatistics,function_purpose,"State the use of statistical techniques to uncover trends, correlations, and patterns and explain its importance.",درج ذیل کردار یا فعل بیان کریں اور اس کی اہمیت واضح کریں: trends، correlations اور patterns معلوم کرنے کے لیے statistical techniques کا استعمال,Easy,2,ULTRA,1
q_9_bio_ch11_sq_004,1,11.1 Introduction of Biostatistics,function_purpose,State the use of biostatistics that explains analysed findings in a meaningful way and explain its importance.,درج ذیل کردار یا فعل بیان کریں اور اس کی اہمیت واضح کریں: biostatistics کا استعمال جو analysed findings کو بامعنی انداز میں سمجھاتا ہے,Easy,2,ULTRA,1
q_9_bio_ch11_sq_005,1,11.1 Introduction of Biostatistics,function_purpose,State the use of models to estimate future outcomes from current data and explain its importance.,درج ذیل کردار یا فعل بیان کریں اور اس کی اہمیت واضح کریں: current data سے future outcomes کا اندازہ لگانے کے لیے models کا استعمال,Easy,2,ULTRA,1
q_9_bio_ch11_sq_006,1,11.1 Introduction of Biostatistics,function_purpose,State the use of evidence-based statistical insights to guide health decisions and explain its importance.,درج ذیل کردار یا فعل بیان کریں اور اس کی اہمیت واضح کریں: health decisions کی رہنمائی کے لیے evidence-based statistical insights کا استعمال,Easy,2,ELITE,1
q_9_bio_ch11_sq_007,1,11.1 Introduction of Biostatistics,definition_function,Define Epidemiology and state the area or subject it studies.,وبائیات کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,ELITE,1
q_9_bio_ch11_sq_008,1,11.1 Introduction of Biostatistics,definition_function,Define Genetics and state the area or subject it studies.,وراثیات کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,ELITE,1
q_9_bio_ch11_sq_009,1,11.1 Introduction of Biostatistics,definition_function,Define Agriculture and state the area or subject it studies.,زراعت کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,IMPORTANT,1
