question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 From Basics to Advanced Entrepreneurship,Topic,,,,,,,,,,,1
q_10_cs_ch8_001,1,8.1 From Basics to Advanced Entrepreneurship,Understand,"Which skill helps a digital entrepreneur keep pace with changing laws, rules, and industry requirements?",کون سی مہارت ڈیجیٹل کاروباری شخص کو بدلتے ہوئے قوانین، قواعد اور صنعتی تقاضوں کے مطابق رہنے میں مدد دیتی ہے؟,Product packaging / مصنوعات کی پیکجنگ,Inventory decoration / ذخیرے کی سجاوٹ,Regulatory awareness / قانونی و ضابطہ جاتی آگاہی,Casual advertising / غیر رسمی تشہیر,C | Regulatory awareness / قانونی و ضابطہ جاتی آگاہی,Easy,1,ELITE,1
q_10_cs_ch8_002,1,8.1 From Basics to Advanced Entrepreneurship,Understand,"Why are modern entrepreneurs expected to protect intellectual property, respect customer rights, and safeguard data privacy?",جدید کاروباری افراد سے دانشورانہ ملکیت کے تحفظ، صارفین کے حقوق کے احترام اور ڈیٹا کی رازداری کی حفاظت کی توقع کیوں کی جاتی ہے؟,To avoid all customer contact / صارفین سے ہر قسم کا رابطہ ختم کرنے کے لیے,To remove the need for marketing / مارکیٹنگ کی ضرورت ختم کرنے کے لیے,To maintain trust and operate responsibly / اعتماد برقرار رکھنے اور ذمہ داری سے کاروبار چلانے کے لیے,To replace legal registration / قانونی رجسٹریشن کی جگہ لینے کے لیے,C | To maintain trust and operate responsibly / اعتماد برقرار رکھنے اور ذمہ داری سے کاروبار چلانے کے لیے,Medium,1,ULTRA,1
TOPIC_SEP,1,8.2 Problem-Solving & Adaptability,Topic,,,,,,,,,,,1
q_10_cs_ch8_003,1,8.2 Problem-Solving & Adaptability,Apply,"Before selecting a solution to a business challenge, what should an entrepreneur identify first?",کاروباری مسئلے کے حل کا انتخاب کرنے سے پہلے کاروباری شخص کو سب سے پہلے کیا شناخت کرنا چاہیے؟,The problem and its main cause / مسئلہ اور اس کی بنیادی وجہ,A new business logo / نیا کاروباری لوگو,A random advertising slogan / بے ترتیب اشتہاری نعرہ,A competitor's office address / حریف کے دفتر کا پتہ,A | The problem and its main cause / مسئلہ اور اس کی بنیادی وجہ,Medium,1,ELITE,1
TOPIC_SEP,1,8.2.1 Structured Problem-Solving,Topic,,,,,,,,,,,1
q_10_cs_ch8_004,1,8.2.1 Structured Problem-Solving,Remember,What is structured problem-solving?,منظم مسئلہ حل کرنے سے کیا مراد ہے؟,A method of copying a competitor's decisions / حریف کے فیصلوں کی نقل کرنے کا طریقہ,"A step-by-step approach to identify a problem, understand its cause, and decide the best solution / مسئلے کی شناخت، اس کی وجہ سمجھنے اور بہترین حل طے کرنے کا مرحلہ وار طریقہ",A process of avoiding difficult problems / مشکل مسائل سے بچنے کا عمل,A technique for changing prices without analysis / تجزیے کے بغیر قیمتیں بدلنے کی تکنیک,"B | A step-by-step approach to identify a problem, understand its cause, and decide the best solution / مسئلے کی شناخت، اس کی وجہ سمجھنے اور بہترین حل طے کرنے کا مرحلہ وار طریقہ",Easy,1,PRO,1
q_10_cs_ch8_005,1,8.2.1 Structured Problem-Solving,Remember,What is the main reason behind a problem called?,کسی مسئلے کے پیچھے موجود بنیادی وجہ کو کیا کہا جاتا ہے؟,Market share / مارکیٹ میں حصہ,Customer loyalty / صارف کی وفاداری,Legal purpose / قانونی مقصد,Root cause / بنیادی وجہ,D | Root cause / بنیادی وجہ,Easy,1,ULTRA,1
q_10_cs_ch8_006,1,8.2.1 Structured Problem-Solving,Analyze,Why may a problem return when a business fixes only its visible surface symptoms?,جب کاروبار صرف مسئلے کی ظاہری علامات درست کرے تو مسئلہ دوبارہ کیوں پیدا ہو سکتا ہے؟,The business has completed registration / کاروبار نے رجسٹریشن مکمل کر لی ہوتی ہے,The customer data has been encrypted / صارفین کا ڈیٹا رمز بند کر دیا گیا ہوتا ہے,The main cause has not been addressed / بنیادی وجہ کو حل نہیں کیا گیا ہوتا,The marketing goal has become measurable / مارکیٹنگ کا ہدف قابل پیمائش بن گیا ہوتا ہے,C | The main cause has not been addressed / بنیادی وجہ کو حل نہیں کیا گیا ہوتا,Medium,1,ULTRA,1
q_10_cs_ch8_007,1,8.2.1 Structured Problem-Solving,Remember,"In SWOT analysis, which category represents chances to grow or improve?",SWOT تجزیے میں ترقی یا بہتری کے مواقع کس زمرے کو ظاہر کرتے ہیں؟,Strengths / طاقتیں,Opportunities / مواقع,Weaknesses / کمزوریاں,Threats / خطرات,B | Opportunities / مواقع,Easy,1,ULTRA,1
