question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch3_001,1,3.1 Why Do Atoms Form Bonds?,Topic,topic_separator,,,,,,1
q_9_chem_ch3_lq_001,1,3.1 Why Do Atoms Form Bonds?,Long,cause_effect,Answer the following related questions about Why Do Atoms Form Bonds?: (a) Why do atoms form chemical bonds? | (b) Define the duplet rule and state one related characteristic or function. | (c) Define the octet rule and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ایٹم کیمیائی بند کیوں بناتے ہیں؟ | (ب) ڈوپلیٹ قاعدہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) آکٹیٹ قاعدہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch3_lq_002,1,3.1 Why Do Atoms Form Bonds?,Long,state_and_explain,Answer the following related questions about Why Do Atoms Form Bonds?: (a) Name the electrons that mainly take part in bond formation State a supporting reason or feature. | (b) Define a chemical bond and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بند بنانے میں بنیادی طور پر کون سے الیکٹران حصہ لیتے ہیں۔ شناخت کی بنیاد بھی بیان کریں۔؟ | (ب) کیمیائی بند کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Easy,5,ULTRA,1
sep_9_chem_ch3_002,1,3.2 Ionic Bond,Topic,topic_separator,,,,,,1
q_9_chem_ch3_lq_003,1,3.2 Ionic Bond,Long,explain,Answer the following related questions about Ionic Bond: (a) How is an ionic bond formed? | (b) Explain what happens to a sodium atom during formation of sodium chloride. | (c) Explain what happens to a chlorine atom during formation of sodium chloride.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آئونی بند کیسے بنتا ہے؟ | (ب) سوڈیم کلورائیڈ بننے کے دوران سوڈیم ایٹم کے ساتھ کیا ہوتا ہے؟ | (ج) سوڈیم کلورائیڈ بننے کے دوران کلورین ایٹم کے ساتھ کیا ہوتا ہے؟,Medium,5,PRO,1
q_9_chem_ch3_lq_004,1,3.2 Ionic Bond,Long,cause_effect,"Answer the following related questions about Ionic Bond: (a) What holds oppositely charged ions together in an ionic compound? Also, Name the compound that is mainly ionic. | (b) Why do ionic compounds have high melting and boiling points? | (c) Why do solid ionic compounds not conduct electricity?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) آئونی مرکب میں مخالف بار والے آئنوں کو کیا اکٹھا رکھتا ہے۔ نیز، درج ذیل میں سے کون سا مرکب بنیادی طور پر آئونی ہے۔؟ | (ب) آئونی مرکبات کے نقطۂ پگھلاؤ اور ابال بلند کیوں ہوتے ہیں؟ | (ج) ٹھوس آئونی مرکبات بجلی کیوں نہیں چلاتے؟,Hard,5,ULTRA,1
q_9_chem_ch3_lq_005,1,3.2 Ionic Bond,Long,cause_effect,Answer the following related questions about Ionic Bond: (a) Why do molten ionic compounds conduct electricity? | (b) Define produced by electrolysis of molten sodium chloride and state one related characteristic or function.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) پگھلے ہوئے آئونی مرکبات بجلی کیوں چلاتے ہیں؟ | (ب) پگھلے ہوئے سوڈیم کلورائیڈ کے برقی تجزیے سے کیا بنتا ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟,Medium,5,ELITE,1
sep_9_chem_ch3_003,1,3.2 Covalent and Coordinate Covalent Bonds,Topic,topic_separator,,,,,,1
q_9_chem_ch3_lq_006,1,3.2 Covalent and Coordinate Covalent Bonds,Long,explain,Answer the following related questions about Covalent and Coordinate Covalent Bonds: (a) How is a covalent bond formed? | (b) State how many electron pairs are shared in a single covalent bond. | (c) State how many electron pairs are shared in a double covalent bond.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اشتراکی بند کیسے بنتا ہے؟ | (ب) تعداد یا مقدار بیان کریں: ایک سنگل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔؟ | (ج) تعداد یا مقدار بیان کریں: ڈبل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔؟,Medium,5,PRO,1
q_9_chem_ch3_lq_007,1,3.2 Covalent and Coordinate Covalent Bonds,Long,explain,"Answer the following related questions about Covalent and Coordinate Covalent Bonds: (a) State how many electron pairs are shared in a triple covalent bond. | (b) Name the molecule that contains a double covalent bond Also, Name the molecule that contains a triple covalent bond. | (c) A covalent bond between identical atoms is usually called what?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تعداد یا مقدار بیان کریں: ٹرپل اشتراکی بند میں کتنے الیکٹران جوڑے مشترک ہوتے ہیں۔؟ | (ب) نام یا شناخت لکھیں: کون سا سالمہ ڈبل اشتراکی بند رکھتا ہے۔ نیز، نام یا شناخت لکھیں: کون سا سالمہ ٹرپل اشتراکی بند رکھتا ہے۔؟ | (ج) یکساں ایٹموں کے درمیان اشتراکی بند کو عموماً کیا کہتے ہیں؟,Medium,5,ULTRA,1
