question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b4_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,اللہ تعالیٰ کے نزدیک زیادہ عزت والا ہے:,زیادہ دولت والا,زیادہ تقویٰ اختیار کرنے والا,زیادہ حسن والا,زیادہ شہرت والا,B | زیادہ تقویٰ اختیار کرنے والا,Medium,1,ELITE,1
q_10_isl_b4_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,تمام اعمال کا دار و مدار ہے:,علم پر,نیت پر,صحت پر,جوانی پر,B | نیت پر,Medium,1,ELITE,1
q_10_isl_b4_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,اخلاص کا معنی ہے:,خالص بنانا,عبادت کرنا,کوشش کرنا,ڈرنا,A | خالص بنانا,Medium,1,ELITE,1
q_10_isl_b4_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,اخلاص لازمی نتیجہ ہے:,بزرگی کا,تقویٰ کا,کثرت عبادت کا,علم و دانش کا,B | تقویٰ کا,Medium,1,ELITE,1
q_10_isl_b4_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,نبی کریم ﷺ نے تقویٰ کا اصل مقام قرار دیا:,سوچ کو,دماغ کو,زبان کو,دل کو,D | دل کو,Medium,1,ELITE,1
q_10_isl_b4_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,Remember,پردہ پوشی سے مراد ہے:,عیب چھپانا,عیب ظاہر کرنا,بڑھا چڑھا کر پیش کرنا,نصیحت کرنا,A | عیب چھپانا,Medium,1,ELITE,1
q_10_isl_b4_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,Remember,دوسروں کے عیب چھپانے والے کے لیے اللہ تعالیٰ کی طرف سے انعام ہے:,اس کے عیبوں پر پردہ ڈال دیا جائے گا,اس کے رزق میں اضافہ کیا جائے گا,اس کو نیکوکار لکھ دیا جائے گا,اس کو قیامت کے دن تاج پہنایا جائے گا,A | اس کے عیبوں پر پردہ ڈال دیا جائے گا,Medium,1,ELITE,1
q_10_isl_b4_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,Remember,نبی کریم ﷺ دوسروں کی اصلاح فرماتے:,نام لے کر,نام لیے بغیر,سختی فرما کر,مجمع میں شرمندہ کر کے,B | نام لیے بغیر,Medium,1,ELITE,1
q_10_isl_b4_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,Remember,دین اسلام میں منع کیا گیا ہے:,عیب تلاش کرنے سے,صلہ رحمی کرنے سے,سخاوت کرنے سے,میانہ روی اختیار کرنے سے,A | عیب تلاش کرنے سے,Medium,1,ELITE,1
q_10_isl_b4_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | پردہ پوشی,Remember,جب انسان کے پاس کسی کا عیب پہنچ جائے چاہیے کہ:,تصدیق کرے,تردید کرے,آگے پہنچائے,انکار کرے,B | تردید کرے,Medium,1,ELITE,1
q_10_isl_b4_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,Remember,وہ شخص مومن نہیں ہو سکتا جو:,سادہ لوح ہو,جھوٹا ہو,بزدل ہو,بخیل ہو,B | جھوٹا ہو,Medium,1,ELITE,1
q_10_isl_b4_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,Remember,منافق کی ایک نشانی ہے:,جھوٹ بولنا,سچ بولنا,کنجوسی کرنا,بغض رکھنا,A | جھوٹ بولنا,Medium,1,ELITE,1
q_10_isl_b4_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,Remember,سچائی راستہ دکھاتی ہے:,بادشاہت کا,اقتدار کا,محل کا,نیکی کا,D | نیکی کا,Medium,1,ELITE,1
