question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch12_001,1,12.0 Standardization and SI System,Topic,topic_separator,,,,,,1
q_9_chem_ch12_lq_001,1,12.0 Standardization and SI System,Long,cause_effect,"Answer the following related questions about Standardization and SI System: (a) Write the full form of SI Also, Identify the measurement systems that are listed besides SI. | (b) Why are standardized units important in science? | (c) What problem occurs when scientists use different unit systems?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) SI سے مراد بیان کریں۔ نیز، SI کے علاوہ کون سے پیمائشی نظام درج ہیں۔؟ | (ب) سائنس میں معیاری اکائیاں کیوں اہم ہیں؟ | (ج) جب سائنس دان مختلف اکائی نظام استعمال کریں تو کیا مسئلہ پیدا ہوتا ہے؟,Medium,5,PRO,1
q_9_chem_ch12_lq_002,1,12.0 Standardization and SI System,Long,cause_effect,Answer the following related questions about Standardization and SI System: (a) Which feature makes SI conversions easier to learn and remember? | (b) How do SI units support reproducibility? | (c) Why are SI units described as user-friendly?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) SI تبدیلیوں کو سیکھنا اور یاد رکھنا کس خصوصیت سے آسان ہوتا ہے؟ | (ب) SI اکائیاں قابلِ تکرار نتائج میں کیسے مدد دیتی ہیں؟ | (ج) SI اکائیوں کو صارف دوست کیوں کہا جاتا ہے؟,Medium,5,ULTRA,1
q_9_chem_ch12_lq_003,1,12.0 Standardization and SI System,Long,explain,Answer the following related questions about Standardization and SI System: (a) State how many base units are in the SI system. | (b) State how many derived units are mentioned for the SI system. | (c) State how many SI base quantities are generally used in chemistry.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تعداد یا مقدار بیان کریں: SI نظام میں بنیادی اکائیوں کی تعداد کتنی ہے۔؟ | (ب) تعداد یا مقدار بیان کریں: SI نظام کی کتنی اخذ شدہ اکائیاں بیان کی گئی ہیں۔؟ | (ج) تعداد یا مقدار بیان کریں: کیمیا میں عموماً کتنی SI بنیادی مقداریں استعمال ہوتی ہیں۔؟,Medium,5,ELITE,1
sep_9_chem_ch12_002,1,12.1.1 Metre,Topic,topic_separator,,,,,,1
q_9_chem_ch12_lq_004,1,12.1.1 Metre,Long,explain,"Answer the following related questions about Metre: (a) Name the SI base unit of length and write its symbol Also, Write the symbol of metre. | (b) How is a metre related to the speed of light definition?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) لمبائی کی SI بنیادی اکائی اور علامت لکھیں۔ نیز، میٹر کی علامت لکھیں۔؟ | (ب) باب کی تعریف میں میٹر کا روشنی کی رفتار سے کیا تعلق ہے؟,Easy,5,PRO,1
sep_9_chem_ch12_003,1,12.1.2 Kilogram,Topic,topic_separator,,,,,,1
q_9_chem_ch12_lq_005,1,12.1.2 Kilogram,Long,cause_effect,"Answer the following related questions about Kilogram: (a) Name the SI base unit of mass and write its symbol Also, Define the correct SI symbol for kilogram and state one related characteristic or function. | (b) The chapter also relates one kilogram to the mass of what volume of water? Also state one related characteristic. | (c) Why are masses of laboratory reactants commonly measured in grams rather than kilograms?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کمیت کی SI بنیادی اکائی اور علامت لکھیں۔ نیز، کلوگرام کی درست SI علامت لکھیں۔؟ | (ب) باب ایک کلوگرام کو پانی کے کس حجم کی کمیت سے بھی متعلق کرتا ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔؟ | (ج) لیبارٹری میں عامل مادّوں کی کمیت عموماً کلوگرام کے بجائے گرام میں کیوں ناپی جاتی ہے؟,Medium,5,PRO,1
sep_9_chem_ch12_004,1,12.1.3 Second,Topic,topic_separator,,,,,,1
q_9_chem_ch12_lq_006,1,12.1.3 Second,Long,explain,"Answer the following related questions about Second: (a) Name the SI base unit of time and write its symbol Also, Write the symbol of second. | (b) The SI definition of the second uses radiation from which atom? | (c) State how many radiation cycles are used definition of one second.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) وقت کی SI بنیادی اکائی اور علامت لکھیں۔ نیز، سیکنڈ کی علامت لکھیں۔؟ | (ب) سیکنڈ کی SI تعریف میں کس ایٹم کی تابکاری استعمال ہوتی ہے؟ | (ج) تعداد یا مقدار بیان کریں: باب کی تعریف میں ایک سیکنڈ کے لیے تابکاری کے کتنے چکر استعمال ہوتے ہیں۔؟,Medium,5,PRO,1
