question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch8_001,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Topic,topic_separator,,,,,0
q_9_eng_ch8_lq_001,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Globalisation is the process by which countries, economies, and cultures become interconnected through increased communication, trade, and the exchange of ideas. It involves the integration of markets, technologies, and policies, creating a more connected and interlinked world.",Medium,4,PRO,0
q_9_eng_ch8_lq_002,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Globalisation has opened international markets for Pakistani exports such as textiles and agricultural products. It also provides access to imported goods, while foreign direct investment and projects such as CPEC bring capital, technology, infrastructure, and job opportunities.",Medium,4,PRO,0
q_9_eng_ch8_lq_003,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Digital globalisation makes information from around the world instantly accessible. Students can learn about different cultures and traditions through websites, videos, and online articles, which broadens their understanding and promotes cultural awareness. This access also helps young learners appreciate diverse perspectives and global experiences.",Medium,4,PRO,0
q_9_eng_ch8_lq_004,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Social media platforms allow people from different cultures to interact and share their daily lives. This helps people celebrate holidays, food, and traditions from other countries, promoting empathy, understanding, and cultural exchange. Such interaction allows people to recognise both similarities and differences among cultures.",Medium,4,PRO,0
q_9_eng_ch8_lq_005,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Globalisation can also lead to the erosion of traditional culture. When people adopt global trends, local practices, languages, and heritage may be overshadowed, so societies must balance global influence with the preservation of cultural identity.",Medium,4,PRO,0
q_9_eng_ch8_lq_006,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Digital platforms enable communities to create and share content that reflects their own cultures and traditions. Online courses, webinars, and virtual classrooms also expand educational access and support international collaboration. These tools allow students and teachers from different regions to exchange knowledge and ideas.",Medium,4,PRO,0
sep_9_eng_ch8_002,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Simple English Alternative,Topic,topic_separator,,,,,0
q_9_eng_ch8_lq_007,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Globalisation is the process by which countries, economies, and cultures become interconnected through increased communication, trade, and the exchange of ideas. It involves the integration of markets, technologies, and policies, creating a more connected and interlinked world.",Hard,4,PRO,0
q_9_eng_ch8_lq_008,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Globalisation has opened international markets for Pakistani exports such as textiles and agricultural products. It also provides access to imported goods, while foreign direct investment and projects such as CPEC bring capital, technology, infrastructure, and job opportunities.",Hard,4,PRO,0
