question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch8_001,,8.1 Magnetic Materials,Remember,Which materials are attracted by a magnet?,مقناطیس کن مادّوں کو اپنی طرف کھینچتا ہے؟,"Glass, wood and plastic / شیشہ، لکڑی اور پلاسٹک","Iron, nickel and cobalt / لوہا، نکل اور کوبالٹ","Brass, copper and glass / پیتل، تانبا اور شیشہ","Wood, paper and rubber / لکڑی، کاغذ اور ربڑ","B | Iron, nickel and cobalt / لوہا، نکل اور کوبالٹ",Easy,1,high,
q_9_phy_ch8_002,,8.1 Magnetic Materials,Remember,Which of the following is a non-magnetic material?,درج ذیل میں سے کون سا غیر مقناطیسی مادہ ہے؟,Iron / لوہا,Nickel / نکل,Copper / تانبا,Cobalt / کوبالٹ,C | Copper / تانبا,Easy,1,high,
q_9_phy_ch8_003,,8.1 Magnetic Materials,Understand,What does the movement of iron filings near a magnet show?,مقناطیس کے قریب لوہے کے برادے کی حرکت کیا ظاہر کرتی ہے؟,Magnetic force acts only by contact / مقناطیسی قوت صرف چھونے سے عمل کرتی ہے,Magnetic force can act without direct contact / مقناطیسی قوت براہِ راست چھوئے بغیر عمل کر سکتی ہے,Non-magnetic materials become permanent magnets / غیر مقناطیسی مادّے مستقل مقناطیس بن جاتے ہیں,Glass is attracted by magnets / شیشہ مقناطیس سے کھنچتا ہے,B | Magnetic force can act without direct contact / مقناطیسی قوت براہِ راست چھوئے بغیر عمل کر سکتی ہے,Medium,1,high,
q_9_phy_ch8_004,,8.1 Magnetic Materials,Remember,What rock discovered by the Greeks could attract iron-containing materials?,یونانیوں نے کون سی چٹان دریافت کی جو لوہے والے مادّوں کو کھینچ سکتی تھی؟,Granite / گرینائٹ,Lodestone or magnetite / لوڈ اسٹون یا میگنیٹائٹ,Marble / سنگِ مرمر,Quartz / کوارٹز,B | Lodestone or magnetite / لوڈ اسٹون یا میگنیٹائٹ,Easy,1,high,
q_9_phy_ch8_005,,8.2 Properties of Magnets,Remember,"When a bar magnet is freely suspended, in which direction does it come to rest?",جب بار مقناطیس کو آزادانہ لٹکایا جائے تو یہ کس سمت میں ٹھہرتا ہے؟,East-west direction / مشرق-مغرب سمت,North-south direction / شمال-جنوب سمت,Only east direction / صرف مشرقی سمت,Only west direction / صرف مغربی سمت,B | North-south direction / شمال-جنوب سمت,Easy,1,high,
q_9_phy_ch8_006,,8.2 Properties of Magnets,Remember,The end of a freely suspended magnet pointing north is called:,آزادانہ لٹکے ہوئے مقناطیس کا وہ سرا جو شمال کی طرف اشارہ کرے کہلاتا ہے:,South magnetic pole / جنوبی مقناطیسی قطب,Neutral pole / غیر جانبدار قطب,North magnetic pole / شمالی مقناطیسی قطب,Temporary pole / عارضی قطب,C | North magnetic pole / شمالی مقناطیسی قطب,Easy,1,high,
q_9_phy_ch8_007,,8.2 Properties of Magnets,Remember,What happens when two north poles of magnets are brought close together?,جب دو مقناطیسوں کے شمالی قطب قریب لائے جائیں تو کیا ہوتا ہے؟,They attract each other / وہ ایک دوسرے کو کھینچتے ہیں,They repel each other / وہ ایک دوسرے کو دھکیلتے ہیں,They lose magnetism / وہ مقناطیسیت کھو دیتے ہیں,They become non-magnetic / وہ غیر مقناطیسی ہو جاتے ہیں,B | They repel each other / وہ ایک دوسرے کو دھکیلتے ہیں,Easy,1,high,
q_9_phy_ch8_008,,8.2 Properties of Magnets,Remember,Which statement correctly describes unlike magnetic poles?,مختلف مقناطیسی قطبوں کے بارے میں کون سا بیان درست ہے؟,Unlike poles repel / مختلف قطب دافع ہوتے ہیں,Unlike poles attract / مختلف قطب جاذب ہوتے ہیں,Unlike poles disappear / مختلف قطب غائب ہو جاتے ہیں,Unlike poles become neutral / مختلف قطب غیر جانبدار ہو جاتے ہیں,B | Unlike poles attract / مختلف قطب جاذب ہوتے ہیں,Easy,1,high,
q_9_phy_ch8_009,,8.2 Properties of Magnets,Understand,"If a bar magnet is broken into several pieces, what will each piece have?",اگر بار مقناطیس کو کئی ٹکڑوں میں توڑا جائے تو ہر ٹکڑے میں کیا ہوگا؟,Only N-pole / صرف N قطب,Only S-pole / صرف S قطب,Both N-pole and S-pole / N قطب اور S قطب دونوں,No magnetic pole / کوئی مقناطیسی قطب نہیں,C | Both N-pole and S-pole / N قطب اور S قطب دونوں,Medium,1,high,
q_9_phy_ch8_010,,8.2 Properties of Magnets,Analyze,Which observation is the real test for identifying a magnet?,مقناطیس کی شناخت کے لیے حقیقی آزمائش کون سا مشاہدہ ہے؟,Attraction by one pole / ایک قطب سے کشش,Attraction by both poles / دونوں قطبوں سے کشش,Repulsion by a like pole / مماثل قطب سے دفع,Change in colour / رنگ کی تبدیلی,C | Repulsion by a like pole / مماثل قطب سے دفع,Hard,1,high,
q_9_phy_ch8_011,,8.2 Properties of Magnets,Analyze,An object is attracted by both ends of a suspended bar magnet. What is the best conclusion?,ایک جسم آزاد لٹکے ہوئے بار مقناطیس کے دونوں سروں سے کھنچتا ہے۔ بہترین نتیجہ کیا ہے؟,It is a magnet / یہ مقناطیس ہے,It is simply a magnetic material / یہ صرف مقناطیسی مادہ ہے,It is a non-magnetic material / یہ غیر مقناطیسی مادہ ہے,It has only one pole / اس کا صرف ایک قطب ہے,B | It is simply a magnetic material / یہ صرف مقناطیسی مادہ ہے,Hard,1,high,
q_9_phy_ch8_012,,8.3 Induced Magnetism,Remember,Making a magnetic material such as iron or steel into a magnet is called:,لوہے یا فولاد جیسے مقناطیسی مادے کو مقناطیس بنانے کے عمل کو کیا کہتے ہیں؟,Demagnetisation / غیر مقناطیسیت,Magnetisation / مقناطیسیت پیدا کرنا,Insulation / عایق بنانا,Neutralisation / تعدیل,B | Magnetisation / مقناطیسیت پیدا کرنا,Easy,1,high,
q_9_phy_ch8_013,,8.3 Induced Magnetism,Analyze,"When the S-pole of a true magnet touches an iron nail, what pole is induced at the near end of the nail?",جب حقیقی مقناطیس کا S قطب لوہے کی کیل کو چھوئے تو کیل کے نزدیک سرے پر کون سا قطب پیدا ہوتا ہے؟,S-pole / S قطب,N-pole / N قطب,No pole / کوئی قطب نہیں,Both poles at the same end / ایک ہی سرے پر دونوں قطب,B | N-pole / N قطب,Hard,1,high,
q_9_phy_ch8_014,,8.3 Induced Magnetism,Understand,What happens to induced magnetism in an iron nail when the true magnet is removed?,جب حقیقی مقناطیس ہٹا دیا جائے تو لوہے کی کیل میں پیدا شدہ مقناطیسیت کا کیا ہوتا ہے؟,It becomes stronger / یہ زیادہ مضبوط ہو جاتی ہے,It vanishes / یہ ختم ہو جاتی ہے,It changes into electricity / یہ بجلی میں بدل جاتی ہے,It becomes permanent in every case / یہ ہر صورت مستقل ہو جاتی ہے,B | It vanishes / یہ ختم ہو جاتی ہے,Medium,1,high,
q_9_phy_ch8_015,,8.4 Temporary and Permanent Magnets,Remember,Temporary magnets work only in the presence of:,عارضی مقناطیس صرف کس کی موجودگی میں کام کرتے ہیں؟,Heat / حرارت,Light / روشنی,A magnetic field / مقناطیسی میدان,Plastic / پلاسٹک,C | A magnetic field / مقناطیسی میدان,Easy,1,high,
q_9_phy_ch8_016,,8.4 Temporary and Permanent Magnets,Remember,Which material is usually used to make temporary magnets?,عارضی مقناطیس بنانے کے لیے عموماً کون سا مادہ استعمال ہوتا ہے؟,Soft iron / نرم لوہا,Glass / شیشہ,Wood / لکڑی,Plastic / پلاسٹک,A | Soft iron / نرم لوہا,Easy,1,high,
