question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch5_001,1,5.1 Web Development,Topic,topic_separator,,,,,,1
q_9_cs_ch5_lq_001,1,5.1 Web Development,Long,process_procedure,"Explain the process of setting up a development environment for web development, including the necessary software and tools.",web development کے لیے development environment set up کرنے کا process بیان کریں، جس میں required software اور tools شامل ہوں۔,Medium,5,PRO,1
q_9_cs_ch5_lq_002,1,5.1 Web Development,Long,compare,"Compare front-end, back-end, and full-stack web development in terms of responsibilities and technologies.",front-end، back-end اور full-stack web development کا responsibilities اور technologies کے لحاظ سے موازنہ کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch5_002,1,5.4 HTML Basic Structure,Topic,topic_separator,,,,,,1
q_9_cs_ch5_lq_003,1,5.4 HTML Basic Structure,Long,application_case,"Create a basic HTML page that includes a heading, a paragraph, an image, and a hyperlink. Preserve correct HTML syntax and structure.",ایک basic HTML page create کریں جس میں heading، paragraph، image اور hyperlink شامل ہوں۔ درست HTML syntax اور structure preserve کریں۔,Hard,5,PRO,1
q_9_cs_ch5_lq_004,1,5.4 HTML Basic Structure,Long,describe,"Explain the basic structure of an HTML document and describe the roles of <!DOCTYPE html>, <html>, <head>, <title>, and <body>.",HTML document کی basic structure کی وضاحت کریں اور <!DOCTYPE html>، <html>، <head>، <title> اور <body> کے roles بیان کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch5_003,1,5.5 Creating Content with HTML,Topic,topic_separator,,,,,,1
q_9_cs_ch5_lq_005,1,5.5 Creating Content with HTML,Long,application_case,Create an HTML table containing 3 rows and 2 columns using appropriate table tags.,appropriate table tags استعمال کرتے ہوئے 3 rows اور 2 columns پر مشتمل HTML table create کریں۔,Medium,5,PRO,1
q_9_cs_ch5_lq_006,1,5.5 Creating Content with HTML,Long,classification,"Explain the use of headings, paragraphs, lists, links, images, comments, divisions, and tables in HTML.",HTML میں headings، paragraphs، lists، links، images، comments، divisions اور tables کے use کی وضاحت کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch5_004,1,5.6 Styling with CSS,Topic,topic_separator,,,,,,1
q_9_cs_ch5_lq_007,1,5.6 Styling with CSS,Long,classification,Describe any three CSS selectors and provide a correct example of each.,کسی تین CSS selectors کی وضاحت کریں اور ہر ایک کی درست example دیں۔,Medium,5,PRO,1
q_9_cs_ch5_lq_008,1,5.6 Styling with CSS,Long,compare,"Compare inline, internal, and external CSS. Explain their placement, use, and main differences.",inline، internal اور external CSS کا موازنہ کریں۔ ان کی placement، use اور main differences بیان کریں۔,Medium,5,ULTRA,1
q_9_cs_ch5_lq_009,1,5.6 Styling with CSS,Long,describe,"Explain the CSS box model and describe its content, padding, border, and margin parts.",CSS box model کی وضاحت کریں اور اس کے content، padding، border اور margin parts بیان کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch5_005,1,5.7 Introduction to JavaScript,Topic,topic_separator,,,,,,1
q_9_cs_ch5_lq_010,1,5.7 Introduction to JavaScript,Long,process_procedure,Explain the process of creating an interactive or responsive web page using JavaScript with a suitable example.,suitable example کی مدد سے JavaScript استعمال کرتے ہوئے interactive یا responsive web page create کرنے کا process بیان کریں۔,Hard,5,PRO,1
q_9_cs_ch5_lq_011,1,5.7 Introduction to JavaScript,Long,algorithm_explanation,"Explain how JavaScript is included in an HTML file. Discuss variables, functions, parameters, and a basic pop-up statement.",وضاحت کریں کہ JavaScript کو HTML file میں کیسے include کیا جاتا ہے۔ variables، functions، parameters اور basic pop-up statement پر بحث کریں۔,Hard,5,ULTRA,1
