question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch2_mcq_001,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Topic,,,,,,,,,,1
q_10_eng_ch2_mcq_001,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What is the main theme of the poem?,friendship,patriotism,nature and seasons,hard work and honesty,B | patriotism,Easy,1,ELITE,1
q_10_eng_ch2_mcq_002,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What does the poet compare the flag to?,a painting,a bright flower,a beacon in the night,a flying bird,C | a beacon in the night,Easy,1,ELITE,1
q_10_eng_ch2_mcq_003,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Which part of Pakistan has been described as having snowy peaks?,the South,the East,the North,the West,C | the North,Easy,1,ELITE,1
q_10_eng_ch2_mcq_004,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What does the poet encourage the young people to do for Pakistan?,travel abroad,memorize poetry,"work, learn, and stand united",plant trees only,"C | work, learn, and stand united",Easy,1,ELITE,1
q_10_eng_ch2_mcq_005,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,What natural features have been mentioned in the poem?,skyscrapers and highways,"deserts, rivers, and mountains",beaches and oceans,forests and lakes,"B | deserts, rivers, and mountains",Easy,1,ELITE,1
q_10_eng_ch2_mcq_006,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Textbook Exercise MCQs | Reading and Critical Thinking,Understand,Which emotion is the strongest in the poem?,anger,joy,pride and devotion,confusion,C | pride and devotion,Easy,1,ELITE,1
sep_10_eng_ch2_mcq_002,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch2_mcq_007,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “beacon” is:,signal light,dark place,small road,loud sound,A | signal light,Easy,1,ELITE,1
q_10_eng_ch2_mcq_008,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “blooming” is:,flowering,drying,falling,fading,A | flowering,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_009,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “glowing” is:,shining,falling,hiding,freezing,A | shining,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_010,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “peace” is:,harmony,war,fear,anger,A | harmony,Easy,1,ELITE,1
q_10_eng_ch2_mcq_011,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “pride” is:,satisfaction,fear,sadness,doubt,A | satisfaction,Easy,1,ELITE,1
q_10_eng_ch2_mcq_012,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “soar” is:,rise high,fall down,move slowly,stand still,A | rise high,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_013,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(c) Correct Meaning | Complete Glossary,Remember,The correct meaning of “strive” is:,make efforts,give up,stay idle,move away,A | make efforts,Easy,1,ELITE,1
sep_10_eng_ch2_mcq_003,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Topic,,,,,,,,,,1
q_10_eng_ch2_mcq_014,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “a light or other visible object serving as a signal”:,beacon,becon,beakon,beecun,A | beacon,Easy,1,ELITE,1
q_10_eng_ch2_mcq_015,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “to produce or yield flowers”:,blooming,bloming,bloomeing,bluming,A | blooming,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_016,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “shining with or as if with warmth or heat”:,glowing,gloweing,gloing,glouing,A | glowing,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_017,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “harmony and freedom from war and violence”:,peace,peece,pease,piece,A | peace,Easy,1,ELITE,1
q_10_eng_ch2_mcq_018,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “a feeling of deep pleasure or satisfaction”:,pride,pryde,pried,pridee,A | pride,Easy,1,ULTRA,1
q_10_eng_ch2_mcq_019,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q1(b) Correct Spellings | Unit Vocabulary,Remember,Choose the correctly spelled form of the glossary word meaning “to fly or rise high in the air”:,soar,sore,saur,soer,A | soar,Easy,1,ULTRA,1
