question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,12.0 Standardization and SI System,topic_separator,,,,,,1
q_9_chem_ch12_sq_001,1,12.0 Standardization and SI System,list_state,(a) Write the full form of SI (b) Identify the measurement systems that are listed besides SI.,(الف) SI سے مراد بیان کریں۔ (ب) SI کے علاوہ کون سے پیمائشی نظام درج ہیں۔,Medium,2,PRO,1
q_9_chem_ch12_sq_002,1,12.0 Standardization and SI System,explain_reason,Why are standardized units important in science?,سائنس میں معیاری اکائیاں کیوں اہم ہیں؟,Medium,2,PRO,1
q_9_chem_ch12_sq_003,1,12.0 Standardization and SI System,concept_explanation,What problem occurs when scientists use different unit systems?,جب سائنس دان مختلف اکائی نظام استعمال کریں تو کیا مسئلہ پیدا ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch12_sq_004,1,12.0 Standardization and SI System,list_state,Which feature makes SI conversions easier to learn and remember?,SI تبدیلیوں کو سیکھنا اور یاد رکھنا کس خصوصیت سے آسان ہوتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch12_sq_005,1,12.0 Standardization and SI System,cause_effect,How do SI units support reproducibility?,SI اکائیاں قابلِ تکرار نتائج میں کیسے مدد دیتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch12_sq_006,1,12.0 Standardization and SI System,explain_reason,Why are SI units described as user-friendly?,SI اکائیوں کو صارف دوست کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch12_sq_007,1,12.0 Standardization and SI System,process_steps,State how many base units are in the SI system.,تعداد یا مقدار بیان کریں: SI نظام میں بنیادی اکائیوں کی تعداد کتنی ہے۔,Easy,2,ULTRA,1
q_9_chem_ch12_sq_008,1,12.0 Standardization and SI System,process_steps,State how many derived units are mentioned for the SI system.,تعداد یا مقدار بیان کریں: SI نظام کی کتنی اخذ شدہ اکائیاں بیان کی گئی ہیں۔,Medium,2,IMPORTANT,1
q_9_chem_ch12_sq_009,1,12.0 Standardization and SI System,process_steps,State how many SI base quantities are generally used in chemistry.,تعداد یا مقدار بیان کریں: کیمیا میں عموماً کتنی SI بنیادی مقداریں استعمال ہوتی ہیں۔,Easy,2,PRO,1
q_9_chem_ch12_sq_010,1,12.0 Standardization and SI System,list_state,Identify the five base quantities that are used in chemistry.,کیمیا میں کون سی پانچ بنیادی مقداریں استعمال ہوتی ہیں؟,Medium,2,PRO,1
TOPIC_SEP,1,12.1.1 Metre,topic_separator,,,,,,1
q_9_chem_ch12_sq_011,1,12.1.1 Metre,list_state,(a) Name the SI base unit of length and write its symbol (b) Write the symbol of metre.,(الف) لمبائی کی SI بنیادی اکائی اور علامت لکھیں۔ (ب) میٹر کی علامت لکھیں۔,Easy,2,PRO,1
q_9_chem_ch12_sq_012,1,12.1.1 Metre,process_steps,How is a metre related to the speed of light definition?,باب کی تعریف میں میٹر کا روشنی کی رفتار سے کیا تعلق ہے؟,Hard,2,ULTRA,1
TOPIC_SEP,1,12.1.2 Kilogram,topic_separator,,,,,,1
q_9_chem_ch12_sq_013,1,12.1.2 Kilogram,list_state,(a) Name the SI base unit of mass and write its symbol (b) Define the correct SI symbol for kilogram and state one related characteristic or function.,(الف) کمیت کی SI بنیادی اکائی اور علامت لکھیں۔ (ب) کلوگرام کی درست SI علامت لکھیں۔,Easy,2,PRO,1
q_9_chem_ch12_sq_014,1,12.1.2 Kilogram,concept_explanation,The chapter also relates one kilogram to the mass of what volume of water? Also state one related characteristic.,باب ایک کلوگرام کو پانی کے کس حجم کی کمیت سے بھی متعلق کرتا ہے۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Medium,2,ULTRA,1
q_9_chem_ch12_sq_015,1,12.1.2 Kilogram,explain_reason,Why are masses of laboratory reactants commonly measured in grams rather than kilograms?,لیبارٹری میں عامل مادّوں کی کمیت عموماً کلوگرام کے بجائے گرام میں کیوں ناپی جاتی ہے؟,Medium,2,PRO,1
