question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch1_mcq_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Topic,,,,,,,,,,1
q_10_eng_ch1_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“accountable” means:,careless,hidden,temporary,responsible,D | responsible,Medium,1,ELITE,1
q_10_eng_ch1_002,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“among” means:,alone,separate,within group,outside group,C | within group,Easy,1,PRO,1
q_10_eng_ch1_003,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“elevated” means:,hidden,removed,raised,lowered,C | raised,Medium,1,ULTRA,1
q_10_eng_ch1_004,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“emancipation” means:,freedom,slavery,punishment,restriction,A | freedom,Medium,1,ELITE,1
q_10_eng_ch1_005,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“emphasized” means:,removed,weakened,highlighted,ignored,C | highlighted,Medium,1,ULTRA,1
q_10_eng_ch1_006,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“financial” means:,social,physical,moral,monetary,D | monetary,Easy,1,PRO,1
q_10_eng_ch1_007,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“inherit” means:,borrow property,receive property,sell property,lose property,B | receive property,Medium,1,ELITE,1
q_10_eng_ch1_008,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“inseparable” means:,unrelated,temporary,closely connected,fully separate,C | closely connected,Medium,1,ULTRA,1
q_10_eng_ch1_009,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“mutual” means:,shared,one-sided,private,unequal,A | shared,Medium,1,ELITE,1
q_10_eng_ch1_010,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“oppressed” means:,rewarded,protected,honoured,mistreated,D | mistreated,Medium,1,ELITE,1
q_10_eng_ch1_011,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“patriarchal” means:,child-led,male-dominated,female-led,equal,B | male-dominated,Medium,1,ELITE,1
q_10_eng_ch1_012,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“prominent” means:,well-known,unknown,hidden,ordinary,A | well-known,Medium,1,ULTRA,1
q_10_eng_ch1_013,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“reforms” means:,delays,arguments,improvements,damages,C | improvements,Medium,1,ELITE,1
q_10_eng_ch1_014,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“relevant” means:,unrelated,hidden,unclear,related,D | related,Medium,1,ULTRA,1
q_10_eng_ch1_015,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Complete Glossary",Remember,“widespread” means:,common,rare,local,limited,A | common,Medium,1,ELITE,1
sep_10_eng_ch1_mcq_002,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Topic,,,,,,,,,,1
q_10_eng_ch1_016,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “marginalized” means:",disadvantaged,powerful,wealthy,privileged,A | disadvantaged,Medium,1,ELITE,1
q_10_eng_ch1_017,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “patriarchal” means:",child-led,male-dominated,female-led,equal,B | male-dominated,Medium,1,ELITE,1
q_10_eng_ch1_018,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “widespread” means:",limited,local,common,rare,C | common,Medium,1,ELITE,1
q_10_eng_ch1_019,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “dignity” means:",wealth,self-respect,fear,anger,B | self-respect,Medium,1,ULTRA,1
q_10_eng_ch1_020,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “inherit” means:",lose property,receive property,sell property,borrow property,B | receive property,Medium,1,ELITE,1
q_10_eng_ch1_021,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “mutual” means:",private,unequal,shared,one-sided,C | shared,Medium,1,ELITE,1
q_10_eng_ch1_022,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “accountable” means:",silent,responsible,careless,unaware,B | responsible,Medium,1,ELITE,1
q_10_eng_ch1_023,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “exploitation” means:",unfair use,fair treatment,kindness,protection,A | unfair use,Medium,1,ULTRA,1
q_10_eng_ch1_024,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “elevated” means:",raised,lowered,removed,ignored,A | raised,Medium,1,ULTRA,1
q_10_eng_ch1_025,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “emancipation” means:",freedom,slavery,restriction,punishment,A | freedom,Medium,1,ELITE,1
q_10_eng_ch1_026,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “humane” means:",harsh,selfish,kind,cruel,C | kind,Medium,1,ULTRA,1
q_10_eng_ch1_027,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “prominent” means:",unknown,hidden,minor,well-known,D | well-known,Medium,1,ULTRA,1
q_10_eng_ch1_028,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “inseparable” means:",temporary,connected,separate,unrelated,B | connected,Medium,1,ULTRA,1
q_10_eng_ch1_029,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “relevant” means:",applicable,outdated,unrelated,hidden,A | applicable,Medium,1,ULTRA,1
