question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_mcq_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,فتح مکہ کے اسباب میں شامل تھا:,بنو خزاعہ پر حملہ,جنگ بدر,غزوہ خندق,ہجرت حبشہ,A | بنو خزاعہ پر حملہ,Medium,1,ELITE,1
q_9_isl_b3_mcq_002,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,فتح مکہ کے موقع پر دارالامن قرار دیا گیا:,حضرت ابو سفیانؓ کا گھر,حضرت عباسؓ کا گھر,حضرت بلالؓ کا گھر,حضرت خالدؓ کا گھر,A | حضرت ابو سفیانؓ کا گھر,Medium,1,ELITE,1
q_9_isl_b3_mcq_003,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,نبی کریم ﷺ کی اونٹنی کا نام تھا:,قصواء,براق,ناقہ,ذوالفقار,A | قصواء,Medium,1,ELITE,1
q_9_isl_b3_mcq_004,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,فتح مکہ میں دشمنوں کو معاف کرنا مثال ہے:,عفو و درگزر,کفایت شعاری,میانہ روی,خاموشی,A | عفو و درگزر,Medium,1,ELITE,1
q_9_isl_b3_mcq_005,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,خانہ کعبہ کی چابی واپس دی گئی:,حضرت عثمان بن طلحہؓ کو,حضرت بلالؓ کو,حضرت عباسؓ کو,حضرت علیؓ کو,A | حضرت عثمان بن طلحہؓ کو,Medium,1,ELITE,1
q_9_isl_b3_mcq_006,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ حنین,Remember,وادی حنین مکہ مکرمہ سے تقریباً کتنے فاصلے پر تھی؟,40 کلومیٹر,20 کلومیٹر,30 کلومیٹر,50 کلومیٹر,A | 40 کلومیٹر,Medium,1,ELITE,1
q_9_isl_b3_mcq_007,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ حنین,Remember,غزوہ حنین میں مقابل قبائل میں نمایاں تھے:,ہوازن و ثقیف,اوس و خزرج,بنو قریظہ,بنو نضیر,A | ہوازن و ثقیف,Medium,1,ELITE,1
q_9_isl_b3_mcq_008,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ حنین,Remember,حنین میں مسلمانوں کو جمع کرنے کے لیے آواز دی:,حضرت عباسؓ نے,حضرت بلالؓ نے,حضرت عثمانؓ نے,حضرت زیدؓ نے,A | حضرت عباسؓ نے,Medium,1,ELITE,1
q_9_isl_b3_mcq_009,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ حنین,Remember,حنین میں نبی کریم ﷺ نے اپنی نسبت کس خاندان سے بیان کی؟,عبدالمطلب,بنو امیہ,بنو ثقیف,اوس,A | عبدالمطلب,Medium,1,ELITE,1
q_9_isl_b3_mcq_010,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ حنین,Remember,غزوہ حنین کا بڑا سبق ہے:,توکل,فضول خرچی,تنہائی,دنیا طلبی,A | توکل,Medium,1,ELITE,1
q_9_isl_b3_mcq_011,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | عام الوفود,Remember,عام الوفود سے مراد ہے:,وفود کا سال,جنگوں کا سال,قحط کا سال,ہجرت کا سال,A | وفود کا سال,Medium,1,ELITE,1
q_9_isl_b3_mcq_012,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | عام الوفود,Remember,بنی تمیم کے مقابل خطابت کے لیے پیش ہوئے:,حضرت ثابت بن قیسؓ,حضرت بلالؓ,حضرت خالدؓ,حضرت زیدؓ,A | حضرت ثابت بن قیسؓ,Medium,1,ELITE,1
q_9_isl_b3_mcq_013,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | عام الوفود,Remember,آنے والے وفود کو اکثر ٹھہرایا جاتا تھا:,مسجد نبوی میں,مسجد قبا میں,بازار میں,سرائے میں,A | مسجد نبوی میں,Medium,1,ELITE,1
q_9_isl_b3_mcq_014,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | عام الوفود,Remember,وفد بنی تمیم کے سرداروں میں شامل تھے:,اقرع بن حابس,ابو لہب,ابو جہل,ولید بن مغیرہ,A | اقرع بن حابس,Medium,1,ELITE,1
