question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,17.1 Collision Theory of Reaction Rate,topic_separator,,,,,,1
q_10_chem_ch17_sq_001,1,17.1 Collision Theory of Reaction Rate,definition_function,Define reaction rate and state why chemical reactions must occur at a reasonable rate to be useful.,reaction rate کی تعریف کریں اور بیان کریں کہ chemical reactions کا reasonable rate پر ہونا useful کیوں ہے۔,Easy,2,ULTRA,1
q_10_chem_ch17_sq_002,1,17.1 Collision Theory of Reaction Rate,definition_function,Define an effective collision and state what happens in an ineffective collision.,effective collision کی تعریف کریں اور بیان کریں کہ ineffective collision میں کیا ہوتا ہے۔,Easy,2,ULTRA,1
q_10_chem_ch17_sq_003,1,17.1 Collision Theory of Reaction Rate,list_state,List the four collision-theory factors that control the number of effective collisions.,collision theory کے وہ four factors list کریں جو effective collisions کی number کو control کرتے ہیں۔,Easy,2,PRO,1
q_10_chem_ch17_sq_004,1,17.1 Collision Theory of Reaction Rate,cause_effect,Explain how increasing the number of reactant particles per unit volume increases the reaction rate.,وضاحت کریں کہ reactant particles کی number per unit volume بڑھانے سے reaction rate کیسے increase ہوتی ہے۔,Medium,2,PRO,1
q_10_chem_ch17_sq_005,1,17.1 Collision Theory of Reaction Rate,cause_effect,Explain how increasing collision frequency affects the number of successful collisions per second.,وضاحت کریں کہ collision frequency بڑھانے سے successful collisions per second کی number کیسے affect ہوتی ہے۔,Medium,2,PRO,1
q_10_chem_ch17_sq_006,1,17.1 Collision Theory of Reaction Rate,explain_reason,Explain why only a small fraction of total molecular collisions produces products.,وضاحت کریں کہ total molecular collisions کا صرف small fraction products کیوں produce کرتا ہے۔,Medium,2,ELITE,1
q_10_chem_ch17_sq_007,1,17.1 Collision Theory of Reaction Rate,application_scenario,Suggest three different ways to increase the number of successful collisions between reactant particles and justify each method through collision theory.,reactant particles کے درمیان successful collisions بڑھانے کے three different methods suggest کریں اور ہر method کو collision theory سے justify کریں۔,Hard,2,ELITE,1
q_10_chem_ch17_sq_008,1,17.1 Collision Theory of Reaction Rate,compare_contrast,"Compare a collision that forms products with one in which particles bounce back, using energy and reaction outcome.",energy اور reaction outcome کی بنیاد پر product-forming collision اور particles کے bounce back کرنے والی collision کا موازنہ کریں۔,Hard,2,PRO,1
TOPIC_SEP,1,17.1 Activation Energy and Energy Profile,topic_separator,,,,,,1
q_10_chem_ch17_sq_009,1,17.1 Activation Energy and Energy Profile,definition_function,Define activation energy and state its role in starting a chemical reaction.,activation energy کی تعریف کریں اور chemical reaction start کرنے میں اس کا role بیان کریں۔,Easy,2,ULTRA,1
q_10_chem_ch17_sq_010,1,17.1 Activation Energy and Energy Profile,concept_explanation,State the energy condition that colliding particles must satisfy for a reaction to occur.,وہ energy condition بیان کریں جو reaction occur ہونے کے لیے colliding particles کو satisfy کرنا ضروری ہے۔,Easy,2,PRO,1
q_10_chem_ch17_sq_011,1,17.1 Activation Energy and Energy Profile,diagram_based,"Identify the reactants, products, high-energy state and activation-energy barrier on a potential-energy profile.",potential-energy profile پر reactants، products، high-energy state اور activation-energy barrier identify کریں۔,Easy,2,ELITE,1
q_10_chem_ch17_sq_012,1,17.1 Activation Energy and Energy Profile,sequence,"Describe the energy changes that occur when reactant particles approach, form a high-energy state and then become stable products.",reactant particles کے approach کرنے، high-energy state بنانے اور پھر stable products بننے کے دوران energy changes بیان کریں۔,Medium,2,PRO,1
q_10_chem_ch17_sq_013,1,17.1 Activation Energy and Energy Profile,explain_reason,Explain how kinetic energy is converted into potential energy when reacting particles approach one another.,وضاحت کریں کہ reacting particles کے ایک دوسرے کے قریب آنے پر kinetic energy، potential energy میں کیسے convert ہوتی ہے۔,Medium,2,PRO,1
q_10_chem_ch17_sq_014,1,17.1 Activation Energy and Energy Profile,explain_reason,Explain what happens after reactants cross the activation-energy barrier or climb the energy hill.,وضاحت کریں کہ reactants کے activation-energy barrier cross کرنے یا energy hill climb کرنے کے بعد کیا ہوتا ہے۔,Medium,2,ELITE,1
q_10_chem_ch17_sq_015,1,17.1 Activation Energy and Energy Profile,concept_explanation,"Explain why a reaction may remain slow even when reactant particles collide frequently, using the activation-energy requirement.",activation-energy requirement کی مدد سے وضاحت کریں کہ frequent collisions کے باوجود reaction slow کیوں رہ سکتی ہے۔,Hard,2,ELITE,1
TOPIC_SEP,1,17.2 Change in Mass during a Chemical Reaction,topic_separator,,,,,,1
q_10_chem_ch17_sq_016,1,17.2 Change in Mass during a Chemical Reaction,law_principle,State the law of conservation of mass and relate it to the total mass during a chemical reaction.,law of conservation of mass بیان کریں اور اسے chemical reaction کے دوران total mass سے relate کریں۔,Easy,2,ULTRA,1
q_10_chem_ch17_sq_017,1,17.2 Change in Mass during a Chemical Reaction,cause_effect,State the apparent mass change expected when a gas escapes from or enters an open reaction container.,open reaction container سے gas escape ہونے یا اس میں enter ہونے پر expected apparent mass change بیان کریں۔,Easy,2,PRO,1
q_10_chem_ch17_sq_018,1,17.2 Change in Mass during a Chemical Reaction,explain_reason,Explain why burning magnesium ribbon in an open crucible produces magnesium oxide with a greater measured mass.,وضاحت کریں کہ open crucible میں magnesium ribbon burn کرنے سے formed magnesium oxide کی measured mass greater کیوں ہوتی ہے۔,Medium,2,PRO,1
