question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,7.1 Kinetic Molecular Theory of Matter,,,,,,,,,,,,1
q_9_phy_ch7_001,,7.1 Kinetic Molecular Theory of Matter,Remember,"According to kinetic molecular theory, matter is composed of very small particles called:",حرکی سالماتی نظریہ کے مطابق مادہ بہت چھوٹے ذرات سے بنا ہوتا ہے جنہیں کیا کہتے ہیں؟,Atoms / ایٹم,Molecules / سالمات,Ions / آئن,Electrons / الیکٹران,B | Molecules / سالمات,Easy,1,high,
q_9_phy_ch7_002,,7.1 Kinetic Molecular Theory of Matter,Remember,"The motion of molecules may be vibrational, rotational, or:",سالمات کی حرکت ارتعاشی، گردشی یا کون سی ہو سکتی ہے؟,Linear / خطی,Circular / دائروی,Static / ساکن,Parabolic / قطع مکافی,A | Linear / خطی,Easy,1,high,
q_9_phy_ch7_003,,7.1 Kinetic Molecular Theory of Matter,Understand,What happens to intermolecular force when the distance between molecules increases?,جب سالمات کے درمیان فاصلہ بڑھتا ہے تو بین السالماتی قوت کے ساتھ کیا ہوتا ہے؟,It increases / یہ بڑھتی ہے,It decreases / یہ کم ہوتی ہے,It becomes zero instantly / یہ فوراً صفر ہو جاتی ہے,It changes into heat / یہ حرارت میں بدل جاتی ہے,B | It decreases / یہ کم ہوتی ہے,Medium,1,high,
q_9_phy_ch7_004,,7.1 Kinetic Molecular Theory of Matter,Remember,Molecules possess kinetic energy because of their:,سالمات میں حرکی توانائی کس وجہ سے ہوتی ہے؟,Mass / کمیت,Motion / حرکت,Colour / رنگ,Shape / شکل,B | Motion / حرکت,Easy,1,high,
q_9_phy_ch7_005,,7.1 Kinetic Molecular Theory of Matter,Remember,Molecules possess potential energy because of:,سالمات میں مخفی توانائی کس وجہ سے ہوتی ہے؟,Force of attraction / قوتِ کشش,Uniform speed / یکساں رفتار,External pressure / بیرونی دباؤ,Electric current / برقی رو,A | Force of attraction / قوتِ کشش,Easy,1,high,
q_9_phy_ch7_006,,7.1 Kinetic Molecular Theory of Matter,Understand,"When a substance is heated, its molecular motion becomes:",جب کسی مادے کو گرم کیا جاتا ہے تو اس کی سالماتی حرکت کیسی ہو جاتی ہے؟,Slower / سست,More vigorous / زیادہ تیز,Completely zero / مکمل صفر,Only rotational / صرف گردشی,B | More vigorous / زیادہ تیز,Medium,1,high,
q_9_phy_ch7_007,,7.1 Kinetic Molecular Theory of Matter,Analyze,A substance becomes hotter because the average kinetic energy of its molecules:,ایک مادہ زیادہ گرم اس لیے ہوتا ہے کہ اس کے سالمات کی اوسط حرکی توانائی:,Decreases / کم ہوتی ہے,Increases / بڑھتی ہے,Becomes potential energy only / صرف مخفی توانائی بن جاتی ہے,Is destroyed / ختم ہو جاتی ہے,B | Increases / بڑھتی ہے,Hard,1,high,
q_9_phy_ch7_008,,7.1 Kinetic Molecular Theory of Matter,Remember,"In general, matter exists in how many ordinary states?",عمومی طور پر مادہ کتنی عام حالتوں میں پایا جاتا ہے؟,Two / دو,Three / تین,Four / چار,Five / پانچ,B | Three / تین,Easy,1,high,
,1,States of Matter,,,,,,,,,,,,1
q_9_phy_ch7_009,,States of Matter,Remember,How do the molecules in a solid behave?,ٹھوس میں سالمات کس طرح حرکت کرتے ہیں؟,Move randomly / بے ترتیب حرکت کرتے ہیں,Vibrate about their mean positions / اپنے اوسط مقامات کے گرد ارتعاش کرتے ہیں,Move in straight lines / سیدھی لکیروں میں حرکت کرتے ہیں,Move freely far apart / آزادانہ دور دور حرکت کرتے ہیں,B | Vibrate about their mean positions / اپنے اوسط مقامات کے گرد ارتعاش کرتے ہیں,Easy,1,high,
q_9_phy_ch7_010,,States of Matter,Understand,Solids have a definite shape and definite volume because their intermolecular forces are:,ٹھوس کی شکل اور حجم متعین ہوتے ہیں کیونکہ ان کی بین السالماتی قوتیں کیسی ہوتی ہیں؟,Very weak / بہت کمزور,Very strong / بہت مضبوط,Absent / موجود نہیں ہوتیں,Equal to air pressure / فضائی دباؤ کے برابر,B | Very strong / بہت مضبوط,Medium,1,high,
q_9_phy_ch7_011,,States of Matter,Remember,A liquid possesses:,مائع میں کون سی خاصیت پائی جاتی ہے؟,Definite shape and no definite volume / متعین شکل اور غیر متعین حجم,Definite volume but no definite shape / متعین حجم مگر غیر متعین شکل,No definite shape and no definite volume / نہ متعین شکل نہ متعین حجم,Definite shape only / صرف متعین شکل,B | Definite volume but no definite shape / متعین حجم مگر غیر متعین شکل,Easy,1,high,
q_9_phy_ch7_012,,States of Matter,Understand,A liquid acquires the shape of the containing vessel because its molecules:,مائع برتن کی شکل اس لیے اختیار کرتا ہے کیونکہ اس کے سالمات:,Are fixed at one point / ایک جگہ مقرر ہوتے ہیں,Can slide over each other / ایک دوسرے پر پھسل سکتے ہیں,Are fully ionized / مکمل آئنائز ہوتے ہیں,Stop moving / حرکت روک دیتے ہیں,B | Can slide over each other / ایک دوسرے پر پھسل سکتے ہیں,Medium,1,high,
q_9_phy_ch7_013,,States of Matter,Remember,Gas molecules are relatively:,گیس کے سالمات نسبتاً کیسے ہوتے ہیں؟,Very close to one another / ایک دوسرے کے بہت قریب,Far away from one another / ایک دوسرے سے کافی دور,Fixed in a lattice / جالی میں مقرر,Only vibrating / صرف ارتعاش کرتے ہوئے,B | Far away from one another / ایک دوسرے سے کافی دور,Easy,1,high,
q_9_phy_ch7_014,,States of Matter,Analyze,A gas has neither a definite volume nor a definite shape mainly because its molecules are:,گیس کا نہ متعین حجم ہوتا ہے نہ متعین شکل، اس کی بنیادی وجہ یہ ہے کہ اس کے سالمات:,Bound at fixed positions / مقررہ مقامات پر بندھے ہوتے ہیں,Relatively far apart and freely moving / نسبتاً دور دور اور آزادانہ حرکت کرتے ہیں,Always ionized / ہمیشہ آئنائز ہوتے ہیں,Motionless at room temperature / کمرہ درجہ حرارت پر بے حرکت ہوتے ہیں,B | Relatively far apart and freely moving / نسبتاً دور دور اور آزادانہ حرکت کرتے ہیں,Hard,1,high,
q_9_phy_ch7_015,,States of Matter,Understand,Which state of matter has molecules held at fixed positions but still vibrating?,مادے کی کون سی حالت میں سالمات مقررہ مقامات پر رہتے ہوئے بھی ارتعاش کرتے ہیں؟,Solid / ٹھوس,Liquid / مائع,Gas / گیس,Plasma / پلازما,A | Solid / ٹھوس,Medium,1,high,
,1,Plasma,,,,,,,,,,,,1
q_9_phy_ch7_016,,Plasma,Remember,Plasma is a gas in which most atoms are:,پلازما ایسی گیس ہے جس میں زیادہ تر ایٹم کیسے ہوتے ہیں؟,Neutral / غیر جانبدار,Ionized / آئنائزڈ,Frozen / منجمد,Compressed / دبے ہوئے,B | Ionized / آئنائزڈ,Easy,1,high,
q_9_phy_ch7_017,,Plasma,Remember,Plasma contains positive ions and:,پلازما میں مثبت آئنوں کے ساتھ کیا موجود ہوتا ہے؟,Neutrons / نیوٹرون,Electrons / الیکٹران,Dust particles / گرد کے ذرات,Water vapours / آبی بخارات,B | Electrons / الیکٹران,Easy,1,high,
q_9_phy_ch7_018,,Plasma,Understand,Plasma allows electric current to pass through it because it contains:,پلازما میں برقی رو اس لیے گزر سکتی ہے کیونکہ اس میں موجود ہوتے ہیں:,Only neutral molecules / صرف غیر جانبدار سالمات,Positive ions and free electrons / مثبت آئن اور آزاد الیکٹران,Only water vapours / صرف آبی بخارات,Closely packed molecules / گنجان بند سالمات,B | Positive ions and free electrons / مثبت آئن اور آزاد الیکٹران,Medium,1,high,
q_9_phy_ch7_019,,Plasma,Remember,Plasma is known as the:,پلازما کو مادے کی کون سی حالت کہا جاتا ہے؟,First state of matter / مادے کی پہلی حالت,Second state of matter / مادے کی دوسری حالت,Third state of matter / مادے کی تیسری حالت,Fourth state of matter / مادے کی چوتھی حالت,D | Fourth state of matter / مادے کی چوتھی حالت,Easy,1,high,
q_9_phy_ch7_020,,Plasma,Remember,The Sun and most other stars are in which state?,سورج اور زیادہ تر دوسرے ستارے کس حالت میں ہوتے ہیں؟,Solid / ٹھوس,Liquid / مائع,Plasma / پلازما,Ordinary gas only / صرف عام گیس,C | Plasma / پلازما,Easy,1,high,
