question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Topic,,,,,,,,,,1
q_9_eng_ch1_001,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[bestow]].,a situation that makes problems,to give something as an honour or a gift,continuing forever,to state publicly that one no longer has a particular belief,B | to give something as an honour or a gift,Easy,1,PRO,1
q_9_eng_ch1_002,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[chaos]].,special permission to do something,the practice of focusing the mind in silence,the state of being alone,lack of order or disorder,D | lack of order or disorder,Easy,1,PRO,1
q_9_eng_ch1_003,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[compassion]].,sympathy,a small hill of sand,a complicated series of connections between different things,the study of religions and beliefs,A | sympathy,Easy,1,PRO,1
q_9_eng_ch1_004,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[crumble]].,the ability to use language and express opinions well,to publicly and officially tell people about something important,to break something into very small pieces,a complete change in somebody or something,C | to break something into very small pieces,Easy,1,ULTRA,1
q_9_eng_ch1_005,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[dazzling]].,a typical example of an idea or a quality,so bright that one cannot see for a short time,the act of spreading an idea or belief among many people,relating to the hottest area between the two tropics,B | so bright that one cannot see for a short time,Easy,1,PRO,1
q_9_eng_ch1_006,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[dilemma]].,a situation that makes problems,to destroy or get rid of something,trying to persuade other people to accept one's beliefs,greater or better than anything else of its kind,A | a situation that makes problems,Easy,1,ULTRA,1
q_9_eng_ch1_007,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[dispensation]].,continuing forever,to state publicly that one no longer has a particular belief,"the edge of a path, road, or situation",special permission to do something,D | special permission to do something,Easy,1,ULTRA,1
q_9_eng_ch1_008,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[dune]].,the practice of focusing the mind in silence,the state of being alone,a small hill of sand,to give something as an honour or a gift,C | a small hill of sand,Easy,1,ULTRA,1
q_9_eng_ch1_009,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Glossary Meanings,Remember,Choose the correct meaning of [[eloquence]].,the ability to use language and express opinions well,a complicated series of connections between different things,the study of religions and beliefs,lack of order or disorder,A | the ability to use language and express opinions well,Easy,1,PRO,1
