question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch4_001,1,4.1 Like and Unlike Parallel Forces,Remember,Parallel forces acting in the same direction are called:,ایک ہی سمت میں عمل کرنے والی متوازی قوتیں کیا کہلاتی ہیں؟,Like parallel forces / ہم سمت متوازی قوتیں,Unlike parallel forces / مخالف سمت متوازی قوتیں,Resultant forces / محصل قوتیں,Centripetal forces / مرکز مائل قوتیں,A | Like parallel forces / ہم سمت متوازی قوتیں,Easy,1,high,1
q_9_phy_ch4_002,1,4.1 Like and Unlike Parallel Forces,Remember,Parallel forces acting in opposite directions are called:,مخالف سمتوں میں عمل کرنے والی متوازی قوتیں کیا کہلاتی ہیں؟,Like parallel forces / ہم سمت متوازی قوتیں,Unlike parallel forces / مخالف سمت متوازی قوتیں,Balanced components / متوازن اجزا,Moment arms / بازوئے قوت,B | Unlike parallel forces / مخالف سمت متوازی قوتیں,Easy,1,high,1
q_9_phy_ch4_003,1,4.1 Like and Unlike Parallel Forces,Understand,"In a rigid body, forces F1 and F2 act upward while F3 acts downward. Which pair is unlike parallel?",ایک سخت جسم میں قوتیں F1 اور F2 اوپر کی طرف جبکہ F3 نیچے کی طرف عمل کرتی ہے۔ کون سا جوڑا مخالف سمت متوازی ہے؟,F1 and F2 / F1 اور F2,F2 and F3 / F2 اور F3,F1 and F2 only / صرف F1 اور F2,All three forces / تینوں قوتیں,B | F2 and F3 / F2 اور F3,Medium,1,high,1
q_9_phy_ch4_004,1,4.1 Like and Unlike Parallel Forces,Analyze,Which statement best identifies parallel forces shown at different points of a body?,کون سا بیان جسم کے مختلف مقامات پر دکھائی گئی متوازی قوتوں کو بہتر طور پر ظاہر کرتا ہے؟,They must act at the same point / وہ لازماً ایک ہی نقطے پر عمل کرتی ہیں,Their points of application may be different / ان کے عمل کے نقاط مختلف ہو سکتے ہیں,They cannot produce torque / وہ ٹارک پیدا نہیں کر سکتیں,They are always equal in magnitude / وہ ہمیشہ مقدار میں برابر ہوتی ہیں,B | Their points of application may be different / ان کے عمل کے نقاط مختلف ہو سکتے ہیں,Hard,1,high,1
q_9_phy_ch4_005,1,4.2 Addition of Forces,Remember,A force equal to the sum of all forces is known as:,تمام قوتوں کے مجموعے کے برابر قوت کیا کہلاتی ہے؟,Component force / جزوی قوت,Resultant force / محصل قوت,Moment arm / بازوئے قوت,Couple / جوڑا قوت,B | Resultant force / محصل قوت,Easy,1,high,1
q_9_phy_ch4_006,1,4.2 Addition of Forces,Remember,"Forces are vectors, so they can be added by using the:",قوتیں ویکٹر ہوتی ہیں، اس لیے انہیں کس قاعدے سے جمع کیا جا سکتا ہے؟,Head-to-tail rule / سر تا دم قاعدہ,Triangle area rule / مثلث رقبہ قاعدہ,Balance rule only / صرف توازن قاعدہ,Centre rule / مرکز قاعدہ,A | Head-to-tail rule / سر تا دم قاعدہ,Easy,1,high,1
q_9_phy_ch4_007,1,4.2 Addition of Forces,Understand,The resultant of vector addition is the same for:,ویکٹرز کے جمع کرنے میں محصل کس چیز کے لیے ایک جیسا رہتا ہے؟,Only horizontal vectors / صرف افقی ویکٹرز,Any order of addition / جمع کرنے کی کسی بھی ترتیب,Only equal vectors / صرف برابر ویکٹرز,Only vertical vectors / صرف عمودی ویکٹرز,B | Any order of addition / جمع کرنے کی کسی بھی ترتیب,Medium,1,high,1
q_9_phy_ch4_008,1,4.2 Addition of Forces,Apply,"In Example 4.1, the scale 100 N = 1 cm makes a 300 N force equal to:",مثال 4.1 میں پیمانہ 100 N = 1 cm ہو تو 300 N قوت کتنی لمبائی کے برابر ہو گی؟,2.0 cm / 2.0 cm,2.5 cm / 2.5 cm,3.0 cm / 3.0 cm,7.1 cm / 7.1 cm,C | 3.0 cm / 3.0 cm,Medium,1,high,1
q_9_phy_ch4_009,1,4.2 Addition of Forces,Apply,"In Example 4.1, a measured resultant length of 7.1 cm on the scale 100 N = 1 cm represents:",مثال 4.1 میں پیمانہ 100 N = 1 cm ہو تو محصل کی 7.1 cm لمبائی کس قوت کو ظاہر کرتی ہے؟,71 N / 71 N,100 N / 100 N,430 N / 430 N,710 N / 710 N,D | 710 N / 710 N,Medium,1,high,1
q_9_phy_ch4_010,1,4.2 Addition of Forces,Analyze,Which option best explains why the head-to-tail method gives a single resultant force?,کون سا جواب بہتر وضاحت کرتا ہے کہ سر تا دم طریقہ ایک محصل قوت کیوں دیتا ہے؟,It changes all forces into masses / یہ تمام قوتوں کو کمیت میں بدل دیتا ہے,It arranges vectors so their combined effect is represented by one vector / یہ ویکٹرز کو یوں ترتیب دیتا ہے کہ ان کا مشترک اثر ایک ویکٹر سے ظاہر ہو,It removes the direction of forces / یہ قوتوں کی سمت ختم کر دیتا ہے,It makes every force equal in magnitude / یہ ہر قوت کو مقدار میں برابر کر دیتا ہے,B | It arranges vectors so their combined effect is represented by one vector / یہ ویکٹرز کو یوں ترتیب دیتا ہے کہ ان کا مشترک اثر ایک ویکٹر سے ظاہر ہو,Hard,1,high,1
