question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,"6.1 AI, ML, and Overview",topic_separator,,,,,,1
q_10_cs_ch6_sq_001,1,"6.1 AI, ML, and Overview",concept_explanation,"Explain the relationship between Artificial Intelligence (AI), Machine Learning (ML), and data in enabling machines to make better decisions.",Artificial Intelligence (AI)، Machine Learning (ML) اور data کے باہمی تعلق کی وضاحت کریں جو machines کو بہتر decisions کرنے کے قابل بناتا ہے۔,Hard,2,PRO,1
TOPIC_SEP,1,6.1.1 What is AI?,topic_separator,,,,,,1
q_10_cs_ch6_sq_002,1,6.1.1 What is AI?,definition_function,Define Artificial Intelligence (AI) and state the type of tasks it enables a machine or computer program to perform.,Artificial Intelligence (AI) کی تعریف کریں اور وہ tasks بیان کریں جنہیں یہ machine یا computer program کو perform کرنے کے قابل بناتی ہے۔,Easy,2,PRO,1
q_10_cs_ch6_sq_003,1,6.1.1 What is AI?,list_state,State any two real-life examples of AI used in Pakistan and mention the human-like task performed in each example.,پاکستان میں AI کے استعمال کی کوئی دو real-life examples بیان کریں اور ہر example میں انجام دیا جانے والا human-like task لکھیں۔,Easy,2,PRO,1
q_10_cs_ch6_sq_004,1,6.1.1 What is AI?,application_scenario,Explain how a customer-support chatbot or an automatic traffic-control system demonstrates the use of AI.,وضاحت کریں کہ customer-support chatbot یا automatic traffic-control system، AI کے استعمال کو کیسے ظاہر کرتا ہے۔,Medium,2,ULTRA,1
q_10_cs_ch6_sq_005,1,6.1.1 What is AI?,features_characteristics,State any three human-intelligence tasks that an AI system may perform.,Human intelligence سے متعلق کوئی تین tasks بیان کریں جو AI system perform کر سکتا ہے۔,Easy,2,ULTRA,1
TOPIC_SEP,1,6.1.2 What is ML?,topic_separator,,,,,,1
q_10_cs_ch6_sq_006,1,6.1.2 What is ML?,definition_function,Define Machine Learning (ML) and state how it uses past data to make predictions or decisions.,Machine Learning (ML) کی تعریف کریں اور بیان کریں کہ یہ past data استعمال کرکے predictions یا decisions کیسے کرتی ہے۔,Easy,2,PRO,1
q_10_cs_ch6_sq_007,1,6.1.2 What is ML?,definition_example,Explain Machine Learning and give one example related to video recommendations and one example related to weather prediction.,Machine Learning کی وضاحت کریں اور video recommendations سے متعلق ایک example اور weather prediction سے متعلق ایک example دیں۔,Easy,2,PRO,1
